sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6G5vNAlLT268YWSB0ZVI6J	Ron	Non abbiam bisogno di parole	ITQ009200011	53	classic italian pop,italian adult pop	0.167	0.428	0.0	0.0313	84.793	0.378	0.609
14FAAlZJ36VMPIF7yHV3mg	Giovanni Truppi	Tuo padre, mia madre, Lucia	ITUM72200017	65	italian indie pop	0.724	0.348	0.0	0.0722	76.535	0.55	0.59
7fgEx5OxzDP1hw50mJeDMh	Fabrizio Moro	Sei tu	ITCV62200002	71	classic italian pop,italian adult pop	0.227	0.512	0.0	0.036	134.31	0.324	0.594
7fgEx5OxzDP1hw50mJeDMh	Fabrizio Moro	Sei tu	ITCV62200002	71	classic italian pop,italian adult pop	0.227	0.512	0.0	0.036	134.31	0.324	0.594
3UaFwg3nyRGbCMBcMiF7hQ	Gli Ultimi	Rimane una canzone	ITY862100120	24	punk rock italiano	0.000167	0.538	1.48e-05	0.0344	74.984	0.391	0.72
2YQKpGTFcuIeNvpksxrZ5v	Gli Ultimi	Un battito ancora	ITY862100111	47	punk rock italiano	0.000286	0.543	9.03e-05	0.0326	100.032	0.821	0.909
2YQKpGTFcuIeNvpksxrZ5v	Gli Ultimi	Un battito ancora	ITY862100111	47	punk rock italiano	0.000286	0.543	9.03e-05	0.0326	100.032	0.821	0.909
1P6TlFb8EVH2nCX3luVpZW	Pinguini Tattici Nucleari	Scooby Doo	ITB002000600	66	bergamo indie,italian indie pop,italian pop,milan indie	0.0477	0.74	0.0	0.137	135.071	0.773	0.743
2KBgmkG2B9BQTxvNbfS350	Francesco De Gregori	Titanic	ITB008200431	49	canzone d'autore,classic italian pop,folk rock italiano,italian adult pop	0.441	0.608	7.38e-06	0.0641	83.77	0.879	0.481
7anRHdEv7BVorr4he5k9SA	Vasco Rossi	......Stupendo	ITD009200209	54	classic italian pop,italian adult pop	0.0721	0.642	0.000464	0.0282	113.257	0.378	0.723
