sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0HdrGJfHWYG5A0cNhiMDG4	Lazza,Geolier	NESSUNO (feat. Geolier)	ITUM72200378	68	italian hip hop,rap genovese,trap italiana	0.0477	0.609	0.0	0.258	134.595	0.129	0.652
1xg4PHGbNxR3v2gxE8SSeF	Rkomi	4Z	ITUM71701052	28	italian hip hop	0.137	0.664	1.16e-05	0.121	132.033	0.504	0.593
3hCEneoWEdtkYfiWPgbhzr	Ketama126	ARMAGEDDON	ITB002200218	52	drill italiana,emo rap italiano,italian hip hop,trap italiana	0.169	0.648	1.74e-05	0.0406	141.958	0.458	0.662
6QogWUhMVjCd8BiEIjf9JK	Bresh,Rkomi,SHUNE	Parli Di Me	ITB002101417	56	italian hip hop,rap genovese	0.044	0.738	0.0	0.156	97.013	0.664	0.515
1kiXgoHY5UvDmjqHCKhx0S	Rkomi	Per Un Pugno Di Emozioni	ITUM71800657	37	italian hip hop	0.121	0.658	0.0	0.0441	130.023	0.418	0.565
500c6DLy4ag8gFAnkuzTxP	Giaime,Andry The Hitmaker,Lazza	FIORI	IT1F71900048	54	italian hip hop,trap italiana	0.136	0.85	0.0	0.199	99.99	0.161	0.567
0Q4v8N758nx98YxObfqkNC	Rkomi,Elisa	Blu (feat. Elisa)	ITUM71900215	53	italian hip hop	0.0255	0.745	0.0	0.0654	100.002	0.356	0.88
66UkKyxN5YbJl9z7YamQOR	Rkomi,Sfera Ebbasta	Mon Cheri (feat. Sfera Ebbasta)	ITUM71900223	57	italian hip hop	0.316	0.887	0.0	0.0484	130.032	0.493	0.667
6M7epb5g32b1JmUaQBHTQJ	Rkomi	Oh Mama	ITDF61777057	47	italian hip hop	0.307	0.683	0.0	0.238	134.104	0.381	0.742
1JEsJvSxeh1svbRuikxRBE	Rkomi	Mai Più	ITUM71701043	45	italian hip hop	0.0527	0.58	0.0	0.0578	107.067	0.344	0.839
4oGcVv1MEgDJaQayTh3PKU	Rkomi,Tommaso Paradiso	HO SPENTO IL CIELO (con TOMMASO PARADISO)	ITUM72100202	54	italian hip hop	0.0336	0.547	4.78e-06	0.134	157.947	0.444	0.84
2ZfN2wRHwwbFd7Ok0L3wQ6	Elisa,Rkomi	Blu Part II (con Rkomi)	ITUM71901176	50	italian adult pop,italian pop	0.868	0.443	0.0	0.0617	167.842	0.451	0.375
2OIXm3ZM0pbSXQYrq9C5RN	Rkomi,Ernia	Acqua Calda E Limone (feat. Ernia)	ITUM71800659	54	italian hip hop	0.147	0.581	0.0	0.264	99.788	0.309	0.68
1Wbc0N0X1zkFqnKGcj8Quh	Massimo Pericolo,Crookers,Nic Sarno	Polo nord - C+N Progressive Mix	ITRWL1900078	59	italian hip hop,trap metal italiana	0.00619	0.645	0.00297	0.0347	126.011	0.174	0.895
652I5wtpOglT1I4ndRGr2m	Rkomi	MAI PIÙ - MTV Unplugged	ITUM72101027	19	italian hip hop	0.496	0.469	0.0	0.0793	98.407	0.478	0.59
76grDEw6GTI7ZoP0XV1qtX	Rkomi	TAXI DRIVER	ITUM72100213	34	italian hip hop	0.37	0.592	0.0	0.073	144.466	0.584	0.671
7FluC0cEpmpyWEAlXMbrCT	fantahouse	SIAMO RAGAZZU	QZFZ32258951	39		0.0138	0.66	3.27e-05	0.283	173.328	0.712	0.714
46koDbgm48mkLwjPsSrTef	PSICOLOGI	STO BENE	ITLGE2000020	45	italian hip hop,rome indie	0.338	0.817	0.0	0.2	94.006	0.126	0.914
