sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
35QZaWQRkmnAVqBF1TLCxQ	Ed Sheeran	Nancy Mulligan	GBAHS1700046	64	pop,uk pop	0.117	0.68	0.0	0.0349	101.993	0.858	0.852
6SznMYPQJHzr3IwsAHLId2	Ed Sheeran	Bibia Be Ye Ye	GBAHS1700044	62	pop,uk pop	0.52	0.738	0.0	0.0824	127.067	0.882	0.677
3Lfiu5sZ4M4B6JaKMBc0FU	Ed Sheeran	Barcelona	GBAHS1700042	64	pop,uk pop	0.448	0.747	0.0	0.187	99.975	0.682	0.76
4VuS959DSpr82t3qBqCrWG	Ed Sheeran	Supermarket Flowers	GBAHS1700040	73	pop,uk pop	0.914	0.589	0.0	0.0442	89.749	0.257	0.242
6PJ8FF6UR8FZXfEvpHkIVN	Ed Sheeran	How Would You Feel (Paean)	GBAHS1700038	65	pop,uk pop	0.424	0.617	0.0	0.0269	139.979	0.242	0.439
2pJZ1v8HezrAoZ0Fhzby92	Ed Sheeran	What Do I Know?	GBAHS1700036	66	pop,uk pop	0.251	0.838	0.0	0.038	115.092	0.895	0.492
2dfHh7ECGxfNqZTQno09Vk	Ed Sheeran	Hearts Don't Break Around Here	GBAHS1700032	63	pop,uk pop	0.719	0.604	0.0	0.0267	105.177	0.181	0.366
5HDPtsnyb3maFmPL8LLUTG	Ed Sheeran	New Man	GBAHS1700030	64	pop,uk pop	0.0559	0.78	0.0	0.145	94.026	0.862	0.745
2RttW7RAu5nOAfq6YFvApB	Ed Sheeran	Happier	GBAHS1700028	78	pop,uk pop	0.536	0.522	0.0	0.0288	89.792	0.236	0.385
0afhq8XCExXpqazXczTSve	Ed Sheeran	Galway Girl	GBAHS1700026	76	pop,uk pop	0.0735	0.624	0.0	0.1	99.943	0.781	0.876
0tgVpDi06FyKpA1z0VMD4v	Ed Sheeran	Perfect	GBAHS1700024	83	pop,uk pop	0.163	0.599	0.0	0.0232	95.05	0.168	0.448
7qiZfU4dY1lWllzX7mPBI3	Ed Sheeran	Shape of You	GBAHS1600463	83	pop,uk pop	0.581	0.825	0.0	0.0802	95.977	0.931	0.652
51ChrwmUPDJvedPQnIU8Ls	Ed Sheeran	Dive	GBAHS1700022	72	pop,uk pop	0.355	0.761	0.0	0.0399	134.943	0.526	0.386
6PCUP3dWmTjcTtXY02oFdT	Ed Sheeran	Castle on the Hill	GBAHS1600462	76	pop,uk pop	0.0232	0.461	1.14e-05	0.0989	135.007	0.471	0.834
