sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0USHtNOi1gGvSr2Ea7lcyx	bbno$	pouch	QM24S1917762	36	canadian hip hop,dark trap,vapor trap	0.207	0.955	8.26e-06	0.469	119.993	0.627	0.357
0XoDcV08iB5T3XFbXfAghf	bbno$,lentra,BAINS.	bad girl	QM24S1821380	53	canadian hip hop,dark trap,vapor trap	0.14	0.716	1.2e-05	0.392	169.741	0.661	0.558
3FDXGOb5tEKhpuLyVEACxc	bbno$,Sonn	flex	QM24S1821378	37	canadian hip hop,dark trap,vapor trap	0.177	0.879	1.3e-05	0.321	133.002	0.644	0.618
1IlWU0ktm7h9HcP2fVpUXW	Yung Gravy,bbno$	iunno	USA2P1958595	46	meme rap,minnesota hip hop,pop rap	0.232	0.908	0.0	0.272	86.006	0.613	0.413
49FS3ExqVBhknyKnXkrfWW	bbno$,downtime	too easy	QM24S1818462	37	canadian hip hop,dark trap,vapor trap	0.194	0.762	3.99e-06	0.309	73.503	0.347	0.717
0QlCwqffuvLHJVGo5ngMcs	bbno$,Yung Gravy	wussup (feat. Yung Gravy)	QMUY42100088	48	canadian hip hop,dark trap,vapor trap	0.559	0.848	1.65e-05	0.225	75.033	0.86	0.631
5nsU4bWjzD0zz2S65yRVQq	bbno$,Dbangz,Sonn	dont tell me shit	QM24S1821382	37	canadian hip hop,dark trap,vapor trap	0.459	0.864	1.78e-06	0.31	79.977	0.771	0.614
1Lg8ayJsmrTHzf619nSugF	Yung Gravy,bbno$	Justin Bieber Wrist	USA2P2004468	41	meme rap,minnesota hip hop,pop rap	0.429	0.702	2.07e-05	0.272	164.039	0.788	0.622
3FxAHJDCXMx9ox4TEQpiIY	bbno$,lentra	imma	QM24S2008275	56	canadian hip hop,dark trap,vapor trap	0.0825	0.965	1.68e-05	0.277	132.111	0.913	0.531
3PdcxgzpWzAsUGgkmykIFc	Yung Gravy,bbno$	Welcome to Chilis	USA2P1963476	66	meme rap,minnesota hip hop,pop rap	0.359	0.839	0.0	0.157	159.987	0.804	0.454
00SiZEELZ0K4gkUl0rU529	Yung Gravy,bbno$	Bandsville	USA2P2004467	51	meme rap,minnesota hip hop,pop rap	0.13	0.833	6.78e-06	0.414	159.996	0.353	0.39
3s75lDnOBcYrqJsyP4wAZF	bbno$,lentra,TrippyThaKid	admit it	QM24S2008418	43	canadian hip hop,dark trap,vapor trap	0.121	0.938	0.0	0.24	109.033	0.606	0.474
1hJZvoGEYJAggWTWSPEzVu	bbno$,Y2K,Lewis Grant	thankful	QM24S1845649	49	canadian hip hop,dark trap,vapor trap	0.796	0.763	0.0	0.0356	135.03	0.603	0.444
4YMc3A256xFBS0xcT77Qce	bbno$,Diamond Pistols	help herself	QM24S2100146	70	canadian hip hop,dark trap,vapor trap	0.623	0.607	0.351	0.0364	168.049	0.479	0.851
7Agi8QDhwLEHFdP5LxysqD	bbno$,lentra,TrippyThaKid	jurassic	QM24S1847079	48	canadian hip hop,dark trap,vapor trap	0.127	0.921	0.0	0.301	91.993	0.641	0.567
6CxltmsS5JWhkpgb0RZcNz	bbno$,lentra	check up	QMUY42100210	44	canadian hip hop,dark trap,vapor trap	0.513	0.738	2.05e-06	0.391	166.003	0.722	0.706
03lcoVFQXlRdiXHPO2Lu6c	Yung Gravy,bbno$,Cuco	Off The Goop	USA2P2001439	44	meme rap,minnesota hip hop,pop rap	0.127	0.754	0.0	0.415	170.055	0.538	0.548
40zWrjiMhqBPyMn3QR465N	bbno$,lentra	astrology	QM24S2005745	42	canadian hip hop,dark trap,vapor trap	0.0684	0.957	0.00221	0.265	111.902	0.495	0.606
3k6EANogaKwjJwuqacv4AT	bbno$,lentra,Juelz,So Loki	opus	QM24S1821385	36	canadian hip hop,dark trap,vapor trap	0.696	0.707	0.000577	0.34	180.131	0.374	0.599
4jVwbqe8moOtawNMsgRQBD	bbno$,lentra	brainless	QMUY42100206	54	canadian hip hop,dark trap,vapor trap	0.0457	0.952	0.000865	0.299	110.027	0.336	0.541
6pMPJqKpwSADJohKryxUjf	bbno$,lentra	banana	QM24S1847160	38	canadian hip hop,dark trap,vapor trap	0.5	0.887	0.00388	0.257	87.983	0.496	0.425
5ktuxS6OqY2a6ticLNYs2c	bbno$,lentra	shining	QM24S1847080	38	canadian hip hop,dark trap,vapor trap	0.325	0.867	0.0	0.351	94.025	0.782	0.602
0T5feckrw8ZpkbeRLn00fC	E-Dubble	Heat (Five OHH)	USQY51608667	30	indie pop rap,pop rap	0.025	0.704	0.0	0.165	154.065	0.641	0.828
1gHhYNNX8d6E3aMdjubr73	E-Dubble	Big Ships	USQY51379429	35	indie pop rap,pop rap	0.0437	0.717	0.0	0.345	189.979	0.415	0.525
7ClXz3V7FWaiX1kO07j7FR	E-Dubble	Plan A	USQY51327321	49	indie pop rap,pop rap	0.207	0.861	0.0	0.249	94.982	0.733	0.683
2cgaEjsmXhlqrhBq66146u	Ratatat	Party with Children	GBBKS0900537	21	alternative dance,indietronica,new rave	0.00828	0.632	0.716	0.0482	108.522	0.351	0.772
4vDBJeeQCbhP9FaPPMsYkY	Tracy Chapman	Give Me One Reason	USEE19900169	69	folk,lilith,singer-songwriter,women's music	0.602	0.608	7.58e-06	0.0331	100.22	0.602	0.419
2LSdNLqWzr5WKkke1v07qx	bbno$,Konrad OldMoney	chess	QM24S1847165	38	canadian hip hop,dark trap,vapor trap	0.194	0.827	0.000547	0.172	98.025	0.517	0.46
