sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6iYMfxznTBlcVOgRHab2W0	Harry Styles	Sunflower, Vol. 6	USSM11912593	77	dance pop,pop	0.000564	0.566	0.000795	0.035	160.02	0.86	0.846
7hDVYcQq6MxkdJGweuCtl9	Billie Eilish	ocean eyes	US23A1500056	83	art pop,electropop,pop	0.816	0.511	0.0317	0.041	144.892	0.169	0.363
086myS9r57YsLbJpU0TgK9	Arctic Monkeys	Why'd You Only Call Me When You're High?	GBCEL1300370	89	garage rock,permanent wave,rock,sheffield indie	0.0483	0.691	1.13e-05	0.0368	92.004	0.8	0.631
2T3jgoAMbBXiMMD8pSc6QL	Amy Macdonald	This Is The Life	GBUM70607840	79	scottish singer-songwriter	0.259	0.628	0.0	0.0323	95.083	0.853	0.882
6fRmmcYP9h2DgqcufEMj6x	Peter Hollens	Country Roads	QZES61865145	52		0.762	0.481	0.0	0.0331	81.998	0.424	0.531
6FE2iI43OZnszFLuLtvvmg	MKTO	Classic	USSM11301446	87	dance pop,pop,pop rap,pop rock,post-teen pop	0.0384	0.72	0.0	0.124	102.071	0.756	0.791
4YJFGtMJbQsPtBFNaLVJVy	Philip Daniel	when softness lifted us	QM24S2101215	55	neo-classical	0.98	0.254	0.93	0.0362	218.971	0.618	0.0676
0C2q5FBAGtuFopEx96ayCf	Charlot Bélair	Feuilles d'automne	SE5W32023901	49		0.993	0.352	0.954	0.0441	94.466	0.275	0.145
6DhmBzQD76Ajsd1S0UyT1H	Sumsar	Amaprinces Bend	SEXGF2154401	55		0.98	0.136	0.869	0.0383	133.406	0.178	0.0611
7wksCozvMX6I0imUoTWBCE	Gerald Sherman	Tree Rhythm	QZAKB2007012	54		0.98	0.503	0.851	0.0498	120.425	0.485	0.0409
1mURpkUAqx3EIqHpNV9l8c	Gabríel Ólafs	Cyclist Waltz Solo	GBBTF2000080	47	background piano,neo-classical	0.994	0.354	0.933	0.041	134.066	0.143	0.0209
6BKGokQ3PKLFqBlCBjCy8J	Dominique Marais	Mondegreen	SEXGF2200444	54		0.992	0.26	0.96	0.0321	146.628	0.0968	0.168
1Ypn8gv9pyrGVaVvbxfWWf	Pied-à-Terre	Con Le Zampe	SEXGF2175601	56		0.989	0.226	0.904	0.0438	205.33	0.25	0.067
2G2Be7WBq744i4aBamHv8o	Amélie Doret	Transitions	SE6RU2106001	55		0.993	0.442	0.941	0.0507	117.394	0.163	0.0239
4RcazdOk2fclED0uZ1S2K9	Volker Anderson	Yesterdays Answer	SEXGF2142501	61		0.987	0.499	0.94	0.0409	122.134	0.265	0.0494
3jbaWxRwhXCZmvpPWHIKe3	Niels Wang	Flashing lights	SE5IB2135587	54		0.996	0.561	0.912	0.0406	131.395	0.0389	0.0536
3mLVz3Hbb4wD3TV7eY5W4z	Lux Tigon	Ocean	SE6RB2017301	51		0.994	0.249	0.88	0.0465	126.148	0.0881	0.0136
1uKZ6TyMFXuvu9sZWpN202	Che Lan	Sonnen Sterne	QZAKB2156826	65		0.976	0.258	0.858	0.0428	199.722	0.304	0.0317
2qCzkyUdNWxGY0lQh0jp8F	Miriam Raye	River Running Free	SE5W32103794	66		0.991	0.266	0.919	0.049	191.598	0.516	0.0661
0BXq9t3wTA8HMqFPvGxZYf	Cedric Armfeldt	Sweet Redolence	SE5IB2001202	60		0.991	0.395	0.896	0.0482	131.514	0.386	0.0307
5bNtJUg1EE3XP1dMM79Xvl	Lev Monticelli	Tagtraum	QZAKB2155222	56		0.985	0.385	0.904	0.0356	79.939	0.0868	0.0527
0duYOyKFVmUrJpDhmKaIyW	Jacob David	Blund	FRIDO2113096	60	neo-classical	0.962	0.268	0.942	0.0356	104.841	0.123	0.0444
3QI14HQnAH2BB5CffziKaF	Agnes Klein	Vierzylinder	SEXGF2028601	51		0.984	0.324	0.917	0.0384	68.204	0.0399	0.0137
4OQ4Ua0SulicmSHpgBXCvs	Mirta da Silva	Oceá	US66W2101385	64		0.994	0.346	0.951	0.0387	138.532	0.326	0.0431
6i3GB9JYHvYD2cH3EIDa3e	Aimon Cour	A Moment to Ponder	SE5IB2002047	53		0.996	0.359	0.961	0.0431	72.342	0.372	0.0962
7LLLc3Gxg6zRm9lKtmuCGR	Jonathan Beaujean	Night Light	SE6RB2197301	60		0.994	0.519	0.914	0.0385	98.795	0.186	0.0348
19UBwInMQqv987LmQdvu6I	Gionata Accursio	In Qualsiasi Momento	SE5IB2143849	58		0.992	0.178	0.906	0.0399	134.785	0.0374	0.00712
5imJAvlEBQf9OWjogd3VEm	Inside Lands	Homage	US66W2100706	60		0.989	0.325	0.976	0.0401	111.051	0.19	0.0458
1hEqY5WgZIpNgZKmuFGNax	Mauvais Roger	Peace Frame	SEXGF2200423	63	background piano	0.995	0.324	0.957	0.0414	120.572	0.254	0.104
7HCl80rnRUZoeVWpuXLSli	Baltasar Thorgrimson	Last Things First	SEXGF2114901	53		0.98	0.257	0.902	0.0404	71.608	0.0945	0.0681
4pvb0WLRcMtbPGmtejJJ6y	Taylor Swift,Bon Iver	exile (feat. Bon Iver)	USUG12002838	84	pop	0.778	0.298	5.62e-05	0.0287	75.602	0.152	0.38
7j31rVgGX9Q2blT92VBEA0	My Chemical Romance	Teenagers	USRE10602912	85	emo,pop punk,rock	0.0506	0.463	0.0	0.0632	111.647	0.856	0.857
086myS9r57YsLbJpU0TgK9	Arctic Monkeys	Why'd You Only Call Me When You're High?	GBCEL1300370	89	garage rock,permanent wave,rock,sheffield indie	0.0483	0.691	1.13e-05	0.0368	92.004	0.8	0.631
2T3jgoAMbBXiMMD8pSc6QL	Amy Macdonald	This Is The Life	GBUM70607840	79	scottish singer-songwriter	0.259	0.628	0.0	0.0323	95.083	0.853	0.882
3RauEVgRgj1IuWdJ9fDs70	Taylor Swift	The Man	USUG11901474	80	pop	0.0767	0.777	0.0	0.054	110.048	0.633	0.658
6GGdkwYk4NXuiIcQD16AZg	mxmtoon	feelings are fatal	QM42K1793196	69	alt z,bedroom pop,indie pop,pop	0.908	0.545	0.0	0.132	98.225	0.482	0.169
4jAIqgrPjKLTY9Gbez25Qb	Harry Styles	Lights Up	USSM11910404	79	dance pop,pop	0.0392	0.575	0.0045	0.032	101.987	0.27	0.621
0tgVpDi06FyKpA1z0VMD4v	Ed Sheeran	Perfect	GBAHS1700024	89	pop,uk pop	0.163	0.599	0.0	0.0232	95.05	0.168	0.448
1M4qEo4HE3PRaCOM7EXNJq	Harry Styles	Adore You	USSM11912588	72	dance pop,pop	0.0237	0.676	7e-06	0.0483	99.048	0.569	0.771
5lqGH8hkVXiFg2fUibDZl2	Louis Tomlinson	Perfect Now	GBHMU1900060	66	pop	0.253	0.617	0.0	0.0273	134.977	0.209	0.358
4jAIqgrPjKLTY9Gbez25Qb	Harry Styles	Lights Up	USSM11910404	79	dance pop,pop	0.0392	0.575	0.0045	0.032	101.987	0.27	0.621
1u8c2t2Cy7UBoG4ArRcF5g	Taylor Swift	Blank Space	USCJY1431309	87	pop	0.103	0.76	0.0	0.054	95.997	0.57	0.703
2kJwzbxV2ppxnQoYw4GLBZ	JP Saxe,Julia Michaels	If the World Was Ending (feat. Julia Michaels)	USQX91902708	83	alt z,canadian contemporary r&b,pop	0.866	0.464	0.0	0.129	75.801	0.604	0.473
33SNO8AaciGbNaQFkxvPrW	Harry Styles	Kiwi	USSM11703958	81	dance pop,pop	0.00064	0.375	0.0	0.0561	147.124	0.491	0.93
5GVPVxgdgTKJFxSxLVIw1A	Conan Gray	The Story	USUM71924270	74	bedroom pop,pop	0.817	0.542	0.0	0.0305	141.917	0.274	0.299
3tCYlGxMS5ht2g3vB36SiJ	Louis Tomlinson	We Made It	GBHMU1900051	64	pop	0.0166	0.531	0.0	0.0317	155.082	0.688	0.78
3hUxzQpSfdDqwM3ZTFQY0K	Taylor Swift	august	USUG12002842	81	pop	0.538	0.532	7.28e-05	0.0331	89.937	0.403	0.623
2iUXsYOEPhVqEBwsqP70rE	5 Seconds of Summer	Youngblood	GBUM71800366	84	boy band,dance pop,pop,post-teen pop	0.0169	0.596	0.0	0.463	120.274	0.152	0.854
