sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
18WoJs2wk1zCIw4bAGN5AQ	Slow J	Uivos	PT2HA2000011	30	hip hop tuga	0.904	0.833	0.873	0.0512	107.994	0.338	0.31
3qrNZQsvr8zCpimmbL3xsu	Slow J	SunnyMondayAfternoon	PT2HA2000010	27	hip hop tuga	0.97	0.848	0.957	0.0885	78.066	0.579	0.203
1m4Q7gJLg86pptfLioa9xW	Slow J	WhatDoesYourGodSoundLike	PT2HA2000009	30	hip hop tuga	0.788	0.742	0.952	0.139	172.008	0.0447	0.344
150enYM0UOQPnFqUSzF86h	Slow J	AGoodLife	PT2HA2000008	31	hip hop tuga	0.571	0.715	0.887	0.0802	200.016	0.412	0.126
2Og56F1xyKSwgYe02GAkbX	T-Rex	MANIFESTAR	PT2JP2200019	42	trap tuga	0.0389	0.656	0.0	0.472	138.544	0.357	0.619
4ZLP49QBaQu9fXsOMKfueF	T-Rex,PiMP WiLLIAM	LADO NENHUM	PT2JP2200017	42	trap tuga	0.133	0.847	0.0	0.456	120.01	0.358	0.486
1NpIxgz5LrqKrB7FaIQ1bm	T-Rex	DISTÂNCIA	PT2JP2200016	46	trap tuga	0.415	0.778	0.0	0.119	104.947	0.324	0.397
2vGtivisPxm14aTTgie6xB	T-Rex	ANTI-ANTES	PT2JP2200015	52	trap tuga	0.216	0.836	0.0	0.521	139.938	0.665	0.475
1yy0Jh6IWVrq4fmZk7p8iG	T-Rex	TOMA CONTA	PT2JP2200012	43	trap tuga	0.416	0.762	0.0	0.158	115.048	0.392	0.378
6wDT7SWDZPlOoneWOmSmSC	T-Rex	PRA MIM	PT2JP2200010	47	trap tuga	0.607	0.655	0.0	0.164	97.364	0.638	0.586
2jCBoAj4pX9ZU1eLrAbabB	T-Rex	100 VIBES	PT2JP2200014	46	trap tuga	0.259	0.854	0.0	0.362	114.947	0.772	0.557
1OjAoIz5Gl36rzm9RKEQeG	Gson,Slow J,Sam The Kid	3,14	ES71G2119939	50	hip hop tuga	0.601	0.709	0.0	0.387	86.557	0.395	0.505
2dWbucCC3cVXQWi6JaL7js	FRANKIEONTHEGUITAR,Slow J,Ivandro	Imagina	PT9GN2100005	53	hip hop tuga	0.604	0.592	0.0	0.0754	139.315	0.357	0.416
0F8t8J0hAtZyBs9oWLnCGI	T-Rex	R&bsr&b$	ES71G1870108	45	trap tuga	0.658	0.565	6.79e-06	0.0684	97.962	0.248	0.399
5TqGewrmzgeb21FYQC7mJZ	Richie Campbell,Gson	Tsunami	PT9AN2100001	51	portuguese pop,reggae tuga	0.723	0.697	1.59e-05	0.122	98.113	0.334	0.5
6sbSiJafR0Dsp5UkhAjnsp	Richie Campbell	Live Forever	PT9AN2000002	35	portuguese pop,reggae tuga	0.625	0.578	5.27e-06	0.373	95.026	0.553	0.642
