sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6HU7h9RYOaPRFeh0R3UeAr	Olivia Rodrigo	deja vu	USUG12101240	86	pop	0.584	0.442	5.7e-06	0.112	180.917	0.178	0.612
0hxeouHqP3qzpTHerA7ha2	BTS	Dis-ease	QMFME2038761	70	k-pop,k-pop boy group	0.0132	0.731	0.0	0.132	101.085	0.484	0.845
4MidkNeonif4PcWSjkwOb7	Loco,Hwa Sa	Don’t	KRA381705099	60	k-pop,k-rap,korean r&b	0.538	0.849	0.0	0.0669	92.022	0.546	0.486
21aOLk12MksET8AsbU0SI6	TOMORROW X TOGETHER	LO$ER=LO♡ER	USA2P2119859	74	k-pop,k-pop boy group	0.001	0.644	0.0	0.0383	124.997	0.687	0.867
3zmrdOtnOogqLllz26WLZ3	ATEEZ	Deja Vu	KRD442100032	69	k-pop,k-pop boy group	0.0517	0.692	0.0	0.0628	80.017	0.566	0.835
1LNlfvPQmB0cqYJQQskZ8x	Jay Park,Ugly Duck	MOMMAE	KRA351505941	67	k-pop,k-rap,korean r&b	0.226	0.694	0.0	0.287	93.91	0.678	0.691
5VXSt0cvi5wtJTox0wKI4x	JEON SOMI	DUMB DUMB	KSA002100482	60	k-pop	0.0177	0.852	0.000133	0.0488	103.06	0.386	0.749
4flBNxpPLGVAdufOzRBIen	5 Seconds of Summer	Beside You	GBUM71401920	53	boy band,dance pop,pop,post-teen pop	0.00457	0.38	1.77e-05	0.105	153.115	0.558	0.822
6hSBGp2QEP8ogJQqF60UYD	Little Mix	Forget You Not	GBHMU1800102	45	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.335	0.727	0.0	0.0429	104.995	0.69	0.756
0k4d5YPDr1r7FX77VdqWez	Doja Cat,The Weeknd	You Right	USRC12100544	84	dance pop,pop	0.0164	0.828	0.00233	0.0565	128.986	0.436	0.621
6Im9k8u9iIzKMrmV7BWtlF	Ariana Grande	34+35	USUM72020423	80	dance pop,pop	0.237	0.83	0.0	0.094	109.978	0.485	0.585
3XYRV7ZSHqIRDG87DKTtry	BTS	Permission to Dance	QMFME2102684	81	k-pop,k-pop boy group	0.00544	0.702	0.0	0.0427	124.925	0.646	0.741
1PWOkqMORYdGa0OEh2GaXM	BLANCO	Notti In Bianco	ITUM72000788	68	italian pop	0.359	0.599	0.0	0.0422	75.004	0.693	0.79
3NbehQmQsyuN17EP7dW5mJ	Sick Luke,tha Supreme,Sfera Ebbasta	SOLITE PARE (feat. tha Supreme & Sfera Ebbasta)	ITB262101210	71	italian hip hop,trap italiana	0.282	0.66	0.0	0.0537	111.071	0.556	0.79
15WIkk29b7NqOK2poTRnOU	PSICOLOGI,ARIETE	TATUAGGI (feat. ARIETE)	ITLGE2000054	59	italian hip hop,rome indie	0.346	0.609	0.0	0.0949	94.973	0.654	0.69
46Au7GJaQ6XzjdQ4KJU1vt	Gazzelle,Mara Sattei	Tuttecose (feat. Mara Sattei)	ITIWE2100661	54	italian indie pop,rome indie	0.198	0.661	0.0	0.0479	83.027	0.659	0.64
2D3QYCDI7WrbSMbcIRRBdm	Little Mix	American Boy	GBHMU1800095	50	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.114	0.632	0.0	0.0954	77.024	0.783	0.862
3Dv1eDb0MEgF93GpLXlucZ	Doja Cat	Say So	USRC11903454	79	dance pop,pop	0.264	0.787	3.35e-06	0.159	110.962	0.779	0.673
6hH6QJ9ZAO0Z6m7PfvLoXW	ROSALÍA	CHICKEN TERIYAKI	USSM12109221	74	r&b en espanol	0.454	0.788	0.000141	0.115	97.936	0.558	0.4
78kygHp1dvW1kncYjBgbe1	Ryan Castro	Mujeriego	COSO12100328	82	trap colombiano	0.0628	0.758	0.0	0.125	79.949	0.92	0.621
62egMz6UViCkxGfWfeYVs5	Guè,Zuli,Emis Killa,Vacca	XXX Pt. 2 (Hardcore)	ITUM71100463	34	italian hip hop	0.138	0.683	0.0	0.279	152.058	0.673	0.685
2OMafyICAkBgwoRu45nLDY	Fedez	VITTORIA	ITB002100567	46	italian pop	0.0496	0.417	0.0	0.298	159.875	0.323	0.834
4HJ2yfFspj4kLfqufcVJ03	Fedez,CARA	FUORI DAI GUAI – with CARA	ITB002100564	41	italian pop	0.249	0.63	0.0	0.244	176.206	0.843	0.759
4LRPiXqCikLlN15c3yImP7	Harry Styles	As It Was	USSM12200612	100	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
3CYH422oy1cZNoo0GTG1TK	Red Velvet	Psycho	KRA301900597	74	k-pop,k-pop girl group	0.193	0.664	0.0	0.0446	139.987	0.405	0.666
5WokFKscrfGEGGLPTu3jgO	Zara Larsson,Sabrina Carpenter	WOW (feat. Sabrina Carpenter) - Remix	USSM12005545	66	dance pop,edm,electropop,pop,pop dance,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house	0.469	0.702	0.0	0.0861	77.486	0.305	0.744
35mvY5S1H3J2QZyna3TFe0	Ariana Grande	positions	USUM72019412	83	dance pop,pop	0.468	0.737	0.0	0.0878	144.015	0.682	0.802
