sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7qLf81Vy5JoTVBxymi9lnp	Ghostface	CAUSE I LOVE YOU FOR INFINITY	QZN882220932	13		0.507	0.651	0.0351	0.0348	108.054	0.336	0.568
77Ncp8gHsJ7G1ha8HNG0DV	Ruben Aguiar	A Musica do Gago	FR10S1914210	45		0.0122	0.803	0.0	0.0473	142.1	0.961	0.861
5FwzEdNYsvR9oIMSl4hlXS	Ruben Aguiar	Quem Não Come Em Casa	PTVI12000203	27		0.00204	0.66	0.0	0.0399	141.984	0.958	0.896
3k3NWokhRRkEPhCzPmV8TW	Bad Bunny,Bomba Estéreo	Ojitos Lindos	QM6MZ2214888	98	latin,reggaeton,trap latino	0.08	0.647	1.34e-06	0.0413	79.928	0.268	0.686
4thvlXaKvsCxnM6QexZybz	Banda Gol	Cidade Maravilhosa	BRGLD1600734	26		0.256	0.671	0.0	0.0949	93.329	0.626	0.525
493Rk3iS7rs8uPfpnfm95u	Farruko,Victor Cardenas,Dj Adoni	El Incomprendido	USSD12100701	76	latin,latin hip hop,reggaeton,trap latino	0.113	0.754	0.0	0.135	128.019	0.541	0.841
7BELSQR2lAJLELaKvVkct3	Ivandro	Lua	PT9GN2200001	64	trap tuga	0.843	0.629	0.000107	0.0854	152.088	0.35	0.348
4PphQyGp4tlvNl9y9hQ4lR	António Zambujo	Fado Da Vida Bela	PTMW11000013	13	fado	0.828	0.678	0.0102	0.0415	122.467	0.427	0.234
6EDj1nbl9wo6ivGI1t59G4	Jão	Idiota	BRUM72101785	75	pop nacional	0.0685	0.669	0.0	0.0421	131.957	0.84	0.785
2sUhjzuc6w4SRFwoC3LvXZ	Jovem Dionisio	ACORDA PEDRINHO	BCDJT2200002	81	indie curitibano	0.187	0.876	1.71e-06	0.341	124.016	0.876	0.359
50nfwKoDiSYg8zOCREWAm5	Ed Sheeran	Shivers	GBAHS2100671	90	pop,uk pop	0.281	0.788	0.0	0.0856	141.02	0.822	0.859
0Be7sopyKMv8Y8npsUkax2	Sebastian Yatra	Tacones Rojos	USUM72119612	83	colombian pop,latin,reggaeton colombiano	0.0824	0.748	0.0	0.0348	123.031	0.927	0.856
5H7muV14Pp4CAf3zdOBerU	Chiclete Com Banana	Diga Que Valeu	BRBMG0300171	49	axe,pagode	0.509	0.422	0.00246	0.0415	115.618	0.721	0.852
2BTotwLKE0C5wf4h2Q73Oy	Ruben Aguiar	Medley: Gago / Sara / Graças a Deus	PTVI12000215	22		0.000306	0.642	8.85e-06	0.0318	142.183	0.852	0.881
2KukL7UlQ8TdvpaA7bY3ZJ	Beyoncé	BREAK MY SOUL	USSM12206234	91	dance pop,pop,r&b	0.0575	0.687	2.21e-06	0.0826	114.941	0.853	0.887
