sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0FtrvYyXf77Rs6MOYl5McD	Cesare Cremonini	La Ragazza Del Futuro	ITUM72101556	54	classic italian pop,italian adult pop	0.141	0.667	6.35e-06	0.0337	117.984	0.611	0.691
1ScFIac7muS948EZV6XWQO	Cesare Cremonini	Mondo - Live Logico Tour / 2014	ITZL91500021	26	classic italian pop,italian adult pop	0.2	0.446	0.00112	0.0718	153.995	0.417	0.943
7tBzLyyiEaJyKuAN2aED04	Cesare Cremonini	Le Sei E Ventisei - Live Logico Tour / 2014	ITZL91500023	28	classic italian pop,italian adult pop	0.767	0.407	0.0	0.0521	139.025	0.371	0.395
79XU1UOfpdDUQPJ8JjMqVq	Cesare Cremonini	Vieni A Vedere Perché - Live Logico Tour / 2014	ITZL91500020	27	classic italian pop,italian adult pop	0.945	0.312	2.88e-05	0.0593	127.531	0.393	0.57
6ZG2FNiJ6e4KRMbIFx83qT	Cesare Cremonini	MoonWalk	ITUM72101557	53	classic italian pop,italian adult pop	0.135	0.513	0.0	0.0288	134.998	0.521	0.437
7LSBkEm5LQSkhe6yqqqBPs	Cesare Cremonini	Buon Viaggio (Share The Love)	ITZL91500001	62	classic italian pop,italian adult pop	0.347	0.58	1.76e-06	0.142	103.935	0.419	0.816
51dMeayOD1cdaKUfniTkZA	Cesare Cremonini	Chimica	ITUM72101560	57	classic italian pop,italian adult pop	0.0525	0.651	0.00279	0.0653	101.992	0.697	0.798
5nIBAxexnK1M7VSTa39Tn6	Cesare Cremonini	La Nuova Stella Di Broadway - Live Logico Tour / 2014	ITZL91500012	37	classic italian pop,italian adult pop	0.536	0.406	0.000335	0.041	139.938	0.326	0.736
1ZvVuMyus328QRAkiMAc00	Cesare Cremonini	Lost In The Weekend	ITZL91500003	51	classic italian pop,italian adult pop	0.124	0.716	2.43e-06	0.0551	108.007	0.502	0.861
4kkyukeRdCgbHG6NOXa5He	Lucio Dalla	Stella di mare	ITB007800880	48	canzone d'autore,classic italian pop,italian adult pop	0.192	0.458	1.74e-05	0.0574	127.239	0.434	0.407
3p5Lg10aHpp9mM3ybtiTkI	Cesare Cremonini	GreyGoose - Live Logico Tour / 2014	ITZL91500024	24	classic italian pop,italian adult pop	0.0239	0.339	0.000234	0.446	190.033	0.449	0.939
3XO6IqDJCZOnobmUTgeevx	Cesare Cremonini	Logico #1 - Live Logico Tour / 2014	ITZL91500005	27	classic italian pop,italian adult pop	0.00825	0.34	1.82e-06	0.0459	159.988	0.336	0.886
07qo9gnLM488CUr0EtgIA1	Cesare Cremonini	Poetica	ITZL91700003	63	classic italian pop,italian adult pop	0.014	0.393	0.0	0.0339	139.807	0.202	0.607
4fhFlAt190S56lFG1B8uwD	Cesare Cremonini	Marmellata #25 - Live Logico Tour/ 2014	ITZL91500022	26	classic italian pop,italian adult pop	0.315	0.455	0.0107	0.0378	118.867	0.324	0.763
5OzrWMhtUp5fRAsgl51wOv	Cesare Cremonini	Delfini	ITUM72101566	42	classic italian pop,italian adult pop	0.958	0.729	0.699	0.0443	125.09	0.738	0.206
5uPp9Ms2UXvRj6gyLrOVVC	Cesare Cremonini	Marmellata #25 - Live Logico Tour/ 2014	ITZL91500022	24	classic italian pop,italian adult pop	0.315	0.455	0.0107	0.0378	118.867	0.324	0.763
2BQn3XjPJxX4GbcuV24mc6	Cesare Cremonini	Dev'essere Così	NLE880800013	48	classic italian pop,italian adult pop	0.725	0.514	0.000533	0.0377	93.997	0.367	0.242
13dsTRE5EABf7xgbMqpNtj	Cesare Cremonini	Le Sei E Ventisei - Live Logico Tour / 2014	ITZL91500023	24	classic italian pop,italian adult pop	0.767	0.407	0.0	0.0521	139.025	0.371	0.395
7dB6gRv20JiyjEjSt5phtO	Cesare Cremonini	Il Pagliaccio	NLE880800009	45	classic italian pop,italian adult pop	0.379	0.443	0.000145	0.0302	159.972	0.19	0.723
