sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0MMyJUC3WNnFS1lit5pTjk	Olivia Rodrigo	jealousy, jealousy	USUG12101248	88	pop	0.198	0.695	0.0	0.116	163.929	0.699	0.575
5nujrmhLynf4yMoMtj8AQF	Dua Lipa,DaBaby	Levitating (feat. DaBaby)	GBAHT2000942	89	dance pop,pop,uk pop	0.00883	0.702	0.0	0.0601	102.977	0.915	0.825
0IuVhCflrQPMGRrOyoY5RW	Tate McRae	she's all i wanna be	USRC12103120	91	alt z,pop	0.0134	0.614	7.07e-06	0.0426	160.036	0.651	0.644
1TnUURhehaoMWKAqQtirm6	Halsey	Colors	USUM71507629	71	dance pop,electropop,etherpop,indie poptimism,pop	0.0534	0.512	0.0	0.0617	100.02	0.521	0.812
5nsMKSAJwcr1pA9I6PW429	sundial	24	USLD91734680	65		0.0303	0.839	0.0	0.131	135.996	0.831	0.525
77o1HdXHm1hLd7Ebe9ygd0	Bea Miller	THAT BITCH	CA5KR1963712	70	alt z,dance pop,electropop,indie poptimism,modern rock,pop,post-teen pop,talent show	0.0103	0.778	0.0	0.218	162.132	0.626	0.738
3XF5xLJHOQQRbWya6hBp7d	Billie Eilish	you should see me in a crown	USUM71810049	80	art pop,electropop,pop	0.462	0.678	0.219	0.186	150.455	0.323	0.533
4ZtFanR9U6ndgddUvNcjcG	Olivia Rodrigo	good 4 u	USUG12101245	94	pop	0.335	0.563	0.0	0.154	166.928	0.688	0.664
0FPfkAGl5xLLZ8kIl7eDYi	Huddy	The Eulogy of You and Me	USUM72101562	55	social media pop	0.000168	0.513	0.0	0.0684	143.943	0.382	0.849
0GQqQ7dA7B4mcEktSZaOUp	Ruel	as long as you care	USRC12002400	63	alt z,australian alternative pop,dance pop,electropop,pop	0.00692	0.55	0.0	0.0377	78.68	0.308	0.591
4Gt2kh3QbAGU6yquOWn4aW	Lauv,Conan Gray	Fake	GBKPL2025498	74	dance pop,electropop,pop	0.139	0.703	0.0	0.0783	82.96	0.455	0.657
1xyUCr7dIJYaUaaiDf4Q1L	blackbear	queen of broken hearts	USUG12000337	72	electropop,pop,pop rap	0.00663	0.717	0.0	0.0765	97.019	0.825	0.712
52xJxFP6TqMuO4Yt0eOkMz	Carolina Gaitán - La Gaita,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast	We Don't Talk About Bruno	USWD12112915	93		0.357	0.577	0.0	0.0834	205.863	0.83	0.45
32BeYxKPrig1LefHsC0Xuo	Billie Eilish	Happier Than Ever - Edit	USUM72116908	87	art pop,electropop,pop	0.0468	0.334	0.000392	0.0365	161.74	0.127	0.599
1BSMpVGWs3v5BZKnAQziAc	Charlie Puth	Light Switch	USAT22107359	90	dance pop,pop,viral pop	0.105	0.69	0.000335	0.306	184.009	0.912	0.626
4fouWK6XVHhzl78KzQ1UjL	GAYLE	abcdefu	USAT22103652	97	modern alternative pop	0.299	0.695	0.0	0.0493	121.932	0.415	0.54
3bWubl9oMzs5Z1n5KZXSSz	SHY Martin	can I call you back?	SE5262000108	59	alt z,electropop,pop,swedish electropop	0.827	0.647	0.0	0.0367	126.243	0.267	0.319
3XoYqtiWHhsk59frZupImG	Diane Guerrero,Stephanie Beatriz	What Else Can I Do?	USWD12112916	85		0.258	0.718	0.0	0.039	119.974	0.54	0.709
4E7B45OimTovLiETRzSBly	Glee Cast,2CELLOS	Smooth Criminal (Glee Cast Version) (feat. 2CELLOS)	USQX91200007	60	glee club,hollywood,post-teen pop	0.634	0.756	0.00068	0.0436	135.045	0.905	0.814
7dOeiXeTSfA1ixaYmQcWu7	OneRepublic,Seeb	Rich Love (with Seeb)	USUM71705541	67	dance pop,piano rock,pop,pop rock	0.167	0.401	0.0	0.314	104.592	0.472	0.872
4Ycb9rQ9sFgClXdWQUanM7	Casey Lowry	we had everything...	SGB502104776	58	derby indie	0.147	0.7	0.0	0.112	67.526	0.708	0.451
1eumDcFTsoLPEN31viUhkt	Cat Dealers,Magga,Evokings	Gravity (feat. Magga & Evokings)	BXPNF1600001	61	brazilian edm	0.0121	0.727	0.000218	0.04	124.02	0.113	0.638
40JjCZcdzT9ldZk5DhFqdZ	Little Mix,Saweetie	Confetti (feat. Saweetie)	GBHMU2100002	67	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.178	0.733	0.0	0.053	107.088	0.485	0.643
18XlJEroUwFo0tLZxscgXE	Maroon 5	Lost	USUM72106314	79	pop,pop rock	0.223	0.766	0.00028	0.16	142.989	0.766	0.706
6KgtcmCF9Ky68XC7ezxl3s	Lizzo,Cardi B	Rumors (feat. Cardi B)	USAT22104137	78	dance pop,escape room,minnesota hip hop,pop,trap queen	0.13	0.827	0.0	0.088	118.992	0.607	0.731
6Uj1ctrBOjOas8xZXGqKk4	Doja Cat	Woman	USRC12101532	95	dance pop,pop	0.0888	0.824	0.00294	0.0854	107.998	0.881	0.764
0A1hoCfMLkiAgvhWkkucJa	Megan Thee Stallion	Body	QMCE32000683	77	dance pop,houston rap,pop,trap queen	0.0166	0.914	0.0	0.241	94.066	0.469	0.732
31sZ3f4En15JbGW4uIEH7D	thuy	figured u out	QZLBC2100399	66	chill r&b,pop,pop r&b,r&b	0.225	0.747	0.0	0.0603	122.023	0.642	0.446
4Oun2ylbjFKMPTiaSbbCih	Cardi B,Megan Thee Stallion	WAP (feat. Megan Thee Stallion)	USAT22005111	84	dance pop,pop,pop rap,rap	0.0194	0.935	0.0	0.375	133.073	0.357	0.454
76Tuo484SLohJakHLnGI3B	Little Mix	Sweet Melody	GBHMU2000062	74	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.0739	0.448	0.0	0.057	119.965	0.419	0.824
18asYwWugKjjsihZ0YvRxO	Tiësto,Ava Max	The Motto	CYA112001070	94	big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house	0.0301	0.754	2.23e-05	0.0435	117.953	0.464	0.763
1IdDtg7GhWfHYEWDymq3d2	Dua Lipa	If It Ain’t Me	GBAHT2001149	69	dance pop,pop,uk pop	0.0185	0.809	8.77e-05	0.145	114.986	0.57	0.623
0fdQue15BjCMA3ov14ubF4	Megan Thee Stallion	Rich	QMCE32000100	57	dance pop,houston rap,pop,trap queen	0.0246	0.963	0.0	0.264	104.016	0.965	0.799
4LRPiXqCikLlN15c3yImP7	Harry Styles	As It Was	USSM12200612	100	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
5OCJzvD7sykQEKHH7qAC3C	Ariana Grande	God is a woman	USUM71808574	82	dance pop,pop	0.0233	0.602	6e-05	0.0558	145.031	0.268	0.658
3Kkjo3cT83cw09VJyrLNwX	Adele	Oh My God	USSM12105973	90	british soul,pop,pop soul,uk pop	0.091	0.534	0.0	0.046	88.098	0.55	0.725
5902W4uHWzhtOff1UK7the	Alesso,Katy Perry	When I’m Gone (with Katy Perry)	USUG12106230	85	dance pop,edm,electro house,pop,pop dance,tropical house	0.028	0.685	0.0	0.034	125.034	0.615	0.886
7FdmHr87G79PDRGy9SPBkZ	Megan Thee Stallion	Thot Shit	QMCE32100339	72	dance pop,houston rap,pop,trap queen	0.0199	0.949	0.0	0.0946	130.012	0.887	0.683
0MWiSBKm8Avs8iDIxcertp	Anne-Marie,Little Mix	Kiss My (Uh Oh)	GBAHS2100220	77	dance pop,pop,pop dance,post-teen pop,tropical house,uk pop	0.0151	0.638	0.000223	0.0484	103.948	0.481	0.878
7mFj0LlWtEJaEigguaWqYh	Megan Thee Stallion,Dua Lipa	Sweetest Pie	QMCE32200232	90	dance pop,houston rap,pop,trap queen	0.167	0.814	0.0	0.221	123.977	0.677	0.628
