sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0iqk44gA8PaId0Fwa6eesN	Angèle	Bruxelles je t’aime	BE8HB2100003	62	belgian pop,variete francaise	0.104	0.74	0.0	0.036	107.998	0.497	0.567
7nRmfGNhHKEEu5o8yFXLXt	Disclosure,Lorde	Magnets	GBUM71503568	64	edm,house,pop,uk dance	0.0626	0.704	1.49e-06	0.162	92.005	0.654	0.628
3wJVBz7gvGTwTWVAxFa6ny	Dua Lipa,Angèle	Fever	GBAHT2000834	71	dance pop,pop,uk pop	0.0597	0.868	0.00399	0.181	114.999	0.396	0.693
75FEaRjZTKLhTrFGsfMUXR	Kate Bush	Running Up That Hill (A Deal With God)	GBCNR8500002	95	art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter	0.72	0.629	0.00314	0.055	108.375	0.197	0.547
5iUnomffoLeQsdlY2k5TDU	Lorde	Fallen Fruit	NZUM72100181	57	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.93	0.491	0.0187	0.0306	124.91	0.11	0.309
38Zs2b75JPNB2tS7O7JQnS	Lorde	Stoned at the Nail Salon	NZUM72100180	66	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.948	0.473	5.36e-05	0.0365	93.95	0.0897	0.128
6ZLGthToczpvnL5Eoy6yrY	All Saints	Pure Shores	GBAAP0000001	63	dance pop,europop,girl group,new wave pop,pop rock	0.0498	0.631	0.00042	0.0242	100.618	0.407	0.664
4TYPnvjBbEfcDkk1UxpvYB	Lorde	California	NZUM72100179	59	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.817	0.644	0.0	0.0369	93.011	0.549	0.443
1toRu029yjgrleWg2w3gNU	Lorde	Secrets from a Girl (Who's Seen it All)	NZUM72100182	61	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.604	0.669	1.48e-05	0.0441	88.012	0.574	0.524
73W5aXorr5vxrySFcoZqIN	Big Red Machine,Taylor Swift	Renegade (feat. Taylor Swift)	US38Y2141505	68	eau claire indie,folktronica,indie folk,indie pop	0.44	0.53	0.0233	0.0461	167.964	0.577	0.712
7rb4dcBfW0m1LQQcDCh4Hv	Lorde	Mood Ring	NZUM72100187	66	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.422	0.683	1.17e-05	0.0744	95.011	0.373	0.478
55N0YHhO55Q1lWsc4dDPcI	Lorde	A World Alone	NZUM71300128	61	art pop,dance pop,electropop,metropopolis,nz pop,pop	0.289	0.561	0.00164	0.0362	118.017	0.0663	0.485
2KukL7UlQ8TdvpaA7bY3ZJ	Beyoncé	BREAK MY SOUL	USSM12206234	0	dance pop,pop,r&b	0.0438	0.697	1.04e-05	0.0805	115.001	0.871	0.878
4E6cwWJWZw2zWf7VFbH7wf	Sara Bareilles	Love Song	USSM10700066	74	acoustic pop,dance pop,hollywood,lilith,neo mellow,pop,pop rock	0.0208	0.583	0.0	0.0301	123.055	0.573	0.786
10Nmj3JCNoMeBQ87uw5j8k	Red Hot Chili Peppers	Dani California	USWB10600700	78	alternative rock,funk metal,funk rock,permanent wave	0.0193	0.556	8.59e-06	0.0437	96.184	0.73	0.913
1LiNP5q2thWScdvCRkJ584	TWICE	UP NO MORE	US5TA2000136	63	k-pop,k-pop girl group	0.0298	0.709	4.46e-06	0.0585	119.948	0.713	0.88
5gW5dSy3vXJxgzma4rQuzH	Janelle Monáe	Make Me Feel	USAT21800745	66	afrofuturism,alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b,urban contemporary	0.132	0.859	0.0	0.182	115.035	0.697	0.413
3bSqwulBNtALwSJ7DotnJt	Ligabue	Ti sento	ITQ000200023	51	italian adult pop,italian pop rock	0.0378	0.444	8.37e-06	0.028	95.836	0.269	0.719
2HLohseraYUuuP9Jgz6pZ7	SUNMI	24시간이 모자라	US5TA1400008	38	k-pop	0.00549	0.739	1.41e-05	0.103	125.94	0.604	0.782
7rXcCpIAoOUCydkVDMcoPV	TAEYEON	INVU	KRA302200026	74	k-pop	0.0911	0.599	2.17e-06	0.0556	106.962	0.399	0.816
38rUIlTX93Aoif3WcY1wv6	ITZY	DALLA DALLA	US5TA1900013	68	k-pop girl group	0.00116	0.79	4.23e-05	0.0666	125.0	0.713	0.853
6ciLLh4TkPYDUfNxn2Z0KO	Selena Gomez & The Scene	Hit The Lights	USHR11132670	61	dance pop,pop,post-teen pop	0.115	0.56	0.0	0.0567	129.97	0.573	0.88
5x2p715xYEKn2AdV9pNv52	KAI	Reason	KRA302000605	56	k-pop	0.217	0.583	0.0	0.216	204.002	0.543	0.672
3KliPMvk1EvFZu9cvkj8p1	Britney Spears	Work Bitch	USRC11301398	71	dance pop,pop,post-teen pop	0.155	0.629	0.000628	0.159	128.01	0.852	0.824
7IOuCLt770D8v0u3SVaDeI	Little Mix	Wasabi	GBHMU1800097	68	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.00451	0.847	0.000854	0.115	114.001	0.234	0.656
2NeSirLM2VHQW4upn0nMfB	Peggy Gou	Starry Night - Edit	GBJX31975003	64	electra,float house	0.00915	0.747	0.486	0.0351	122.994	0.935	0.865
