sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0SEq5iH5GdLdu4LBf9CzOW	Mc Gw	Ritmo Mexicano	BXG6R2100628	56	funk carioca,funk mtg,funk ostentacao,funk paulista	0.125	0.687	0.00839	0.0983	179.991	0.706	0.872
0pHEbxHbyspnvEx7MPJE8c	Os Cretinos,MC WM	Qual bumbum mais bate. Qual bumbum mais pula	BXSMW1701056	49	funk carioca	0.263	0.864	0.00108	0.104	86.645	0.69	0.479
7rLegaz7zKB6EtDNzcslKE	MC Kevin o Chris,DENNIS	Medley da Gaiola - DENNIS Remix	BRT3O1800081	57	funk 150 bpm,funk carioca	0.711	0.896	0.0	0.228	140.073	0.686	0.756
1RljKrmC3uVtuP8w0RW2xk	MC G15	Cara Bacana	BXG6R2100800	57	funk carioca,funk mtg,funk ostentacao,funk paulista	0.0711	0.599	0.0	0.0644	87.891	0.726	0.512
2bbFhnxYjeb9jYEX2MDKLQ	MC Kevinho	Uma nora pra cada dia	BRWMB1900941	49	arrocha,funk carioca,funk ostentacao,funk pop	0.0394	0.888	0.0	0.192	150.181	0.924	0.528
0nKiPnnqn6bfn8sPOZJGs8	Noname	Self	QM24S1834470	55	alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop	0.855	0.809	0.000977	0.252	92.132	0.811	0.541
2PI15t0CKPlXPbScWelchz	Dave B.	Sweetest Thing	USQY51789276	44	alternative r&b,seattle hip hop,underground hip hop	0.446	0.781	1.68e-06	0.036	124.048	0.477	0.557
0UVfZ1QfaSPqRHhmZNVI71	Noname,Akenya,Eryn Allen Kane	Reality Check (feat. Akenya & Eryn Allen Kane)	TCACR1605434	51	alternative r&b,chicago rap,escape room,hip hop,indie soul,neo soul,underground hip hop	0.525	0.722	0.000494	0.229	95.014	0.655	0.519
3hxIUxnT27p5WcmjGUXNwx	Hotel Ugly	Shut up My Moms Calling	TCAEQ2083509	77		0.325	0.485	0.0	0.101	138.419	0.376	0.409
0gV5B7zmJkS1aaH9APokrH	Jay Rock,Kendrick Lamar	Wow Freestyle (feat. Kendrick Lamar)	USUG11801039	71	conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop	0.0355	0.782	0.0	0.341	150.055	0.749	0.633
2LSbhdcLsrG5jDBSB0FG4b	o k h o,Saito,Chester Watson	Fetti	GBLFP1582960	31	chillhop,lo-fi beats,phonk	0.351	0.769	5.44e-06	0.324	84.951	0.71	0.562
5qHirGR7M9tdm6C17DlzSY	Aminé	REEL IT IN	USUM71811853	76	hip hop,pop,portland hip hop,rap,underground hip hop	0.073	0.754	0.0	0.0991	128.981	0.423	0.342
