sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2bHEObIToIMkdZRXsC04Kt	Chayanne	Tu Pirata Soy Yo	NLB638870000	61	latin,latin pop,puerto rican pop	0.455	0.337	0.0	0.0313	97.311	0.255	0.376
1tgAuknhoJhAtNFeXf0AZu	Mckenna Grace	Post Party Trauma	QZ47A2200904	51		0.554	0.487	0.0	0.0262	147.735	0.278	0.446
0vf2eBw2inhl8y61cYQMv2	Cavetown	Devil Town	TCADM1818860	78	bedroom pop,indie pop	0.12	0.576	0.0	0.0599	99.969	0.501	0.759
3RhyHYnYxuGnP8njFlNxHq	Tate McRae	don't come back	USRC12200894	77	pop,uk pop	0.106	0.707	3.54e-06	0.059	87.999	0.386	0.483
21szgNA72iLwvBxHQLgwBh	Nessa Barrett	die first	USWB12201358	78	alt z,electropop,pop,social media pop	0.0669	0.444	0.0	0.125	183.441	0.44	0.669
05ufCucv6Z1oLMWeS8XapR	Kali Uchis,Rico Nasty	¡aquí yo mando!	GBUM72004218	59	colombian pop,dance pop,pop	0.0323	0.723	8.84e-06	0.0524	157.087	0.449	0.615
1CrPPsibP3uTc3DSI5vQC5	Kali Uchis,SZA	fue mejor (feat. SZA)	GBUM72106930	65	colombian pop,dance pop,pop	0.239	0.769	0.000227	0.0353	106.002	0.23	0.384
3z8mSkj9xXbEAEPXjQiakz	Chavela Vargas	Macorina	ES5159623023	24	bolero,ranchera,trova	0.901	0.611	0.000153	0.0555	98.635	0.578	0.218
60S6OqCPR6yDi8hVmbVHPR	Silvana Estrada	Sabré Olvidar	QZ5AB1953474	47	jazz mexicano,mexican indie,nuevo folklore mexicano,veracruz indie	0.637	0.331	0.000281	0.0561	185.928	0.38	0.57
7lta1NBNyp50gaTqHT6U4S	Caifanes	Quisiera Ser Alcohol	MXF019400345	52	latin alternative,latin rock,mexican rock,nu-cumbia,rock en espanol,rock urbano mexicano	0.0937	0.614	0.0	0.0282	98.803	0.259	0.319
4SutBECg5t8YqY1hz8SbwX	DORA	Ojos de Serpiente	QM4TW2097516	44		0.707	0.597	0.0	0.112	126.83	0.341	0.272
2cbzjMyNO1jfIMpRHA3Ada	U.S. Girls	Rage of Plastics	GBAFL1700325	31	art pop,chamber psych,experimental pop	0.0528	0.582	0.00132	0.0445	135.32	0.631	0.711
4skuEIloXWuxxgekKupkEH	Mon Laferte	Tu Falta De Querer	MXUM71502002	76	latin,latin alternative,latin pop	0.0251	0.394	0.00749	0.028	129.995	0.441	0.475
6kdCN6gTWLcLxmLXoUcwuI	Café Tacvba	Eres	USMC10300331	74	latin,latin alternative,latin rock,mexican rock,rock en espanol	0.0107	0.583	0.0136	0.0271	149.987	0.446	0.731
0gmStTUTuiU807EB4KafOX	maye	Yours	QM24S2100895	60	latinx alternative	0.714	0.67	0.065	0.0358	89.008	0.799	0.707
1V4myk1VSd1ntUgarEjJ4e	Arielle Dombasle	Perfidia	FR2S30400050	13		0.891	0.334	0.00831	0.0277	101.089	0.498	0.39
5ySxlyvySBhIEvoO2xx7uT	Juan Gabriel	Querida	MXF018800797	63	cancion melodica,latin,latin pop,mariachi,musica mexicana,ranchera	0.376	0.528	0.0	0.0258	89.089	0.46	0.383
