sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3DTqHfTGj1c6y2gDXsTez4	RAYE,Rudimental	Regardless	GBUM72005576	64	dance pop,edm,pop,pop dance,post-teen pop,tropical house,uk contemporary r&b,uk dance,uk pop	0.0205	0.749	0.000685	0.0478	120.066	0.534	0.82
5kooLfotmf7TThjWPUm0JJ	Sorn	Sharp Objects	AUXN22228788	50		0.00385	0.532	0.0	0.115	171.873	0.315	0.854
6WDRJDnRQ28UUn4ytxSMGA	Faouzia	Puppet	USAT22106293	45	alt z,canadian pop,dance pop,pop,post-teen pop	0.016	0.696	0.0	0.0453	130.074	0.395	0.816
7qD2vjd3btuOgwpQPEY7ci	Mc Don Juan,MC G15,Mc Davi	EU VOU COM CARINHO ELA QUER COM FORÇA	BRWMB2200536	67	arrocha,batidao romantico,funk carioca,funk ostentacao,funk paulista	0.353	0.82	1.69e-05	0.0485	129.854	0.209	0.28
58HvfVOeJY7lUuCqF0m3ly	Elley Duhé	MIDDLE OF THE NIGHT	USRC11903813	92	alt z,pop	0.0228	0.41	0.0	0.0467	185.727	0.0899	0.611
13KR2yNRDrbKwR3dOKCDl4	STAYC	SO BAD	KRA382006274	65	k-pop,k-pop girl group	0.19	0.557	0.0	0.103	168.978	0.616	0.906
1fdlTXD7obDyqOpx96BEL9	Dreamcatcher	MAISON	KRB462200354	71	k-pop,k-pop girl group	0.129	0.686	0.0	0.159	120.007	0.496	0.955
73cnVqsbZygieKi8xF10sO	Camila Cabello,WILLOW	psychofreak (feat. WILLOW)	USSM12201108	69	dance pop,pop,post-teen pop	0.342	0.629	1.17e-05	0.0752	179.989	0.448	0.64
0oN3KzKOxYtyIuNiobf8Q4	Sabrina Carpenter	Fast Times	USUM72200377	65	alt z,dance pop,electropop,pop,post-teen pop	0.0687	0.721	0.0	0.0408	132.465	0.739	0.666
3oobWqIgYrSRg18uqRuPIF	Jamelia	Superstar	GBAYE0202055	68	bubblegum dance,europop	0.0457	0.801	0.0	0.0356	110.01	0.824	0.645
3QD0Y1tTngihByjdWC99lG	CHUNG HA	Killing Me	KRMIM2143516	63	k-pop	0.35	0.722	0.0	0.264	122.012	0.763	0.851
6Rx0ORYPP3GH9rTvGS5Vy8	EXO	CALL ME BABY	KRA301500111	64	k-pop,k-pop boy group	0.284	0.692	0.0	0.0519	100.03	0.879	0.886
2Q4MRMnSAMckugCtR5jgXT	Alvaro Diaz,Rauw Alejandro	Problemón	USUM72118879	76	reggaeton,trap boricua,trap latino	0.275	0.729	7.58e-06	0.064	91.99	0.369	0.737
2RIE736kkO0hLZ4Y3auCL2	Cailin Russo	September Rose	UKELY1700003	39	la pop	0.675	0.6	4.42e-06	0.231	177.91	0.292	0.497
0Ws3ORFcdtgqA3FITquhQ7	Arlo Parks	george	GBLVL1900044	39	indie soul,uk contemporary r&b	0.672	0.677	0.000124	0.0304	96.985	0.539	0.394
3AyuigFWbuirWHvidbMz8O	Sufjan Stevens	Should Have Known Better	US64G1509902	63	baroque pop,chamber pop,singer-songwriter	0.98	0.493	0.263	0.0317	90.928	0.296	0.171
1pKYYY0dkg23sQQXi0Q5zN	Daft Punk	Around the World	GBDUW0600009	74	electro,filter house	0.00356	0.956	0.889	0.15	121.294	0.841	0.795
70AYiGbc4mWZGEqiipBBDb	ROSALÍA	CANDY	USSM12109219	78	r&b en espanol	0.885	0.638	0.0116	0.226	179.905	0.403	0.49
3miMeSGd7rzJEtuhQnzm0f	BIGBANG	BAE BAE	KRA401500542	55	k-pop,k-pop boy group	0.00674	0.691	0.0	0.0374	139.954	0.435	0.631
