sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3YBZIN3rekqsKxbJc9FZko	Guns N' Roses	Paradise City	USGF18714806	76	glam metal,hard rock,rock	0.0169	0.273	0.0111	0.0843	100.271	0.472	0.952
3YRCqOhFifThpSRFJ1VWFM	Guns N' Roses	November Rain	USGF19141510	77	glam metal,hard rock,rock	0.0163	0.294	0.22	0.0291	79.759	0.226	0.641
7o2CTH4ctstm8TNelqjb51	Guns N' Roses	Sweet Child O' Mine	USGF18714809	80	glam metal,hard rock,rock	0.0866	0.454	0.0996	0.0448	125.116	0.629	0.91
0C3hl4giyPEnDQf2IlWpk2	Simone & Simaria,Sebastian Yatra	No Llores Más	BRUM72003904	58	funk carioca,pop nacional,sertanejo,sertanejo pop,sertanejo universitario	0.0895	0.687	0.0	0.0627	95.026	0.365	0.817
3Srq9hHoklnOSzg1yxMzm9	Simone & Simaria,Anitta	Loka	BRUM71603450	43	funk carioca,pop nacional,sertanejo,sertanejo pop,sertanejo universitario	0.0809	0.637	0.0	0.198	180.017	0.679	0.828
4uoR6qeWeuL4Qeu2qJzkuG	Maluma	Hawái	USSD12000190	74	latin,reggaeton,reggaeton colombiano,trap latino	0.189	0.787	2.29e-05	0.389	180.066	0.545	0.728
2N2yrmodOnVF10mKvItC9P	Guns N' Roses	Don't Cry (Original)	USGF19141504	73	glam metal,hard rock,rock	0.00182	0.456	0.00379	0.0327	124.635	0.243	0.59
1OEoNpiyqBghuEUaT6Je6U	Guns N' Roses	Patience	USGF18819805	67	glam metal,hard rock,rock	0.686	0.457	0.000107	0.0306	120.021	0.333	0.297
4JiEyzf0Md7KEFFGWDDdCr	Guns N' Roses	Knockin' On Heaven's Door	USGF19142004	76	glam metal,hard rock,rock	0.0211	0.496	0.00444	0.0415	132.41	0.378	0.739
5kr0kja5gbZAaT7w3TGKts	Calema	Te Amo	PT0GP2000049	53	musica santomense,portuguese pop	0.241	0.522	0.00016	0.136	126.202	0.482	0.688
4btFHqumCO31GksfuBLLv3	Ed Sheeran	Overpass Graffiti	GBAHS2100673	80	pop,uk pop	0.00253	0.52	0.0	0.186	175.908	0.774	0.849
3AzjcOeAmA57TIOr9zF1ZW	Dua Lipa	Physical	GBAHT1901298	74	dance pop,pop,uk pop	0.0137	0.647	0.000658	0.0457	146.967	0.746	0.844
13A9HS7AJ4eDlTeuuMms8W	Bárbara Tinoco,Bárbara Bandeira	Cidade	QZES72125294	44	portuguese pop	0.867	0.628	0.0	0.0315	77.992	0.633	0.482
0nl6IxtXJ5IXHx6VorcEUs	MC Kekel,MC Rita	Amor de Verdade	BRKO11800053	57	funk carioca,funk consciente,funk ostentacao,funk paulista	0.138	0.638	0.0	0.0851	120.235	0.461	0.724
1zLjeZ1wN0zljDS104ZK9c	Rita Rocha	Mais Ou Menos Isto	PTNO12100078	50		0.551	0.757	0.00214	0.03	124.013	0.463	0.549
2ez6qvOTHKeI3ss80NGqnI	SHAED,ZAYN	Trampoline (with ZAYN)	QZ47A1900210	65	electropop,pop	0.56	0.619	0.0	0.0334	126.803	0.498	0.459
6kyxQuFD38mo4S3urD2Wkw	Muse	Unintended	GBCVT9900015	58	modern rock,permanent wave,rock	0.647	0.487	0.00185	0.0265	139.362	0.162	0.279
