sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2V4Fx72svQRxrFvNT1eq5f	K/DA,(G)I-DLE,Wolftyla,Bea Miller,League of Legends	THE BADDEST	QZH6S1900262	70	k-pop girl group	0.0215	0.676	0.0	0.0438	149.981	0.717	0.857
6BFxfy7nDu9jzLq5qJKT0j	Dolly Parton	When Someone Wants to Leave	USRN19400062	40	classic country pop,country,country dawn	0.795	0.669	0.0	0.0386	97.737	0.697	0.361
3GY6130rSCMWPWtQ4caG1l	Superfruit	Worth It (Perfect)	USRC11701392	33		0.0129	0.661	5.72e-05	0.129	95.837	0.333	0.473
4NVrWNWPmBHHRAwU8q4GOS	Laura Dreyfuss	Better Drugs	QMRSZ1900854	36	show tunes	0.169	0.73	0.0	0.269	78.028	0.694	0.554
56YbKSljGEtc3kYD53PsKZ	Rina Sawayama	10-20-40	GBK3W1901195	50	art pop,dance pop,electropop,escape room,pop	0.0458	0.573	0.0	0.0334	98.011	0.673	0.901
6PZpNMstpIiRenGK5UyG5D	Charli XCX	Good Ones	GBAHS2100596	66	art pop,candy pop,dance pop,electropop,metropopolis,pop,uk pop	0.072	0.764	3.32e-06	0.0293	129.049	0.789	0.672
2SpEHTbUuebeLkgs9QB7Ue	Dolly Parton	Jolene	USRN19600096	74	classic country pop,country,country dawn	0.566	0.674	0.0	0.0363	110.578	0.809	0.537
7cYLxxt7szZ5tkOPVWZyfO	Aly & AJ	Joan of Arc on the Dance Floor	GBKPL2089246	58	dance pop,electropop,girl group,indie pop,indie poptimism,pop,post-teen pop,uk pop	0.00283	0.649	5.09e-05	0.0348	119.994	0.462	0.807
37mfTcSlX60JtAvAETytGs	I DONT KNOW HOW BUT THEY FOUND ME	Choke	TCADH1774692	72	alt z,indie pop,modern rock,rock	0.00139	0.516	0.0	0.0706	120.324	0.583	0.85
1CbVW4053T6y8dOJ7L3zsj	PAENDA	Love Myself	ATB791908604	1	austrian pop	0.146	0.629	0.0	0.0415	131.579	0.296	0.645
1SC5rEoYDGUK4NfG82494W	Lil Nas X	MONTERO (Call Me By Your Name)	USSM12100531	85	lgbtq+ hip hop,pop	0.293	0.593	0.0	0.22	178.781	0.71	0.503
2XlWDjXQsHtGHqKa0jq7T5	MARINA	The Outsider	GBFFS0900116	45	dance pop,electropop,metropopolis,pop,uk alternative pop	0.268	0.581	0.0	0.0306	147.001	0.68	0.895
7BoVAJ0HuKcBBRmUGlzX6o	Rina Sawayama	LUCID	GBK3W2001612	64	art pop,dance pop,electropop,escape room,pop	0.0146	0.675	0.000488	0.0487	125.98	0.514	0.885
3XREkzDHsWdBL5tybyCDBH	Chanel	SloMo	ES94B2100282	80		0.125	0.728	0.00448	0.0571	104.962	0.594	0.814
74j38AxRecUuPBcoO72BeL	Nikki Fre$h	Lil Gems	ushm92091765	44		0.146	0.854	4.35e-05	0.097	118.042	0.728	0.71
6s5uwOWkYK20spzICXQPNm	Rina Sawayama,Bree Runway	XS - Bree Runway Remix	GBK3W2001461	47	art pop,dance pop,electropop,escape room,pop	0.169	0.629	0.0	0.122	117.049	0.735	0.932
4aguR8nLIlmF6WCOlCArhT	Charli XCX	Lightning	GBAHS2200042	62	art pop,candy pop,dance pop,electropop,metropopolis,pop,uk pop	0.0265	0.715	2.31e-05	0.0476	119.159	0.471	0.683
2A8lxHaI7sJD1oABvXwly1	Charli XCX	Move Me	GBAHS2200040	59	art pop,candy pop,dance pop,electropop,metropopolis,pop,uk pop	0.0864	0.748	0.000121	0.0449	139.967	0.0859	0.737
5CZ53WFltsPPyLmx34QJwh	Jessie Ware	Mirage (Don’t Stop)	GBUM71905898	44	art pop,british soul,dance pop,electropop,neo soul,pop,pop soul,tropical house,uk pop	0.112	0.791	0.000953	0.103	113.004	0.598	0.669
07MDkzWARZaLEdKxo6yArG	THE ANXIETY,WILLOW,Tyler Cole	Meet Me At Our Spot	QMJMT2002693	84	modern alternative pop	0.0153	0.773	0.000193	0.0299	94.995	0.399	0.47
1ISMa0THMDKFBq2UMfm02e	TIX	Fallen Angel	NOUM72100048	56	eurovision,norwegian pop,russelater	0.071	0.542	0.0	0.0277	92.999	0.281	0.647
3N6iVSg6CxnZ2qFXntGJPX	Ssion	Inherit	AUBEC1815134	36	alternative dance,electroclash,electropop	0.0546	0.765	3.62e-06	0.0501	106.004	0.417	0.67
7rb4dcBfW0m1LQQcDCh4Hv	Lorde	Mood Ring	NZUM72100187	67	art pop,dance pop,electropop,metropopolis,nz pop,pop,uk pop	0.422	0.683	1.17e-05	0.0744	95.011	0.373	0.478
37DLwjAM682PZr9a4dJ5VA	Lorde	The Path	NZUM72100177	55	art pop,dance pop,electropop,metropopolis,nz pop,pop,uk pop	0.429	0.605	0.0	0.0451	91.928	0.0834	0.647
0jYC7cHrJUtC8oLdFqjtrS	MARINA	I Love You But I Love Me More	USAT22101679	54	dance pop,electropop,metropopolis,pop,uk alternative pop	0.26	0.497	1.72e-05	0.0722	112.116	0.267	0.881
