sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2z4pcBLQXF2BXKFvd0BuB6	Jason Derulo,French Montana	Tip Toe (feat. French Montana)	USWB11702102	65	dance pop,pop,pop rap,post-teen pop	0.0233	0.845	0.0	0.0714	98.062	0.62	0.709
6St9lR6dhV2tpCNVz7qfrS	Jason Derulo	In My Head	USWB10904633	66	dance pop,pop,pop rap,post-teen pop	0.0266	0.762	0.0	0.033	110.009	0.851	0.748
4fINc8dnfcz7AdhFYVA4i7	Jason Derulo	It Girl	USWB11102211	70	dance pop,pop,pop rap,post-teen pop	0.0165	0.668	0.0	0.0605	91.993	0.345	0.718
00Blm7zeNqgYLPtW6zg8cj	Post Malone,The Weeknd	One Right Now (with The Weeknd)	USUM72120404	85	dfw rap,melodic rap,rap	0.0361	0.687	0.0	0.053	97.014	0.688	0.781
7xkQdy0cy5ymoWT7nedvLz	Jason Derulo	Whatcha Say	USWB10901504	71	dance pop,pop,pop rap,post-teen pop	0.0444	0.615	0.0	0.0779	144.036	0.711	0.711
6kex4EBAj0WHXDKZMEJaaF	Jason Derulo,Nicki Minaj,Ty Dolla $ign	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	USWB11700237	77	dance pop,pop,pop rap,post-teen pop	0.075	0.696	0.0	0.109	98.064	0.782	0.817
7oGZAicScQt96OAW4AruYy	Jason Derulo	Want to Want Me	USWB11503046	76	dance pop,pop,pop rap,post-teen pop	0.00906	0.775	0.0	0.0629	114.025	0.656	0.68
1QdpGjYp035BXJB7qPAzl9	Jason Derulo	Trumpets	USWB11303249	54	dance pop,pop,pop rap,post-teen pop	0.563	0.627	0.0	0.236	81.897	0.64	0.703
31JwK4iHCf75rnQWoMPU5t	Jason Derulo,2 Chainz	Talk Dirty (feat. 2 Chainz)	USWB11302648	57	dance pop,pop,pop rap,post-teen pop	0.0348	0.76	0.0	0.232	100.315	0.759	0.652
59qrUpoplZxbIZxk6X0Bm3	Jason Derulo	Take You Dancing	USAT22004479	80	dance pop,pop,pop rap,post-teen pop	0.0332	0.789	0.0	0.041	112.985	0.753	0.711
1gAqEg0gMyxJrM4DOOaYEA	Dwayne Johnson	You're Welcome	USWD11677860	57		0.284	0.788	0.0	0.263	135.207	0.667	0.739
3KzemxaWSSiYtnzOokd0Rs	Auli'i Cravalho	How Far I'll Go	USWD11677855	51	disney,hollywood,movie tunes,show tunes	0.61	0.574	0.0	0.0482	83.706	0.123	0.31
1PckUlxKqWQs3RlWXVBLw3	Lizzo	About Damn Time	USAT22202139	95	dance pop,escape room,minnesota hip hop,pop,trap queen	0.0995	0.836	0.0	0.0656	108.966	0.722	0.743
0k664IuFwVP557Gnx7RhIl	Lizzo	Juice	USAT21813044	78	dance pop,escape room,minnesota hip hop,pop,trap queen	0.00611	0.767	0.0	0.0963	119.93	0.843	0.889
2SL6oP2YAEQbqsrkOzRGO4	Eminem	Venom - Music From The Motion Picture	USUM71813345	75	detroit hip hop,hip hop,rap	0.0193	0.749	0.0	0.064	135.959	0.46	0.794
3eMsgWDRq5dKl5SBTYGv2J	Eminem	Higher	USUM72024267	71	detroit hip hop,hip hop,rap	0.0143	0.733	0.0	0.218	148.0	0.525	0.82
6or1bKJiZ06IlK0vFvY75k	Eminem	Rap God	USUM71314079	78	detroit hip hop,hip hop,rap	0.397	0.708	0.0	0.314	148.14	0.625	0.843
1v7L65Lzy0j0vdpRjJewt1	Eminem	"Lose Yourself - From ""8 Mile"" Soundtrack"	USIR10211559	78	detroit hip hop,hip hop,rap	0.00921	0.686	0.00066	0.264	171.355	0.0596	0.735
7Dj2wqPYXfSRFwa6qyOztr	Eminem	In Too Deep	USUM72000787	60	detroit hip hop,hip hop,rap	0.0387	0.72	0.0	0.214	88.966	0.595	0.767
7FIWs0pqAYbP91WWM0vlTQ	Eminem,Juice WRLD	Godzilla (feat. Juice WRLD)	USUM72000788	84	detroit hip hop,hip hop,rap	0.145	0.808	0.0	0.342	165.995	0.829	0.745
0VSzREd1OjEWJ9tXoFHRQH	Eminem,Ed Sheeran	Those Kinda Nights (feat. Ed Sheeran)	USUM72000786	66	detroit hip hop,hip hop,rap	0.028	0.794	0.0	0.339	103.868	0.393	0.637
7iXF2W9vKmDoGAhlHdpyIa	Dr. Dre,Eminem	Forgot About Dre	USIR19915077	79	g funk,gangster rap,hip hop,rap,west coast rap	0.0827	0.924	0.0	0.0774	133.974	0.621	0.74
6jRq8gaZhMUyy5RclRPcAf	blackbear	hot girl bummer	USUG11902959	82	electropop,pop,pop rap	0.125	0.782	0.0	0.0767	129.992	0.685	0.559
5ry2OE6R2zPQFDO85XkgRb	Drake,Rick Ross	Money In The Grave (Drake ft. Rick Ross)	USCM51900318	77	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.101	0.831	0.0	0.046	100.541	0.101	0.502
6n4U3TlzUGhdSFbUUhTvLP	Migos,Drake	Walk It Talk It	USUM71800983	76	atl hip hop,hip hop,pop rap,rap,trap	0.0876	0.907	2.6e-06	0.184	145.914	0.395	0.633
4xkOaSrkexMciUUogZKVTS	Eminem,Nate Dogg	'Till I Collapse	USIR10211066	86	detroit hip hop,hip hop,rap	0.0622	0.548	0.0	0.186	171.447	0.1	0.847
60SdxE8apGAxMiRrpbmLY0	Eminem,Joyner Lucas	Lucky You (feat. Joyner Lucas)	USUM71813334	75	detroit hip hop,hip hop,rap	0.0627	0.876	0.0	0.306	153.068	0.575	0.786
2IRZnDFmlqMuOrYOLnZZyc	Meek Mill,Drake	Going Bad (feat. Drake)	USAT21812710	80	hip hop,philly rap,pop rap,rap,southern hip hop,trap	0.259	0.889	0.0	0.0905	86.003	0.544	0.496
2JvzF1RMd7lE3KmFlsyZD8	J. Cole	MIDDLE CHILD	QMJMT1902056	81	conscious hip hop,hip hop,north carolina hip hop,rap	0.149	0.837	0.0	0.276	123.984	0.463	0.364
6wWaVoUOzLQJHd3bWAUpdZ	Lil Baby,Gunna,Drake	Never Recover (Lil Baby & Gunna, Drake)	USUG11801946	71	atl hip hop,atl trap,rap,trap	0.0677	0.753	0.0	0.284	132.055	0.886	0.686
4S8d14HvHb70ImctNgVzQQ	Kanye West,Lil Pump	I Love It (& Lil Pump)	USUM71814031	72	chicago rap,rap	0.0114	0.901	0.0	0.33	104.053	0.329	0.522
2xLMifQCjDGFmkHkpNLD9h	Travis Scott	SICKO MODE	USSM11806660	82	hip hop,rap,slap house	0.00513	0.834	0.0	0.222	155.008	0.446	0.73
2t8yVaLvJ0RenpXUIAC52d	21 Savage	a lot	QZ45A1700126	79	atl hip hop,rap,trap	0.0395	0.837	0.00125	0.086	145.972	0.274	0.636
0TlLq3lA83rQOYtrqBqSct	Drake	Nonstop	USCM51800191	79	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.0165	0.912	0.0126	0.123	154.983	0.423	0.412
6gBFPUFcJLzWGx4lenP6h2	Travis Scott	goosebumps	USSM11607555	84	hip hop,rap,slap house	0.0847	0.841	0.0	0.0484	130.049	0.43	0.728
3eekarcy7kvN4yt5ZFzltW	Travis Scott	HIGHEST IN THE ROOM	USSM11904276	82	hip hop,rap,slap house	0.0546	0.598	5.83e-06	0.0317	76.469	0.0605	0.427
3LZOfhvPNSkRYWFTTSxMvr	Eminem	The Kids	USIR10001088	44	detroit hip hop,hip hop,rap	0.249	0.738	0.0	0.328	91.38	0.353	0.776
7Djpvy4lZJNI8rTOVLf1H7	Eminem	3 a.m.	USUM70963051	52	detroit hip hop,hip hop,rap	0.0603	0.75	0.0	0.397	76.439	0.731	0.831
