sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
12gIiC7uS9fvSVTvu66YDO	AleXa,American Song Contest	Wonderland (From “American Song Contest”)	USAT22202243	67	k-pop	0.137	0.661	0.0	0.0369	99.978	0.605	0.935
2tTmW7RDtMQtBk7m2rYeSw	Bizarrap,Quevedo	Quevedo: Bzrp Music Sessions, Vol. 52	UYB282201028	96	argentine hip hop,pop venezolano,trap argentino	0.0125	0.621	0.033	0.044	128.033	0.55	0.782
4PrYq1x0pv5WSMCiy6rp9o	Stay Homas	In The End	ES5022000378	44	musica catalana	0.0865	0.763	0.0	0.0712	146.977	0.85	0.719
5ccIKJVuEGjF4sbaG3afgd	NIKI DEMAR	Alone in My Car	QM24S2006877	48	alt z,social media pop	0.171	0.622	0.00555	0.0386	92.085	0.294	0.579
32FhTAAjKZaBein150o3Px	Sabrina Carpenter	because i liked a boy	USUM72210695	75	alt z,dance pop,electropop,pop,post-teen pop	0.363	0.386	0.0	0.374	146.879	0.161	0.592
1VauUM5CBX7nkLcgafQL2B	Bizarrap,Eladio Carrion	Eladio Carrion: Bzrp Music Sessions, Vol. 40	UYB282101016	77	argentine hip hop,pop venezolano,trap argentino	0.241	0.783	0.0	0.0554	117.496	0.839	0.524
4hceSKjrkDTO0nMKFcb3sj	Bizarrap,Villano Antillano	Villano Antillano: Bzrp Music Sessions, Vol. 51	UYB282201027	88	argentine hip hop,pop venezolano,trap argentino	0.0584	0.82	0.00417	0.0648	127.999	0.423	0.752
1u8c2t2Cy7UBoG4ArRcF5g	Taylor Swift	Blank Space	USCJY1431309	85	pop	0.103	0.76	0.0	0.054	95.997	0.57	0.703
3nRmDz7qGCvsMS30rGGY0x	Taylor Swift	Welcome To New York	USCJY1431299	58	pop	0.0348	0.789	1.64e-06	0.0323	116.992	0.658	0.634
4EUQXLipplO2v9mVaqQtjc	Taylor Swift	Last Kiss	USCJY1003667	60	pop	0.581	0.359	3.75e-05	0.0293	84.358	0.208	0.329
0VE4kBnHJUgtMf0dy6DRmW	Taylor Swift	Getaway Car	USCJY1750010	79	pop	0.00465	0.562	2.23e-06	0.127	172.054	0.351	0.689
5xor0JUXi9FATXga9StAJI	Taylor Swift	White Horse (Taylor’s Version)	USUG12100621	31	pop	0.369	0.423	0.0	0.0486	185.262	0.366	0.517
6CdaXOq1MWe2JHDalTG01d	Taylor Swift	Should've Said No	USCJY0603021	55	pop	0.0103	0.476	0.0	0.0289	167.964	0.472	0.777
6YvqWjhGD8mB5QXcbcUKtx	Taylor Swift	Love Story (Taylor’s Version)	USUG12100342	75	pop	0.13	0.627	3.97e-06	0.031	119.054	0.415	0.792
1qrpoAMXodY6895hGKoUpA	Taylor Swift	You Belong With Me (Taylor’s Version)	USUG12100622	78	pop	0.0623	0.632	0.0	0.0346	130.033	0.474	0.773
1BxfuPKGuaTgP7aM0Bbdwr	Taylor Swift	Cruel Summer	USUG11901472	84	pop	0.117	0.552	2.06e-05	0.157	169.994	0.564	0.702
6xGruZOHLs39ZbVccQTuPZ	Joji	Glimpse of Us	USWB12201789	99	viral pop	0.891	0.44	4.78e-06	0.0531	169.914	0.268	0.317
3UciYz88qyl3ZBW5c5TBMV	Carly Rae Jepsen	Your Type	USUM71507029	54	canadian pop,dance pop,electropop,pop,post-teen pop,uk pop	0.00279	0.651	0.000622	0.0518	92.02	0.448	0.786
5mcYWxQAAlqGAhEPqVMMR5	Aitana	En El Coche	ES5702200098	74	latin pop,latin talent show,spanish pop	0.15	0.856	1.13e-06	0.0952	128.03	0.893	0.65
00rUx6vPpy0XbJer8BcoRn	Chanel	SloMo - Eurovision's Dancebreak Edit	ES94B2200106	67		0.0682	0.756	0.00595	0.112	104.985	0.618	0.698
0RP1kqoSPkVXsKiQNhMKzV	Taylor Swift	mad woman	USUG12002846	62	pop	0.67	0.593	6.77e-06	0.0492	141.898	0.451	0.7
2ehRU518I0hYqMGQnk4lDY	Taylor Swift	invisible string	USUG12002845	63	pop	0.859	0.651	6.63e-05	0.0507	83.455	0.454	0.459
6DrLROM5MG9bxWHeEG5elq	Taylor Swift	illicit affairs	USUG12002844	64	pop	0.862	0.529	0.0	0.0356	119.58	0.44	0.304
7cm50Lw03k6VvRauJtkyTj	Taylor Swift	this is me trying	USUG12002843	64	pop	0.312	0.511	2.3e-05	0.0322	135.882	0.408	0.478
4pfrrhvplbJZAIsfosGWQP	Taylor Swift	the 1	USUG12002835	66	pop	0.75	0.78	7.14e-06	0.048	139.902	0.163	0.361
3WZn3jyiJtVbqT4v950HmQ	Stay Homas	Tudo Bem	ES11D2000462	43	musica catalana	0.663	0.906	0.0	0.0899	101.946	0.846	0.669
1hf8CDYdkkcQhthrRL8iy7	Rigoberta Bandini,Amaia	Así Bailaba	QM6N22265432	67	spanish synthpop	0.101	0.665	0.0	0.129	100.002	0.514	0.718
3AbOIsgNfIZzJ3yoOKa2nt	Stay Homas	Let it Out	ES11D2000460	48	musica catalana	0.155	0.625	0.00779	0.0286	139.913	0.506	0.657
1qEmFfgcLObUfQm0j1W2CK	Harry Styles	Late Night Talking	USSM12200610	94	pop	0.298	0.714	0.0	0.0468	114.996	0.901	0.728
5LYMamLv12UPbemOaTPyeV	Harry Styles	Music For a Sushi Restaurant	USSM12200609	89	pop	0.258	0.72	0.0568	0.04	107.041	0.357	0.715
3lI1sZnyM1Ju3ApgNo0ITT	Morad	Soñar	QMDA62109750	67	drill espanol,urbano espanol	0.291	0.816	0.00335	0.0379	126.975	0.491	0.689
