sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5K5g0QQZI1a1ZS3Ag7CU5f	Jão	AMOR PIRATA	BXHAC2100005	58	funk carioca,pop nacional	0.085	0.749	0.00049	0.0528	119.965	0.633	0.794
0EsftWIxQKCoCz5HZtlpkW	Jão	Enquanto Me Beija	BXHAC1900056	57	funk carioca,pop nacional	0.748	0.66	0.0	0.0336	134.849	0.486	0.586
5j3p2WnU8ha4K4ybaTZ4Hx	Jão	Coringa	BXHAC2100003	61	funk carioca,pop nacional	0.0315	0.73	0.0	0.0503	96.952	0.497	0.566
1FGRA5pMtBqJLNAaSBia2x	LUDMILLA	Maldivas	BRWMB2101224	71	funk carioca,funk pop,pagode baiano,pop nacional	0.204	0.7	0.0	0.0538	101.047	0.772	0.737
1XVN2BVHfKUUcMH0jxSRZ5	Jão	Vou Morrer Sozinho	BXHAC1800024	60	funk carioca,pop nacional	0.18	0.814	0.0	0.0381	126.034	0.753	0.646
0S86atec73KKaexn67JsDy	Jão	Imaturo	BXHAC1800002	61	funk carioca,pop nacional	0.625	0.572	0.0	0.0973	129.889	0.677	0.415
2wSCalnGOnXdAJC0Fn8OUY	George Henrique & Rodrigo,Marília Mendonça	Vai Lá Em Casa Hoje	BRWOS2100055	80	arrocha,sertanejo,sertanejo pop,sertanejo universitario	0.519	0.456	0.0	0.283	157.612	0.589	0.84
0T6QwkFrB2czW5DWj531rQ	Henrique & Juliano	Cuida Bem Dela - Ao Vivo	BRWNV1400063	61	arrocha,sertanejo universitario	0.347	0.605	0.0	0.0699	76.956	0.194	0.8
5l4GTT4tLccGiZE3KGjlg4	Gloria Groove	Radar	BXSBS2000011	64	funk carioca,pop lgbtq+ brasileira	0.0337	0.508	0.0	0.202	97.896	0.3	0.749
5NeBu4oKweDXIjhvYqtbLo	Tierry,Marília Mendonça	Hackearam-Me	BRTJX2000001	60	arrocha,sertanejo pop	0.38	0.479	0.0	0.0545	129.558	0.557	0.683
6Zw25LRLP0j0MsezDFIUM4	Hugo & Guilherme,Marília Mendonça	Mal Feito - Ao Vivo	BRWNV2100087	70	arrocha,sertanejo pop	0.554	0.732	0.0	0.0691	123.942	0.684	0.831
7HYdckQd1guaSYVwMQ3SFL	LUDMILLA,Gloria Groove	Medley Lud Session - Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano	BRWMB2100452	66	funk carioca,funk pop,pagode baiano,pop nacional	0.422	0.377	0.0	0.233	85.85	0.241	0.714
4Y9DWmJ0Pbz5QWODRG1YKr	LUDMILLA,Jão	A boba fui eu (Participação especial de Jão) - Ao vivo	BRWMB1900367	47	funk carioca,funk pop,pagode baiano,pop nacional	0.755	0.71	0.0	0.0454	120.956	0.42	0.737
0qD5EcVudLAqPhJfnkdA3m	Neyna	Nha Mos	PT2DY2100005	42	kizomba,kizomba cabo-verdiana	0.478	0.745	0.00321	0.151	93.986	0.26	0.666
1sKKVR7XDjvyvnL06u3GWm	Soraia Ramos	BKBN	PT0GP2200103	47	kizomba,portuguese pop	0.524	0.695	1.16e-05	0.113	97.548	0.769	0.691
35UUpTmrcFXNIVIN26ujXl	Sech,Daddy Yankee,J Balvin,ROSALÍA,Farruko	Relación - Remix	QM9WM2000051	76	latin,panamanian pop,reggaeton,trap latino	0.0337	0.793	1.51e-06	0.0959	171.943	0.835	0.771
2D7oauVWU2lXU9GomR7Pgz	Rossana	Ainda Dói	ushm92058460	2		0.716	0.531	3.6e-05	0.278	119.076	0.219	0.504
3VvA1wSxukMLsvXoXtlwWx	Boza	Hecha Pa' Mi	USSD12000196	74	latin,latin pop,reggaeton,trap latino	0.362	0.725	0.000685	0.0572	100.07	0.828	0.756
6SSlXfbFGZs7D4cIjO73dH	Anna Joyce	Puro	TCAEX2011430	37	kizomba,musica angolana,portuguese pop	0.109	0.56	0.0428	0.169	191.891	0.397	0.9
7ISGcym2XbHCaIMAfN3OSl	Vado Más Ki Ás,Djodje	Magia	PT6JE2101016	26	hip hop tuga,rap criolo	0.234	0.719	2.09e-05	0.105	99.953	0.567	0.547
0bRQcHcRnpuaDwINmWPBTY	Danni Gato,Deezy,Vandex	Feel it	PT5KI2100012	38	hip hop tuga,kuduro	0.0375	0.778	0.00112	0.117	119.965	0.467	0.736
3s1KwrLP0NlFWiWbjz6bfQ	Fireboy DML,Ed Sheeran	Peru	USUYG1403104	80	afro dancehall	0.572	0.956	0.00071	0.0926	108.015	0.714	0.417
