sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4YprqLB3jEAlHNOMXEcZtm	Mike Candys	Vibe	CH3132100025	63	edm,pop dance,pop house	0.013	0.937	0.397	0.0956	126.063	0.616	0.823
0C9P00gKzHroC3Et2SQylA	Rnbstylerz	Like Wooh Wooh - Radio Edit	GX4R52170912	56	klubowe	0.155	0.833	0.773	0.0675	124.987	0.606	0.86
6LcauUZjF1eXQrgqMUecHX	Tyga	Ayy Macarena	USQX91903309	72	dance pop,hip hop,pop,pop rap,rap,southern hip hop,trap	0.133	0.816	0.0	0.226	96.493	0.714	0.629
48tI68zHn3r3uHmGxdkKDd	Soda	Pullin Up	CH6542004106	61	g-house	0.183	0.947	0.499	0.109	109.99	0.165	0.439
7arsXR8AtExnOFN3v3HiJI	Alesso,CORSAK	Going Dumb	QM4TX2149469	68	dance pop,edm,electro house,pop,pop dance,tropical house	0.0546	0.834	0.263	0.0515	121.995	0.551	0.678
5T4lERmPqhO2ukZoGJ5sSr	KVSH,Schillist	Sicko Drop	NLM5S2101260	70	brazilian edm,trance brasileiro	0.0276	0.843	0.76	0.0851	123.983	0.298	0.713
51Of5p3lKZeOg6itfs4og4	twocolors	Lovefool	DEUM72001376	74	covertronica,dance pop,edm,electro house,pop dance,pop edm,tropical house	0.0219	0.677	6.81e-06	0.0568	123.062	0.198	0.766
4lZt09FVnEaSL3VgkPyOBv	Deorro,Danny Avila	Keep It Goin	USUS11900121	51	dance pop,edm,electro house,melbourne bounce,melbourne bounce international,pop dance,progressive electro house	0.137	0.833	0.0698	0.0914	124.993	0.481	0.918
2JJGWZA1bno6sSGgtb61sy	Dog Blood,Skrillex,Boys Noize,josh pan,X&G	4 MIND (with josh pan and X&G)	USAT21903179	45	electro house	0.00085	0.679	0.507	0.0729	123.99	0.589	0.898
65ES1qwOB577ZnTkizMXJJ	Skrillex,Kendrick Lamar	HUMBLE. - SKRILLEX REMIX	USUM71710562	71	brostep,complextro,edm,electro	0.00794	0.901	7.68e-05	0.273	150.037	0.868	0.934
1q0PYXTbDsirp2l74ng6pn	J Balvin,Skrillex	In Da Getto	QZM5U2100095	71	latin,reggaeton,reggaeton colombiano,trap latino	0.0177	0.924	2.61e-05	0.0466	126.998	0.643	0.723
1SbqxemPdwGlvmirtQVkCU	Skrillex,Ellie Goulding	Summit (feat. Ellie Goulding)	USAT21104248	57	brostep,complextro,edm,electro	0.226	0.692	0.0104	0.0359	139.989	0.486	0.773
3FUZpoj9VV0sgc8RqbS3xQ	Skrillex,Sirah	Kyoto (feat. Sirah)	USAT21104247	60	brostep,complextro,edm,electro	0.0012	0.605	0.000596	0.0713	174.974	0.219	0.92
687RRToOFAtpqZRzmbhGtu	Skrillex,Wolfgang Gartner	The Devil's Den	USAT21104245	52	brostep,complextro,edm,electro	0.00075	0.616	0.0777	0.0687	127.992	0.322	0.946
6VRhkROS2SZHGlp0pxndbJ	Skrillex,Sirah	Bangarang (feat. Sirah)	USAT21104243	71	brostep,complextro,edm,electro	0.0145	0.716	3.22e-05	0.196	110.026	0.576	0.972
