sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0ks2zjjl7XhJVqBU60GhHR	The Smile	We Don't Know What Tomorrow Brings	GBBKS2200010	57	indie rock,modern rock	0.00107	0.324	0.693	0.0551	171.175	0.165	0.88
4wbO4Xe9wtw0RxRye0ybN9	The Smile	Waving A White Flag	GBBKS2200009	55	indie rock,modern rock	0.885	0.183	0.552	0.0369	85.304	0.398	0.332
5eGvUvIliCcmFqwC8kQSAw	The Smile	A Hairdryer	GBBKS2200008	56	indie rock,modern rock	0.746	0.344	0.903	0.0351	145.339	0.112	0.555
0p8esvsm33EFp9iABb8wH9	The Smile	Free In The Knowledge	GBBKS2200007	59	indie rock,modern rock	0.844	0.237	0.0274	0.029	147.469	0.13	0.371
5xqKA0qQQwprSERzubZk2n	The Smile	Open The Floodgates	GBBKS2200006	57	indie rock,modern rock	0.981	0.415	0.913	0.0272	81.815	0.0521	0.201
1Sbdw0lMZXkfVmjuH1UTb8	The Smile	Thin Thing	GBBKS2200005	59	indie rock,modern rock	0.0366	0.612	0.8	0.0446	95.105	0.7	0.889
5pzfcBv5riLKb74cq0wjFd	The Smile	Speech Bubbles	GBBKS2200004	58	indie rock,modern rock	0.865	0.388	0.773	0.0306	87.45	0.145	0.345
1usvtV2D0EBPb7Rk1l0PwQ	The Smile	The Smoke	GBBKS2100395	62	indie rock,modern rock	0.724	0.705	0.777	0.037	93.392	0.74	0.636
4FXQibsmo2XbStLEBtmIAd	The Smile	Pana-vision	GBBKS2200003	60	indie rock,modern rock	0.737	0.383	0.418	0.0275	178.784	0.453	0.431
2ownDSIYHvydbtauGZW4ln	The Smile	You Will Never Work In Television Again	GBBKS2100393	61	indie rock,modern rock	0.00198	0.338	0.023	0.1	176.842	0.198	0.828
6adP4Nm71rKd9TKeRIMYZw	The Smile	The Opposite	GBBKS2200002	59	indie rock,modern rock	0.00399	0.714	0.785	0.0532	95.478	0.965	0.61
5fTCU82IwY3barEA7iYjHg	The Smile	The Same	GBBKS2200001	61	indie rock,modern rock	0.865	0.592	0.759	0.0252	97.002	0.204	0.585
6nU0Y6B5TEtAdiavOLP7lO	Jungle	Bonnie Hill	GBKPL2144808	59	indie soul,uk contemporary r&b	0.342	0.57	0.0796	0.0515	199.806	0.798	0.499
3i10mtYVZPyoxorz6C19xE	Alfie Templeman	Things I Thought Were Mine	GBKPL2005448	62	modern alternative pop,uk pop	0.348	0.888	0.309	0.134	99.992	0.806	0.54
0hhXziDUO0wNYPsstDQWN6	Parcels	Overnight	FRU701700028	64	aussietronica,indie soul	0.364	0.815	0.0555	0.0521	119.986	0.864	0.819
