sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4Ovy5UkvkweOluGd9hoKsR	Tiziano Ferro	Sere nere	ITB920300035	49	italian adult pop	0.179	0.585	0.0	0.0379	135.882	0.399	0.689
60zS0V5Qdh9eaQ9TV1MpTK	Tiziano Ferro	Xverso	ITB920300040	32	italian adult pop	0.0496	0.788	0.0	0.229	96.995	0.885	0.793
2hGEmJ50nMVS84fXFteKkj	Tiziano Ferro	Centoundici	ITB920300029	24	italian adult pop	0.0308	0.713	0.0	0.146	101.978	0.411	0.842
2iGuj34s9k9tumO7Op1TEq	Tiziano Ferro	Mio fratello	ITB920600038	18	italian adult pop	0.956	0.316	0.0739	0.0444	98.935	0.134	0.182
0LpL6SygyrPETRp9pnNNpV	Tiziano Ferro	Già ti guarda Alice	ITB920600022	25	italian adult pop	0.658	0.378	0.0	0.0544	71.616	0.197	0.553
05EM3kDXU6o1aHIwXuWFXw	Tiziano Ferro,Biagio Antonacci	Baciano le donne (feat. Biagio Antonacci)	ITB920600035	22	italian adult pop	0.284	0.84	0.0	0.0793	112.992	0.82	0.759
2Quj5GEAem4XvBhdUwasUd	Tiziano Ferro	La paura che…	ITB920600023	26	italian adult pop	0.753	0.405	0.0	0.0313	122.154	0.301	0.473
3TpGGZJPOigIQ94DEXaz36	Tiziano Ferro	E Raffaella è mia	ITB920600020	29	italian adult pop	0.0179	0.789	0.0	0.0803	126.025	0.945	0.777
1pEJvOwJjevvfOxcUK1pZF	Tiziano Ferro	Salutandotiaffogo	ITB920600009	30	italian adult pop	0.726	0.548	0.0	0.0365	90.139	0.235	0.556
4UqhLA5fvBra3zfSl39GfR	Tiziano Ferro	E fuori è buio	ITB920600018	39	italian adult pop	0.73	0.356	0.0	0.0702	169.304	0.441	0.61
7dfZaSRWloJY0Jx2VlMGMO	Tiziano Ferro	Stop! Dimentica	ITB920600016	39	italian adult pop	0.0776	0.567	0.0	0.0543	114.999	0.608	0.809
0mHZ5IoR9iNM7HoZafOwcl	Tiziano Ferro	Ed ero contentissimo	ITB920600013	43	italian adult pop	0.43	0.627	0.0	0.0327	129.888	0.278	0.573
2IDNV0ttledZreT0JtzFMp	Tiziano Ferro	Ti scatterò una foto	ITB920600011	46	italian adult pop	0.592	0.433	0.0	0.0347	127.53	0.357	0.446
1alkcizqDv2OHXScAGEY6W	Tiziano Ferro	Non me lo so spiegare	ITB920300038	46	italian adult pop	0.724	0.456	0.0	0.0382	146.107	0.205	0.427
0Njo0tp4adcn447X3RImNy	Tiziano Ferro	In bagno in aeroporto	ITB920300037	27	italian adult pop	0.19	0.775	0.0	0.0726	98.959	0.531	0.641
2aSzUNVJ2HVG3D3YhrQiAK	Tiziano Ferro	Ti voglio bene	ITB920300039	36	italian adult pop	0.139	0.569	0.0	0.318	80.777	0.697	0.79
3h0v8BiwP1qzlCX7TXrsDF	Tiziano Ferro	Xdono	ITB920100002	42	italian adult pop	0.362	0.684	0.0	0.223	95.109	0.9	0.73
4SjRtuCDZvO68N2agNkahv	Noemi	Sono solo parole	ITB001200065	52	italian adult pop,italian pop	0.152	0.518	0.0	0.0366	130.157	0.184	0.56
0wZa6FUDCvMfKQuPyj6X5Z	Cesare Cremonini	Il Primo Bacio Sulla luna	NLE880800014	28	classic italian pop,italian adult pop	0.602	0.466	0.00285	0.0303	118.094	0.0762	0.623
26O8P2MmH13fRzPUDD6PlM	Dik Dik	Viaggio di un poeta	ITA611113285	29	beat italiano,classic italian folk pop,classic italian pop,italian adult pop	0.0189	0.659	0.0	0.0469	120.108	0.555	0.453
2orX7XWXfT4eZNEFv90KFU	Laura Pausini	Come se non fosse stato mai amore	ITR000400036	46	europop,italian adult pop,latin,latin arena pop,latin pop,mexican pop	0.0325	0.355	1.91e-05	0.0318	171.404	0.416	0.468
4ws1rAtZxrNMXWidjz8VmG	Nicolas Bonazzi	Dirsi che è normale	TCAEL1930473	28	italian pop rock	0.187	0.462	0.0	0.0285	113.229	0.225	0.574
2vHzOWRKYPLu8umRPIFuOq	KALUSH	Stefania (Kalush Orchestra)	DEE862200344	80	ukrainian hip hop	0.145	0.832	0.00169	0.0422	104.985	0.324	0.817
35b0iM96Uid8KI5s83IEHM	Amanda Tenfjord	Die Together	NOPRR2203010	70	norwegian indie,norwegian pop,trondheim indie	0.122	0.475	0.0	0.0661	149.982	0.202	0.366
4S4Amrpr631M16IIXqRk73	MARO	saudade, saudade	PTUM72100760	73	musica portuguesa contemporanea	0.681	0.644	0.000208	0.0357	82.992	0.376	0.337
0ghwEektHMemDGqmOzsNnc	Noemi	Ti amo non lo so dire	ITB002200007	62	italian adult pop,italian pop	0.126	0.594	0.0	0.0397	111.05	0.398	0.717
40zlF6sjudkC82NKFrLyAf	Francesco Gabbani	Volevamo solo essere felici	ITE4M2100013	51	italian adult pop,italian pop	0.0317	0.575	0.0	0.0355	150.012	0.767	0.832
4vvVUzVIVVpXRdzdlU765E	Vladana	Breathe	ATR981259519	59		0.554	0.43	1.73e-06	0.0338	76.905	0.197	0.462
1FtqYazfNvsqR4CQvzrrD3	Emma Muscat	I Am What I Am	ITQ002200235	64	italian adult pop,italian pop	0.037	0.563	0.0	0.0296	97.875	0.383	0.712
4Bpz4FBsoe9lhuiCWZv21x	Michael Ben David	I.M	IL2DY2200132	62		0.0119	0.699	0.0	0.0557	120.016	0.451	0.822
7ed3JsAPk6u0NjRhylnKmY	Circus Mircus	Lock Me In	DK2DY2200050	60	georgian alternative	0.00439	0.785	9.49e-05	0.0381	106.959	0.839	0.763
17uJWOskYtbfPqjN7SHSgz	Brooke	That's Rich	NLC242100122	64		0.000261	0.683	0.00214	0.0312	121.967	0.561	0.599
1pIbvmEIda1T9v9Oi227mn	Andrea	Circles	DK2DY2200048	61		0.48	0.544	0.0	0.0338	143.965	0.221	0.714
70HQXHPuU7EyUroOYkOzdk	Andromache	Ela	GRPA12200072	67	greek pop	0.244	0.659	0.0	0.0906	97.982	0.652	0.626
1PpH00KzrWRN3um8vSbi7A	Achille Lauro	STRIPPER	ITV022200013	63	italian hip hop,italian indie pop,italian pop	0.00315	0.601	0.0	0.0975	140.064	0.554	0.799
68UTfPKNrG4L9zKYcnD8fQ	REDDI	The Show	DKUM72200040	62		0.0162	0.312	0.0	0.0562	90.261	0.214	0.803
0er8krd7cEtPxVEEv0ZEHi	Mia Dimšić	Guilty Pleasure	HRA042200177	62	croatian pop	0.12	0.529	0.0	0.0609	83.905	0.513	0.587
15z4ROfNqCoxnzr2uOBYBn	Intelligent Music Project	Intention	BGA8J2100001	59		0.0253	0.517	0.0213	0.0338	80.108	0.718	0.836
0zC65JcBBk4GYAjL2tHKXa	Ronela Hajati	SEKRET	QZDA82253475	65	albanian pop,eurovision	0.0451	0.76	0.00413	0.0502	100.005	0.452	0.695
5bx4DPSuvBUn6luswgF7Ez	LPS	Disko	SIAC72200001	64		0.00179	0.683	0.0	0.0287	119.991	0.601	0.611
0rNIEBlBuo5108lnHyGbqJ	Citi Zēni	Eat Your Salad	QZFYY2299789	65	latvian pop	0.00654	0.702	0.0	0.179	115.043	0.586	0.818
6WVHfpzYW3HooQaCC80opC	LUM!X,PIA MARIA	Halo (feat. PIA MARIA)	NLZ542200236	72	melbourne bounce international,slap house	0.0017	0.568	0.0	0.0371	149.913	0.691	0.91
0KBS6MmhnlB2i1AjcYiDlN	Malik Harris	Rockstars	DEUM72200294	73		0.453	0.648	0.0	0.23	81.004	0.521	0.639
43UejonUIN69O8NNAFRu5X	Alvan,Ahez	Fulenn	FR9W12204047	65	eurovision,new french touch	0.0127	0.742	3.41e-06	0.116	120.036	0.48	0.837
4t3gM4Rl5rz5du0Qn2Yd8K	Systur	Með hækkandi sól	ISV442208206	66		0.583	0.578	0.0392	0.0303	99.975	0.35	0.519
0tOKpglJb9cza4WdTtxsv7	We Are Domi	Lights Off - ESC Version	FR2X42252810	67	eurovision	0.176	0.584	1.19e-05	0.0715	125.982	0.576	0.766
2NehRqeFiEGV72lFfqJGUn	The Rasmus	Jezebel	SEVJH2200101	69	finnish alternative rock,funk metal	0.00298	0.495	0.0	0.0444	116.009	0.487	0.867
0QPRDC97rIQB3Jh3hrVJoH	Rosa Linn	SNAP	QM4TX2221661	70		0.107	0.563	1.06e-05	0.0684	169.985	0.518	0.639
4VgSGm7CroAlCCt9GKQ75Z	Jérémie Makiese	Miss You	BEUM72200050	70		0.239	0.625	0.0	0.0529	144.023	0.28	0.527
3n9qn38IhqkC7DcdIRaM9q	wrs	Llámame	ROGRA2102089	70	romanian pop	0.0564	0.755	0.0	0.131	119.971	0.661	0.757
5A3JxIX04W5Ttu6Rxy5tWW	Marius Bear	Boys Do Cry	UKHNU2100019	65	swiss pop,swiss singer-songwriter	0.866	0.415	0.0	0.036	115.973	0.388	0.182
7aX4w6c7gSqbTBoU8g2lnm	Nadir Rustamli	Fade to black	AZA012200001	66		0.189	0.34	0.0	0.063	78.705	0.299	0.297
27ThQIsofXro6xEz3SzQWi	Sheldon Riley	Not The Same	QZFZ22226126	67	australian talent show	0.662	0.355	0.0	0.0388	127.876	0.376	0.429
0JNPmXGU9K9DJpV9eHppZz	Monika LIU	Sentimentai	QZ93L2201560	69	lithuanian indie,lithuanian pop	0.0902	0.675	0.00411	0.0325	93.075	0.5	0.555
