sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2Q5q1q01KOdHt5fM00WUJ8	Carlos Vives	Colombia, Mi Encanto	USWD12112912	72	champeta,colombian pop,latin,latin pop,tropical,vallenato	0.0223	0.718	0.0	0.11	124.007	0.814	0.88
7LSuLsMi4YM3Tk8xwkiKUj	FINNEAS	How It Ends	USUG12103252	48	alt z,electropop,la indie,pop	0.265	0.728	0.00223	0.0509	120.028	0.486	0.525
0oN3KzKOxYtyIuNiobf8Q4	Sabrina Carpenter	Fast Times	USUM72200377	65	alt z,dance pop,electropop,pop,post-teen pop	0.0687	0.721	0.0	0.0408	132.465	0.739	0.666
4Dvkj6JhhA12EX05fT7y2e	Harry Styles	As It Was	USSM12200612	87	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
0NuWgxEp51CutD2pJoF4OM	ROLE MODEL	blind	USUM72010617	69	bedroom pop,pop	0.141	0.765	0.000297	0.0652	150.091	0.686	0.663
7w87IxuO7BDcJ3YUqCyMTT	Foster The People	Pumped Up Kicks	USSM11002931	82	indietronica,modern alternative rock,modern rock,rock	0.145	0.733	0.115	0.0292	127.975	0.965	0.71
3IyCL4Em1GOpNGDf451Hg1	The Struts	Could Have Been Me	GBUM71304611	71	glam rock,modern alternative rock,modern rock	0.0158	0.541	0.000185	0.0642	80.029	0.434	0.907
4ZtFanR9U6ndgddUvNcjcG	Olivia Rodrigo	good 4 u	USUG12101245	90	pop	0.335	0.563	0.0	0.154	166.928	0.688	0.664
5Ts1DYOuouQLgzTaisxWYh	Edison Lighthouse	Love Grows (Where My Rosemary Goes)	GBBPJ9800675	78	bubblegum pop	0.403	0.568	0.0	0.0299	108.625	0.753	0.824
6uvh0In7u1Xn4HgxOfAn8O	Harry Styles	Matilda	USSM12200615	88	pop	0.896	0.507	1.97e-05	0.04	114.199	0.386	0.294
6Xye2430m1d0jaJ6Wsdwty	Gabrielle Current,FINNEAS	Come to Think (feat. Finneas)	TCADA1702949	22	la pop	0.876	0.354	0.000699	0.0344	164.756	0.187	0.293
30FXBBe8Knk6UV3ELQkyrk	Peter Hollens,Bailey Pelkman	Come Little Children / The Hanging Tree	QZ22B1846684	46		0.826	0.48	0.0	0.0417	130.541	0.342	0.268
4bAKBlxMI0eNoy1aNonUrV	BoyWithUke	Let Me Down	USUG12201569	65		0.56	0.818	0.0	0.264	97.535	0.848	0.47
1hJ6KojJObbRvjuVj8Ezya	Niall Horan	Paper Houses	USUG11701397	57	dance pop,pop,post-teen pop	0.122	0.431	3.45e-06	0.0349	176.856	0.291	0.423
7LVHVU3tWfcxj5aiPFEW4Q	Coldplay	Fix You	GBAYE0500605	80	permanent wave,pop	0.164	0.209	0.00196	0.0338	138.178	0.124	0.417
4kDTvLhGF29gFsqceuxBSC	Imagine Dragons	Not Today	USUM71603402	64	modern rock,rock	0.567	0.462	0.0	0.0292	122.698	0.0428	0.387
4dymVi6axMaBhAQrfkEq2A	Luke Hemmings	Place In Me	AUBM02100209	59	pop	0.865	0.274	2.36e-06	0.0309	68.639	0.218	0.345
0ZrHaA9ei55Km65yBodElf	Bishop Briggs	High Water	USAR12200152	56	electropop,modern alternative rock,modern rock,pop	0.341	0.568	2.2e-05	0.0548	122.913	0.458	0.734
2WtXFUMBeHogKEMQnzQ78e	FINNEAS	Medieval - Spotify Singles	USUG12201075	48	alt z,electropop,la indie,pop	0.945	0.708	0.0	0.033	110.138	0.749	0.329
6vn8dvUpDC4YeaAh3BI25r	Taron Egerton	I'm Still Standing	USQ4E1602400	64	hollywood	0.00663	0.589	0.0	0.146	175.216	0.691	0.903
7MXlTgQeo3IVlMpLnZuhxc	Imagine Dragons	It's Time	USUM71200987	69	modern rock,rock	0.0162	0.656	0.0	0.0372	105.009	0.86	0.884
7DnNU5rQLgy4KEYvFMrGgW	Jimmie Allen,Noah Cyrus	This is Us	USQX91902543	55	black americana,contemporary country,country	0.148	0.549	0.0	0.0344	145.06	0.487	0.883
6U1iuA5QfzYRPJxvdcxqtf	Noah Cyrus	Lonely	USQX91902251	67	dance pop,pop,post-teen pop	0.798	0.53	0.0	0.0577	122.442	0.341	0.281
6SR8tWgGvYoA2VJDgPQSWo	Ed Sheeran	Shivers	GBAHS2100671	12	pop,uk pop	0.281	0.788	0.0	0.0856	141.02	0.822	0.859
2034O98KseYfXW4eETgm9h	Ed Sheeran	Tides	GBAHS2100670	14	pop,uk pop	0.0167	0.631	0.0	0.0433	129.942	0.427	0.825
1PvSHEmS4wNXTft6I0ugOZ	Fireboy DML,Ed Sheeran	Peru	USUYG1403104	8	afro dancehall	0.572	0.956	0.00071	0.0926	108.015	0.714	0.417
5L9Ptz7hUfTavjjdRRiNXR	Ed Sheeran,Bring Me The Horizon	Bad Habits (feat. Bring Me The Horizon)	GBAHS2200173	9	pop,uk pop	0.0305	0.59	0.0	0.0792	131.018	0.178	0.849
3vRMNhtsTzM25UbTeuKGrx	Ed Sheeran,Lil Baby	2step (feat. Lil Baby)	GBAHS2200506	9	pop,uk pop	0.138	0.693	0.0	0.0828	95.055	0.477	0.643
