sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2QeCyjLDJ6qDJsCyofrEW9	Gazzelle	Polynesia	ITIWE1900086	42	italian indie pop,rome indie	0.0291	0.783	2.62e-06	0.0965	124.993	0.584	0.726
1eAZH4LTThdnreJGX6DNd6	Thegiornalisti	Senza	ITB261700240	37	italian adult pop,italian indie pop,italian pop,rome indie	0.00201	0.551	0.0	0.0418	113.027	0.315	0.849
1uXJYnCsXy2v50y0fDEEiV	MACE,BLANCO,Salmo	LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)	ITUM72001370	65	funk carioca,italian hip hop,italian indie pop	0.114	0.658	1.84e-05	0.0484	129.914	0.164	0.674
6YwyMtxA8XccbfkP18YXiW	BLANCO	Belladonna (Adieu)	ITUM72000636	56	italian pop	0.209	0.409	0.0	0.425	65.454	0.627	0.918
16EJNayKtC09M0Fi7Py47s	BLANCO	Finché Non Mi Seppelliscono	ITUM72100910	74	italian pop	0.349	0.727	0.0	0.0316	130.024	0.86	0.833
3X3mfRMRaPJRiIMDMQtSkd	Oh Wonder	Landslide	GB9L31400024	58	electropop,indie poptimism,pop,pop rock	0.748	0.624	8.18e-05	0.0628	81.299	0.325	0.423
43PuMrRfbyyuz4QpZ3oAwN	Bryson Tiller	Exchange	USRC11502185	75	kentucky hip hop,pop,pop rap,r&b,rap	0.107	0.525	0.0	0.185	160.108	0.276	0.433
30TmLgK0ja5O8q9l4BShIX	Ariana Grande,Future	Everyday	USUM71602110	63	dance pop,pop	0.0152	0.637	0.0	0.0553	131.005	0.432	0.733
3CJvmtWw2bJsudbAC5uCQk	Selena Gomez	Hands To Myself	USUM71513592	66	dance pop,pop,post-teen pop	0.0147	0.811	2.44e-06	0.118	111.016	0.466	0.499
5GHXYeXd47gXElQMEcPsvh	NOËP,CHINCHILLA	fk this up (feat. CHINCHILLA)	EETI11900008	42	estonian electronic,estonian pop	0.107	0.787	2.93e-06	0.122	123.82	0.669	0.486
1oHClQEgDmmbcEx12Kc5nZ	Madonna,Justin Timberlake,Timbaland	4 Minutes (feat. Justin Timberlake & Timbaland)	USWB10903601	69	dance pop,pop	0.00994	0.753	0.00696	0.0652	113.029	0.767	0.931
6jmZlyf9DxcIoRrjw02YXm	Lil Nas X,Billy Ray Cyrus,Mason Ramsey,Young Thug	Old Town Road - Remix	USSM11904496	54	lgbtq+ hip hop,pop	0.0576	0.891	0.0	0.226	136.009	0.674	0.503
619bJQ9uDi8dnXzLebFI7y	David Guetta	When Love Takes Over (feat. Kelly Rowland)	FRZID0900200	61	big room,dance pop,edm,pop,pop dance,pop rap	0.0144	0.658	0.000193	0.0255	129.972	0.496	0.863
4hMGh59flGlHd4kAnYGH1N	Darin	Can't Stay Away	SE4H42100101	52	classic swedish pop,europop,swedish idol pop,swedish pop	0.131	0.703	2.04e-06	0.0961	118.763	0.749	0.86
2jUO4Rbw8VizhpHS63jrq4	Mark Ronson,Lykke Li	Late Night Feelings (feat. Lykke Li)	GBARL1900428	52	dance pop,pop	0.437	0.688	0.00369	0.0573	110.055	0.469	0.729
5xbuJuQsTVheVZvX2AJVIv	Max Richter,Daniel Hope,Konzerthaus Kammerorchester Berlin,Andre de Ridder	Spring 1	DEUM71201995	65	compositional ambient,post-minimalism	0.499	0.701	0.903	0.0418	105.513	0.163	0.341
61UQzeiIluhpzpMdY4ag3q	Route 94,Jess Glynne	My Love (feat. Jess Glynne)	GBQGW1300182	72	deep groove house,house,pop dance,tropical house,uk dance	0.000132	0.814	0.72	0.0492	119.976	0.726	0.622
4wqzOaLxiCRy2Et8tRyNSX	Wiz Khalifa,Empire of the Sun	The Thrill	USA2P2033760	76	dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap	0.277	0.817	0.0	0.108	126.984	0.806	0.775
5BK7ny1LUJRMuXt3ZEN8rw	Bob Sinclar,Gary Pine,DollarMan	Sound of Freedom	FR4E40701580	48	dance pop,disco house,edm,electro house,filter house,pop dance,tropical house,vocal house	0.034	0.775	0.0	0.159	128.678	0.949	0.906
3cO1NNNmUQxaip01zaF6ST	Bob Sinclar,Molly Hammar	We Could Be Dancing	FR4E42112160	58	dance pop,disco house,edm,electro house,filter house,pop dance,tropical house,vocal house	0.00809	0.668	0.000214	0.0989	119.978	0.789	0.808
6zSpb8dQRaw0M1dK8PBwQz	Elton John,Dua Lipa,PNAU	Cold Heart - PNAU Remix	GBUM72104705	89	glam rock,mellow gold,piano rock	0.034	0.796	4.19e-05	0.0317	116.032	0.942	0.798
3cdhgO3vgHyOIADMXokd2t	The Script	Nothing	GBARL1000955	56	celtic rock,dance pop,modern rock,neo mellow,pop,pop rock	0.00387	0.47	0.0	0.0396	157.044	0.522	0.837
75u9uswC5UMdtv4SQ3xSYf	Nicki Minaj	The Night Is Still Young	USCM51400402	61	dance pop,hip pop,pop,pop rap,queens hip hop	0.00212	0.656	0.00305	0.0563	128.017	0.693	0.692
6qCp2Out7ymmGb4VqHLY7P	Scott Thomas	Heart on Fire	TCACE1570099	47	channel pop	0.0123	0.646	2.35e-06	0.0282	124.017	0.903	0.874
6HVRRlc2sBlkcKEkhlsp86	Massimo Pericolo,Crookers	STUPIDO	ITRWL2000103	65	italian hip hop,trap metal italiana	0.708	0.404	2.19e-05	0.364	86.711	0.36	0.529
5WtfUKzXircvW8l5aaVZWT	Julia Michaels,Niall Horan	What A Time (feat. Niall Horan)	USUM71900686	81	alt z,dance pop,electropop,pop,post-teen pop	0.662	0.516	0.0	0.0302	132.861	0.386	0.467
6oVxXO5oQ4pTpO8RSnkzvv	Taylor Swift	Dress	USCJY1750013	69	pop	0.0329	0.719	0.0	0.0533	120.085	0.0851	0.469
18V1UiYRvWYwn01CRDbbuR	Edith Whiskers	Home	GBVHN2000009	66		0.981	0.72	0.00187	0.0361	120.024	0.284	0.197
1Wdj4wRDYS7aT4CoPS0mAH	Sleeping At Last	You Are Enough	USGES1480007	68	ambient worship,chamber pop,pop	0.707	0.593	1.24e-05	0.029	117.996	0.465	0.5
7tvLOdL1l7aDQOiK9NHTNi	Lukas Graham	Say Yes (Church Ballad)	USWB11801980	35	danish pop,pop,scandipop	0.194	0.6	0.0	0.0371	77.981	0.129	0.501
2gam98EZKrF9XuOkU13ApN	Nelly Furtado,Timbaland	Promiscuous	USUM70603473	80	canadian latin,canadian pop,dance pop,pop,pop rap	0.0569	0.808	6.13e-05	0.0506	114.328	0.868	0.97
0qAIiGFKLdV1xpNlEhjpq8	Taylor Swift	New Romantics	USCJY1431449	66	pop	0.00463	0.633	0.000458	0.0715	121.956	0.584	0.889
5rlMVKnvE6ZSzNCs8ZyHqU	Liam Payne,Rita Ora	For You (With Rita Ora)	USQ4E1703341	64	dance pop,pop,post-teen pop	0.0183	0.535	0.0	0.0342	113.023	0.175	0.8
3vv9phIu6Y1vX3jcqaGz5Z	The Chainsmokers,ROZES	Roses	USQX91500801	72	dance pop,edm,electropop,pop,pop dance,tropical house	0.0435	0.713	0.00377	0.0561	100.001	0.343	0.802
1LhMopPAallLeaeNutqbgS	Justin Timberlake,Chris Stapleton	Say Something (feat. Chris Stapleton)	USRC11703503	68	dance pop,pop	0.103	0.707	1.09e-05	0.0789	97.04	0.372	0.632
2yLa0QULdQr0qAIvVwN6B5	Taylor Swift	...Ready For It?	USCJY1750003	72	pop	0.0527	0.613	0.0	0.136	160.015	0.417	0.764
0y60itmpH0aPKsFiGxmtnh	WILLOW	Wait a Minute!	QMJMT1500801	87	afrofuturism,dance pop,electropop,pop,post-teen pop	0.0371	0.764	1.94e-05	0.0278	101.003	0.672	0.705
5vuwXvQTpavYCgcPFnCMS4	Birdy	Keeping Your Head Up	GBAHS1500572	53	pop,pop rock	0.156	0.599	0.0	0.0527	122.077	0.529	0.78
3oIVK7arAFuUOCGafPLxSC	Becky Hill,Shift K3Y	Better Off Without You (feat. Shift K3Y)	GBUM71905524	59	dance pop,edm,pop,pop dance,pop house,tropical house,uk dance,uk pop	0.0566	0.682	1e-06	0.0401	124.004	0.304	0.855
3Yt9lRtS5V4nbJnwcgFgvC	Rihanna	You Da One	USUM71118072	66	barbadian pop,dance pop,pop,pop rap,urban contemporary	0.503	0.702	2.44e-05	0.0425	127.05	0.863	0.715
0yvPEnB032fojLfVluFjUv	Demi Lovato	Sorry Not Sorry	USUM71707196	75	dance pop,pop,post-teen pop	0.0242	0.706	0.0	0.234	143.931	0.885	0.643
