sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2e4jB31WcGsxKL1ByqdZCq	Melanie Martinez	Sippy Cup	USAT21501779	69	alt z,electropop,pop	0.486	0.715	0.0	0.12	134.914	0.733	0.651
6iQNowW9ulIf5rQuMCSLFt	Black Polish	Baby Tonight	GBKPL2168384	50		0.000232	0.421	0.000114	0.0341	189.967	0.138	0.768
3SKzTIl9mW0DadTys9SFo3	Halsey	Control	USUM71507636	71	dance pop,electropop,etherpop,indie poptimism,pop,uk pop	0.399	0.549	0.0	0.0332	119.898	0.206	0.675
4RPpx2lgTptIUtR50KXfQ0	Weathers	C'est la vie	QZ93L2023538	50	alt z,modern alternative rock,modern rock,rock	0.0244	0.582	1.79e-06	0.111	91.998	0.627	0.792
2cls4groLeYT1zmlXN1pO2	Air Traffic Controller	This Is Love	uscgj1607526	59	folk-pop,hopebeat,indie poptimism,shiver pop	0.126	0.621	0.0	0.0943	112.067	0.636	0.727
1tF1J2fK1F9iQ8UUD1Iai5	The Wombats	Kill the Director	GBFTG0300126	65	liverpool indie,modern alternative rock,modern rock,rock	0.00347	0.41	0.0	0.0485	161.487	0.962	0.858
70LcF31zb1H0PyJoS1Sx1r	Radiohead	Creep	GBAYE9200070	84	alternative rock,art rock,melancholia,oxford indie,permanent wave,rock	0.0097	0.515	0.000133	0.0372	91.844	0.104	0.43
0Zh3tKIphLOvQux4dA6PFZ	My Chemical Romance	Mama	USRE10602910	69	emo,pop punk	0.0136	0.236	0.0	0.0939	208.951	0.303	0.799
052vSBPxqdmYRDlkSPiavc	Melanie Martinez	Cry Baby	USAT21501936	70	alt z,electropop,pop	0.257	0.686	0.0	0.0371	95.046	0.477	0.691
70oK6ePjILgOuBUzRDOfCR	Twenty One Pilots	Air Catcher	usx9p0965508	53	modern rock,rock	0.0731	0.519	0.0	0.0285	109.962	0.133	0.436
4blPH3Uy89WnOnYlIv7Ev4	Penelope Scott	Rät	QZK6F2019397	75	alt z,indie pop,modern indie pop,viral rap	0.326	0.609	0.000115	0.249	143.854	0.309	0.449
1wvs9V8xEJStRzx78lSNJK	Bring Me The Horizon	Run	GBARL1500775	57	melodic metalcore,metalcore,rock,uk metalcore	0.00301	0.481	0.000153	0.0781	134.962	0.357	0.938
3MZjOGeXhpHbQ9ESMNFFnH	Steam Powered Giraffe	Honeybee	TCABG1229950	54	comic,steampunk	0.871	0.352	1.14e-06	0.0346	87.919	0.216	0.186
7nu0Lc0jJltztDxsGeoPiG	LIZ	When I Rule the World	USSM11503890	59	electropop,escape room,hyperpop,pink noise,proto-hyperpop	0.00951	0.768	0.0	0.157	129.074	0.824	0.633
0VKOGtQbzaUrjZRiRdf8IF	Bo Burnham	Camera	USA2P2225073	44	comic	0.00273	0.799	0.617	0.117	119.056	0.135	0.993
4CKhBJA0G3eqgyff3DaM5V	Bo Burnham	Microwave Popcorn	USA2P2225062	56	comic	0.32	0.714	1.87e-06	0.0815	160.009	0.678	0.715
598B9RU1jZhObFSQJhisIa	Cosmo Sheldrake	Birthday Suit	GBKZV1700081	53	uk pop	0.837	0.699	7.73e-05	0.226	62.542	0.525	0.574
6kFBaTnUDugBoalS9GamKX	PUP	Dark Days	USA6G1454106	46	alternative emo,bubblegrunge,canadian indie,canadian pop punk,canadian punk,emo,indie punk,indie rock,toronto indie	0.00127	0.61	6.54e-05	0.0537	117.448	0.689	0.958
4zrZILwNtMocwtAtKdrvSC	WANIMA	1CHANCE	JPH201500051	46	j-pop,j-punk,j-rock,japanese pop punk,japanese punk rock	0.0162	0.485	0.0	0.0685	90.695	0.816	0.924
3AReOxXIYVZPBnXWkwdhuS	The Young Veins	Cape Town	QZ4JJ1915790	39		0.173	0.578	0.0	0.0336	129.185	0.594	0.825
7vGuf3Y35N4wmASOKLUVVU	Marshmello,Khalid	Silence	USRC11701901	81	brostep,dance pop,edm,pop,pop dance,progressive electro house	0.256	0.52	4.96e-06	0.0853	141.971	0.286	0.761
75FEaRjZTKLhTrFGsfMUXR	Kate Bush	Running Up That Hill (A Deal With God)	GBCNR8500002	97	art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter,uk pop	0.72	0.629	0.00314	0.055	108.375	0.197	0.547
4zXuYQNDmw3dlauyc8q3Kd	Leith Ross	We'll Never Have Sex	USUM72203822	70	indie pop	0.959	0.365	0.000977	0.0838	174.053	0.443	0.07
7wjmdC4OL3l1nh9zQwCpv8	The Crane Wives	Curses	QMUU81610766	61	grand rapids indie,indie pop,michigan indie	0.482	0.363	5.06e-06	0.111	190.965	0.581	0.716
4VoSYq3aTp57jgrdNswzrd	Bear Ghost	Necromancin Dancin	TCACL1682263	58	phoenix indie	0.000469	0.56	0.0	0.0867	154.006	0.806	0.885
41mclLjggl2nmbYpRisKrh	Djo	Chateau (Feel Alright)	GBKPL1959342	76	psychedelic pop	0.43	0.641	8.23e-06	0.027	134.881	0.348	0.365
7v9Ne4758aGFfFc5avh89h	The Wombats	Let's Dance to Joy Division	GBFTG0300132	65	liverpool indie,modern alternative rock,modern rock,rock	0.00125	0.397	0.0	0.102	116.947	0.764	0.839
4lTF5sjineKwtDRWfua1cL	Future Royalty	Throw Me to the Wolves	USA2P1950010	45	bossbeat,modern alternative rock	0.202	0.657	0.0561	0.0661	144.095	0.535	0.419
