sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5UBBJnFxsfjFxfrtvErQoH	The xx	Crystalised	GBBKS0900025	68	downtempo,dream pop,indietronica	0.812	0.762	0.389	0.0311	122.916	0.415	0.484
5ITUN3ieNCoYMquXVn7ySW	Gin Wigmore	Kill Of The Night	AUUM71101239	40	auckland indie,kiwi rock	0.0101	0.498	7.45e-05	0.0521	125.93	0.5	0.71
2tfhqmq39kpDf1k7IJWxld	Baio	Sister of Pearl	USYAH1500070	54	nyc pop	0.0705	0.731	0.252	0.0443	125.061	0.949	0.646
4yffABDkB5A9flvr9vQFck	The Black Keys	Howlin' for You	USNO12000174	66	alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock,roots rock	0.0272	0.725	0.0468	0.0876	132.921	0.38	0.747
5LCuFER5mMzL0fGNpClksf	The Black Keys	Sister	USNO11100279	52	alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock,roots rock	0.00191	0.757	5.77e-05	0.0291	111.64	0.617	0.661
5BvuyYHjA98IxU0nQUGzZr	The Black Keys	Heavy Soul	US27U0404408	52	alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock,roots rock	0.53	0.432	0.00553	0.049	98.326	0.873	0.617
1DJVvKIX6niMWGUitYkM1f	Reignwolf	Black and Red	QMEZE1831569	58	garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,punk blues,rock,saskatchewan indie	0.000716	0.368	0.0449	0.0919	119.113	0.451	0.921
00s8dO3RWrFkBqC9JIy6ag	Maxine Nightingale	Right Back Where We Started From	GBAYE7500076	63	classic uk pop	0.49	0.692	0.00707	0.0392	148.018	0.901	0.653
5drK2kTE2mrUdV33iHWyrx	Hooverphonic	Mad About You	BEU010001061	61	downtempo,electronica,trip hop	0.00109	0.465	0.399	0.0379	170.358	0.155	0.844
5jrdCoLpJSvHHorevXBATy	Katy Perry,Juicy J	Dark Horse	USUM71311296	75	dance pop,pop,post-teen pop	0.00314	0.645	0.0	0.0513	131.931	0.353	0.585
07q0QVgO56EorrSGHC48y3	KISS	I Was Made For Lovin' You	USPR39330175	82	album rock,glam rock,hard rock,metal,rock	0.214	0.768	7.36e-05	0.038	128.373	0.867	0.852
6SjbzGo7arjfM5cXpXhc5B	The Clash	Should I Stay or Should I Go - Remastered	GBARL1200670	73	classic rock,permanent wave,punk,rock	0.0781	0.74	0.0	0.144	113.381	0.802	0.848
6Ju28M6P8Y8sLjBgWjyUUD	Florence + The Machine	Hunger	GBUM71800802	63	baroque pop,pop,uk alternative pop	0.53	0.729	0.0	0.0415	116.016	0.332	0.675
76YSWx6L6FNsuaP6GWBb8P	Labrinth,Zendaya	All For Us	USUG11902729	71	indie poptimism,pop	0.0108	0.46	0.000139	0.0652	141.722	0.18	0.66
4gS0C89Jlx8Zx4853NYRLY	Billy Idol	Bitter Taste	QMRSZ2100530	62	album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock	0.0145	0.579	0.0231	0.0473	119.002	0.699	0.934
4qLaxJOMGv9DyxuayDw60n	Pomplamoose,Sarah Dugas	Sweet Dreams Seven Nation Army Mashup	QZGWW1968320	49	folk-pop,indie pop	0.0116	0.705	0.000102	0.0308	119.969	0.779	0.68
7KXjTSCq5nL1LoYtL7XAwS	Kendrick Lamar	HUMBLE.	USUM71703085	83	conscious hip hop,hip hop,rap,west coast rap	0.000282	0.908	5.39e-05	0.102	150.011	0.421	0.621
5a9JvYO69OCb9a1mOdVFZp	The Revivalists	Some People Say	USC4R1802487	38	indie folk,modern alternative rock,modern rock,rock,stomp and holler	0.00253	0.502	0.0	0.039	80.961	0.614	0.723
2565zrwkcli0D88IVw2rCg	Nathaniel Rateliff & The Night Sweats	Survivor	USC4R2107143	56	indie folk,modern blues rock,new americana,rock,stomp and holler	0.267	0.752	0.148	0.0324	98.039	0.709	0.676
3HtCaD8SkNbjy3TrEcS4Km	KALEO	Glass House	USAT21601410	52	icelandic indie,icelandic rock,modern alternative rock,modern rock	0.00013	0.358	0.0118	0.218	99.919	0.493	0.92
1BpmL4NBhX2P7GxuoVtojI	Nothing But Thieves	You Know Me Too Well	GBARL1801208	57	alternative pop rock,modern alternative rock,modern rock,rock	0.00122	0.605	0.0036	0.0325	135.931	0.773	0.688
03MOcbkkoNLjP0G91iODSB	Engelbert Humperdinck	Quando Quando Quando	GBF076820030	61	adult standards,lounge	0.251	0.366	1.15e-06	0.0333	175.935	0.84	0.589
63vL5oxWrlvaJ0ayNaQnbX	They Might Be Giants	Istanbul (Not Constantinople)	USEE10181576	65	alternative rock,comic,geek rock,permanent wave,zolo	0.0801	0.688	0.00453	0.0377	114.144	0.892	0.748
4mn2kNTqiGLwaUR8JdhJ1l	The Animals	House of the Rising Sun	GBAYE6400209	75	album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock	0.000334	0.316	0.00445	0.0308	117.363	0.299	0.484
3eYHhoaTGFYJ5XAjRFduUd	A Look At Yesterday,The Genies	Who's That Knocking	USTR80300579	42		0.754	0.542	0.0	0.03	112.789	0.96	0.73
6W2VbtvMrDXm5vYeB7amkO	Kenny Loggins	Footloose	USSM18400107	74	album rock,mellow gold,new wave pop,soft rock,yacht rock	0.0819	0.546	1.42e-05	0.0579	174.089	0.494	0.895
5BkNCuxzzid0gz9sx3NNbX	First Aid Kit	My Silver Lining	USSM11401643	67	stomp and holler,swedish americana,swedish country	0.026	0.479	0.000129	0.0335	101.938	0.43	0.725
6hG59WXc951utGHcrbhr4V	Joe Tex	I'll never do you wrong	USATV0600720	43	northern soul,southern soul	0.273	0.725	0.0	0.0281	78.585	0.744	0.486
5wruhYtx30AJ7DO0Ta8yJN	Blake Shelton	Footloose	USKLP1100065	43	contemporary country,country,country road,oklahoma country	0.00121	0.52	2.33e-06	0.0686	173.983	0.844	0.924
3KzgdYUlqV6TOG7JCmx2Wg	Bobby Darin	Beyond the Sea	USEW10000026	68	adult standards,brill building pop,easy listening,lounge,rock-and-roll,rockabilly,soul,vocal jazz	0.723	0.521	0.0	0.0369	136.483	0.569	0.516
6LM5C6vEAwfAlaobFOURz7	Public Image Ltd.	The Order Of Death - 2011 - Remaster	GBAAA1100127	46	alternative rock,art rock,experimental,new romantic,new wave,new wave pop,post-punk,punk,uk post-punk	0.237	0.641	0.288	0.0348	103.118	0.562	0.63
0O9YgA646jsfJsORIn2pl5	Smith Westerns	All Die Young	GBCEL1100089	43	chicago indie	0.116	0.269	0.484	0.0344	145.862	0.277	0.702
1ng36571Iyov4HBxUClySn	Butthole Surfers	Pepper	USCA29600428	65	alternative rock,experimental rock,grunge,noise rock,post-hardcore,psychedelic punk,punk	0.00589	0.631	0.00116	0.166	79.898	0.671	0.804
7j31rVgGX9Q2blT92VBEA0	My Chemical Romance	Teenagers	USRE10602912	81	emo,pop punk	0.0506	0.463	0.0	0.0632	111.647	0.856	0.857
6JrAEmBFd61eYIGVOSPnT4	Parra for Cuva,Anna Naklab	Wicked Games (feat. Anna Naklab) - Radio Edit	NLZ541300724	66	downtempo,electronica,new french touch,tropical house	0.0667	0.801	0.0244	0.0455	124.979	0.701	0.641
0kHwTHf8ye0mSd66pwcrEN	The Heavy	How You Like Me Now	GBCFB0901502	62	bath indie,funk,garage rock,modern alternative rock,modern blues rock,modern rock,rock	0.000973	0.647	0.703	0.029	110.059	0.268	0.71
274tSPavv09i163nBnYrCU	Barns Courtney	Kicks	GBUM71701358	60	modern alternative rock,modern rock,rock	0.129	0.64	0.0	0.0652	95.004	0.62	0.83
