sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
66N0XT7yr2VuFxrMc8piUy	Imagine Dragons	Higher Ground	USUM72205467	61	modern rock,rock	0.0411	0.694	0.0	0.0994	122.208	0.61	0.657
6Y2Iom5hrfZyhBRGqcrJdc	Imagine Dragons	Take It Easy	USUM72205469	59	modern rock,rock	0.0345	0.391	0.0	0.038	171.859	0.296	0.65
6rBsmp96jxTRpFqQEfxAdY	Imagine Dragons	Crushed	USUM72205468	60	modern rock,rock	0.0245	0.624	0.0	0.0338	116.949	0.219	0.734
5i6V88QD3nt9at4915JISY	Imagine Dragons	Blur	USUM72205466	61	modern rock,rock	0.00416	0.684	3.4e-06	0.0422	129.988	0.639	0.785
3soSAbnGLuJeARGmegvMFJ	Imagine Dragons	I Don't Like Myself	USUM72205465	69	modern rock,rock	0.177	0.574	0.0	0.0361	172.88	0.6	0.71
7sA2SKTo1QbTSSYn5YvJC4	Imagine Dragons	Sharks	USUM72205464	61	modern rock,rock	0.00791	0.927	3.62e-05	0.0657	123.969	0.901	0.642
2ThaHV10xrAcL2WfqXyLnp	Imagine Dragons	Symphony	USUM72205463	61	modern rock,rock	0.0227	0.662	0.0	0.0742	90.002	0.921	0.64
54ipXppHLA8U4yqpOFTUhr	Imagine Dragons	Bones	USUM72201759	60	modern rock,rock	0.0201	0.772	0.0	0.0455	114.061	0.587	0.75
52okn5MNA47tk87PeZJLEL	NF	Let You Down	USUM71708226	80	hip hop,pop rap,rap	0.312	0.662	0.0	0.121	147.997	0.464	0.714
5HeKOKc4phmLn8e4I7EkzD	Twenty One Pilots	My Blood	USAT21810686	69	modern rock,rock	0.0563	0.749	0.022	0.0432	108.999	0.674	0.723
5qaEfEh1AtSdrdrByCP7qR	Imagine Dragons	Demons	USUM71201071	82	modern rock,rock	0.19	0.505	0.00025	0.0321	89.938	0.428	0.71
7KGwRAF99Ryell3B2T4DKy	Imagine Dragons	They Don't Know You Like I Do	USUM72205479	57	modern rock,rock	0.192	0.356	0.0	0.0353	149.675	0.164	0.167
2EhE42VQTKvn6ok6wtA9U8	Imagine Dragons,Cory Henry	Continual (feat. Cory Henry)	USUM72205478	56	modern rock,rock	0.863	0.519	0.0	0.0266	110.851	0.12	0.289
1X9hG9ChkrwhViamDCZTy9	Imagine Dragons	I Wish	USUM72205477	57	modern rock,rock	0.209	0.224	0.0	0.031	71.948	0.146	0.291
3BprrMTQ3IlFvHW8oFTTQ1	Imagine Dragons	Younger	USUM72205476	58	modern rock,rock	0.07	0.661	1.71e-06	0.0344	111.03	0.512	0.562
35CZvVV7UzYgydaVpNW4Kp	Imagine Dragons	Tied	USUM72205475	58	modern rock,rock	0.265	0.427	0.0	0.0278	110.599	0.117	0.298
3IkEM7cjZ8FZtmVFq1q03c	Imagine Dragons	Sirens	USUM72205474	59	modern rock,rock	0.0557	0.67	0.00844	0.0363	98.965	0.363	0.671
3bwvtkLyVe7YWrKRlViloR	Imagine Dragons	Peace Of Mind	USUM72205473	58	modern rock,rock	0.0103	0.61	1.37e-05	0.0333	73.536	0.606	0.626
1qaWM3wK6aZZALpAPVdZ6D	Imagine Dragons	Ferris Wheel	USUM72205472	58	modern rock,rock	0.781	0.392	0.0	0.0322	118.451	0.208	0.355
0z2bufPrU83RRPRaboj3B7	Imagine Dragons	I'm Happy	USUM72205471	59	modern rock,rock	0.108	0.678	0.0	0.0335	106.041	0.364	0.576
0YbFEoJi7Esa7lhIrEpBjl	Imagine Dragons	Waves	USUM72205470	60	modern rock,rock	0.0741	0.468	0.0	0.0835	120.123	0.261	0.618
2D52zjCyqEIQa221lhw6uk	Thirty Seconds To Mars	This Is War	USVI20900430	66	modern rock,post-grunge,rock	0.0663	0.402	2e-06	0.0579	160.047	0.224	0.723
0HqZX76SFLDz2aW8aiqi7G	Imagine Dragons	Bones	USUM72201759	88	modern rock,rock	0.0206	0.773	0.0	0.046	114.071	0.571	0.742
0TyUOnU4H4GLqOcrH0auc8	Imagine Dragons	Sharks	USUM72205464	81	modern rock,rock	0.00791	0.927	3.62e-05	0.0657	123.969	0.901	0.642
424GDxARRXRaZ7Mla9EDI2	Adam Jensen	The Mystic	TCACT1605420	68	bossbeat,modern alternative rock,modern rock,rebel blues,rock	0.358	0.556	0.0	0.0415	125.324	0.405	0.72
2tpWsVSb9UEmDRxAl1zhX1	OneRepublic	Counting Stars	USUM71301306	84	dance pop,piano rock,pop,pop rock	0.0654	0.664	0.0	0.0382	122.016	0.477	0.705
5FVd6KXrgO9B3JPmC8OPst	Arctic Monkeys	Do I Wanna Know?	GBCEL1300362	86	garage rock,permanent wave,rock,sheffield indie	0.186	0.548	0.000263	0.0323	85.03	0.405	0.532
01vv2AjxgP4uUyb8waYO5Y	Twenty One Pilots	Morph	USAT21810685	65	modern rock,rock	0.0747	0.734	0.000577	0.0806	90.023	0.518	0.607
5HCXMBxZIVaVLXpyoqPM3g	Twenty One Pilots	Leave the City	USAT21810695	58	modern rock,rock	0.726	0.506	0.00458	0.0334	134.985	0.299	0.379
1CDVadnneswMxi6gBqJTtC	Twenty One Pilots	Legend	USAT21810694	58	modern rock,rock	0.0948	0.716	0.000257	0.0368	85.937	0.797	0.575
7daBwTiPNOVgoMUG4SICgh	Twenty One Pilots	Pet Cheetah	USAT21810693	59	modern rock,rock	0.0615	0.653	0.000387	0.199	110.049	0.355	0.684
5INKIG4QNuD4xq7qZcfPzp	Twenty One Pilots	Bandito	USAT21810692	60	modern rock,rock	0.256	0.661	0.0246	0.028	127.089	0.427	0.52
6gFtgkh8ShkrJn52Cbdhxy	Twenty One Pilots	Cut My Lip	USAT21810691	60	modern rock,rock	0.12	0.641	0.0021	0.0355	111.938	0.678	0.561
5SehvGGC53A7SZKCLXQcyt	Twenty One Pilots	Nico and the Niners	USAT21804144	67	modern rock,rock	0.0699	0.728	7.01e-06	0.185	140.081	0.328	0.602
7I3skNaQdvZSS7zXY2VHId	Twenty One Pilots	The Hype	USAT21810690	64	modern rock,rock	0.0105	0.53	0.00061	0.0503	87.019	0.371	0.816
0sXvjZV7p4uvyPN4uQo3FH	Twenty One Pilots	Neon Gravestones	USAT21810689	59	modern rock,rock	0.379	0.73	0.000309	0.138	149.45	0.392	0.427
5G6Gt9RtNaeIE418pd4yre	Twenty One Pilots	Smithereens	USAT21810688	62	modern rock,rock	0.296	0.764	1.01e-05	0.14	151.02	0.519	0.548
23OXdR7YuUBVWh5hSnYJau	Twenty One Pilots	Chlorine	USAT21810687	76	modern rock,rock	0.0735	0.609	0.06	0.0548	90.009	0.315	0.674
2uBhGx3m5iJrtsql8Qk00j	Twenty One Pilots	Levitate	USAT21804361	61	modern rock,rock	0.0857	0.7	0.226	0.17	92.973	0.224	0.934
1E1uGhNdBe6Dddbgs2KqtZ	Twenty One Pilots	Jumpsuit	USAT21804142	68	modern rock,rock	0.00849	0.62	0.162	0.0373	127.052	0.235	0.61
6BEKt5axiNeWCr9huv0k7I	Twenty One Pilots	Truce	USAT21203521	60	modern rock,rock	0.994	0.537	0.0471	0.0475	120.322	0.342	0.0231
1yf97yL1ll8FYXC27c9VTw	Twenty One Pilots	Trees	USAT21203520	61	modern rock,rock	0.00359	0.584	3.44e-05	0.041	140.013	0.324	0.833
4RdRa3qq0GBSKjomxrkh5K	Twenty One Pilots	Guns for Hands	USAT21202558	64	modern rock,rock	0.00694	0.684	0.000167	0.0342	129.963	0.518	0.858
