sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3bFDcdClykyovKmjwfmIJ2	Gigi D'Alessio	Quanti amori	ITB000400179	39	canzone napoletana,classic italian pop,italian adult pop	0.389	0.633	0.0	0.0393	137.011	0.705	0.842
5Fu20ZgKHdaC2sKIX1Jstr	Gigi D'Alessio	Non riattaccare	ITN850900008	38	canzone napoletana,classic italian pop,italian adult pop	0.346	0.598	0.0	0.0708	146.05	0.786	0.431
0ZkyzbNUH6t1woaPexwHMu	Gigi D'Alessio	Non c'è vita da buttare	ITB000400204	19	canzone napoletana,classic italian pop,italian adult pop	0.38	0.645	0.0	0.293	200.141	0.92	0.64
4wYa3Qo54OHgcCicrnA8j3	Gigi D'Alessio	Primo appuntamento	ITB000600514	8	canzone napoletana,classic italian pop,italian adult pop	0.251	0.795	3.94e-06	0.0284	101.978	0.668	0.574
1HPJOoIVdUPuaebxzMrVaD	F.R. David	Words - Original Version 1983	FR6V81029402	73	europop,french synthpop,italian disco	0.372	0.537	2.66e-05	0.0549	123.763	0.527	0.789
0nhBKubnVz9yFNNprBniWz	Troye Sivan	YOUTH	AUUM71501373	73	australian pop,dance pop,pop,viral pop	0.0625	0.628	0.0	0.041	91.507	0.592	0.737
1bmtVglfmSQWfKjgPyERJ8	Little Mix	Move	GBHMU1300243	59	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.00441	0.85	3.16e-06	0.092	121.17	0.766	0.741
4nI8e3fy1hHvhCvJURv5JI	Meryl Streep	Mamma Mia - From 'Mamma Mia!' Original Motion Picture Soundtrack	GBUM70809212	69	hollywood	0.15	0.746	2.18e-06	0.0331	138.047	0.756	0.848
228BxWXUYQPJrJYHDLOHkj	Daddy Yankee	Gasolina	QM6N21759342	80	latin,latin hip hop,reggaeton,trap latino	0.322	0.852	2.69e-06	0.0614	96.008	0.741	0.797
4sCSUQnWQ6HJsOMjfPicdn	Don Omar,Lucenzo	Danza Kuduro	USUM71020778	70	latin,latin hip hop,puerto rican pop,reggaeton,trap latino	0.0866	0.701	0.0	0.0814	130.067	0.896	0.896
45zJRuzK9e6AO527NOW7Fy	Charlie Charles,Sfera Ebbasta,Mahmood,Fabri Fibra	Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)	ITUM71900497	61	italian hip hop,italian pop	0.0261	0.775	2.09e-05	0.183	112.029	0.467	0.661
5cmpi2htdhtcouvfvc6oSI	Articolo 31	Maria Maria	ITA279400709	41	italian adult pop,italian underground hip hop,rap italiano old school	0.0802	0.83	0.0	0.0641	97.067	0.626	0.763
3o5GtsTSrYQ9AwLvWo2F3X	Liam Payne,J Balvin	Familiar (With J. Balvin)	GBUM71800362	54	dance pop,pop,post-teen pop	0.015	0.663	0.0	0.323	92.971	0.867	0.802
6Vg0loBUdvgun5NZi0ku62	Gigi D'Alessio,LDA	Di notte - feat. LDA	ITN852000009	44	canzone napoletana,classic italian pop,italian adult pop	0.249	0.67	0.0	0.0893	154.028	0.572	0.694
1ITsmuChPVC05ogvorAyVu	Lizzo	Boys	USAT21802922	60	dance pop,escape room,minnesota hip hop,pop,trap queen	0.00317	0.891	0.000154	0.115	120.029	0.753	0.587
4pn0G7yHNfTgRYRWca8gYA	Pitbull,Jennifer Lopez,Claudia Leitte	We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)	USRC11400285	55	dance pop,latin,miami hip hop,pop,pop rap	0.00431	0.595	0.0838	0.0707	124.989	0.549	0.942
3t4HeVfURZ5DuqMWz0Cmqg	Rihanna,Calvin Harris	We Found Love	USUM71115507	62	barbadian pop,dance pop,pop,urban contemporary	0.025	0.734	0.00138	0.0383	127.986	0.6	0.766
0pwYLVXVknPSGUQb39cePC	Justin Bieber,Big Sean	As Long As You Love Me	USUM71205320	68	canadian pop,pop	0.0811	0.571	0.0	0.1	139.691	0.613	0.873
4k80K0b6KZ2QjAYkXON7q6	P!nk	Blow Me (One Last Kiss)	USRC11200669	67	dance pop,pop	0.000145	0.597	0.0	0.0439	113.991	0.729	0.919
3NLnwwAQbbFKcEcV8hDItk	One Direction	Perfect	GBHMU1500104	78	boy band,pop,post-teen pop,talent show	0.0598	0.647	0.0	0.0762	99.933	0.396	0.823
2z4U9d5OAA4YLNXoCgioxo	Avril Lavigne	What the Hell	USRC11000915	75	canadian pop,candy pop,dance pop,pop,post-teen pop	0.00472	0.578	0.0127	0.0548	149.976	0.877	0.926
63CSozvYUEudPp12679UVF	Madcon,Ray Dalton	Don't Worry (with Ray Dalton) - Radio Edit	NO5281501010	71	dance pop,norwegian hip hop,pop rap	0.0726	0.811	1.38e-06	0.114	122.987	0.733	0.699
33IQnmtJYjCcrvUUMQgi80	Cheryl	Fight For This Love	GBUM70911955	67	dance pop,electropop,europop,post-teen pop	0.013	0.739	0.0	0.0912	122.988	0.727	0.741
6WgrB8d7GLBGweYLDI6ObR	Justin Bieber,Ludacris	All Around The World	USUM71205293	54	canadian pop,pop	0.019	0.689	2.42e-06	0.178	127.958	0.775	0.816
0IgtEvYFtZEapMoCcgizGQ	Tiziano Ferro	Tardes Negras	ITB920300049	66	italian adult pop	0.203	0.613	0.0	0.0323	136.019	0.438	0.638
0Ph6L4l8dYUuXFmb71Ajnd	Ricky Martin	Livin' la Vida Loca	NLB639920005	75	dance pop,latin,latin pop,mexican pop,puerto rican pop	0.00414	0.425	0.0	0.0476	178.043	0.933	0.954
0vi2v5YENhBL0Uo3V4YLUl	Le Vibrazioni	Vieni Da Me	ITB000300074	52	classic italian pop,italian adult pop	0.0452	0.353	0.0	0.0339	187.796	0.27	0.656
0PDUDa38GO8lMxLCRc4lL1	ZAYN	PILLOWTALK	USRC11600042	78	dance pop,electropop,pop,post-teen pop,uk pop	0.117	0.584	0.0	0.0456	124.944	0.438	0.7
1MCSc1ZxlwV5muFXKocAnW	Mahmood	Barrio	ITUM71900796	59	italian pop	0.0582	0.804	0.0	0.072	122.027	0.575	0.702
4hJSzUREpdDo8uhgEflbHr	Vasco Rossi	Sally	ITUM71700273	61	classic italian pop,italian adult pop	0.289	0.666	0.000536	0.0335	100.829	0.52	0.621
0mvkwaZMP2gAy2ApQLtZRv	Michael Bublé	It's a Beautiful Day	USRE11300016	67	adult standards,canadian pop,jazz pop,lounge	0.0559	0.532	0.0	0.0358	143.837	0.78	0.795
4UXVp597SQfcieJXv75rCl	Blue	U Make Me Wanna	GBAAA0200972	53	boy band,dance pop,europop	0.332	0.617	5.67e-05	0.0299	158.034	0.845	0.722
7bFmXanwZQm6BMV9Nka6Hk	Colin Firth,Pierce Brosnan,Stellan Skarsgård,Amanda Seyfried,Meryl Streep	Our Last Summer - From 'Mamma Mia!' Original Motion Picture Soundtrack	GBUM70809214	68	hollywood	0.246	0.635	0.0	0.0244	96.056	0.433	0.459
2YeoCHKq3nysKkPyUYQiiX	Gigi D'Alessio,Lara Fabian	Un cuore malato	ITB000600559	35	canzone napoletana,classic italian pop,italian adult pop	0.21	0.675	1.2e-05	0.0537	92.973	0.856	0.746
