sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7MiZjKawmXTsTNePyTfPyL	Hippie Sabotage	Devil Eyes	US7SR1600006	76	edm,electronic trap	0.702	0.391	0.405	0.189	99.112	0.199	0.396
3hb2ScEVkGchcAQqrPLP0R	Nickelback	Photograph	NLA320581256	66	alternative metal,canadian rock,nu metal,post-grunge	0.000932	0.515	0.000166	0.0292	145.916	0.385	0.876
5yUFxEu2kx3WBghRvaHVcn	Nickelback	What Are You Waiting For?	USUM71413252	59	alternative metal,canadian rock,nu metal,post-grunge	0.045	0.49	0.0	0.0693	152.023	0.418	0.907
4PkJ7c9y1CwpuVOiJODnCZ	Nickelback	Someday	NLA320320275	67	alternative metal,canadian rock,nu metal,post-grunge	0.000616	0.455	0.000247	0.0391	163.118	0.597	0.858
6ECxUPxgam9THf9KWCnrcX	Nickelback,Dave Martone	The Devil Went Down to Georgia	TCAFA2052309	51	alternative metal,canadian rock,nu metal,post-grunge	0.000141	0.604	0.0367	0.0552	136.874	0.375	0.715
1jq28NGw6wdtFKx8MBPy6C	Nickelback	Burn It to the Ground	NLA320888014	69	alternative metal,canadian rock,nu metal,post-grunge	0.000247	0.617	0.388	0.0744	132.059	0.6	0.922
76gvSn83c2iOIxV9GQkpZS	Nickelback	Million Miles An Hour	USUG11401758	50	alternative metal,canadian rock,nu metal,post-grunge	1.44e-05	0.608	0.0254	0.0499	115.004	0.412	0.881
4Dq75eGDLZGM9EGP0XHbo2	Nickelback	Trying Not to Love You	NLA321191864	56	alternative metal,canadian rock,nu metal,post-grunge	0.0132	0.473	0.0	0.0446	160.017	0.41	0.924
5JjHr4GeuAERaa1qgsbv6A	Nickelback	Edge Of A Revolution	USUM71412163	55	alternative metal,canadian rock,nu metal,post-grunge	0.00011	0.524	0.0	0.0454	161.961	0.66	0.97
3LHFVQwFLoFLJRd1AFbPTZ	Nickelback	Must Be Nice	QMRSZ1700236	50	alternative metal,canadian rock,nu metal,post-grunge	0.000128	0.619	0.183	0.0459	98.008	0.743	0.916
0ADZ5dmXhlfzjMw6lefoPl	Nickelback	Far Away	NLA320581338	69	alternative metal,canadian rock,nu metal,post-grunge	0.000681	0.518	0.0	0.0309	132.918	0.293	0.797
4XYlN4f0yZRkyqPSauZNdv	Nickelback	Coin for the Ferryman	QMRSZ1700234	49	alternative metal,canadian rock,nu metal,post-grunge	4.18e-05	0.544	0.00248	0.05	149.989	0.818	0.969
3O963Rx4OioIw7wdCp7pER	Stellar	Mistake	QM24S2102779	55	social media pop	0.0148	0.577	0.0	0.034	137.04	0.255	0.885
6M47gaKejso9772SKTa3yH	Tech N9ne,Joey Cool,King Iso,Dwayne Johnson	Face Off	USZHR2100088	75	hip hop,kansas city hip hop,pop rap	0.18	0.693	0.0	0.224	80.882	0.391	0.935
6zSpb8dQRaw0M1dK8PBwQz	Elton John,Dua Lipa,PNAU	Cold Heart - PNAU Remix	GBUM72104705	89	glam rock,mellow gold,piano rock	0.034	0.796	4.19e-05	0.0317	116.032	0.942	0.798
1rDQ4oMwGJI7B4tovsBOxc	Jack Harlow	First Class	USAT22203024	94	deep underground hip hop,kentucky hip hop,rap	0.0254	0.905	9.71e-06	0.102	106.998	0.324	0.563
2u1LLm7B1yUggZfMyaZjk9	X-Tense	Dama & Vagabundo	PT2DY2100060	47	hip hop tuga	0.786	0.764	0.0	0.0516	110.993	0.591	0.453
5x2NQmYWyqExdyyXjNIWh3	Domingues	Fica	QZHN42066446	51	hip hop tuga,portuguese pop	0.959	0.598	0.0	0.2	139.688	0.662	0.252
0WmSoWksyfhCME62WhkP2U	Domingues	Romance de Cinema	PT4IJ2000011	50	hip hop tuga,portuguese pop	0.695	0.509	0.0	0.438	173.999	0.52	0.528
0HqZX76SFLDz2aW8aiqi7G	Imagine Dragons	Bones	USUM72201759	86	modern rock,rock	0.0206	0.773	0.0	0.046	114.071	0.571	0.742
4M5PKcWpR8Y6AOmPPbYCrw	Bispo,D'ay	Influencer	PT9GN2100001	37	hip hop tuga	0.256	0.478	0.0	0.235	79.474	0.48	0.685
1EIsJed40cd7Bcv8SXVdqA	Juice WRLD,The Weeknd	Smile (with The Weeknd)	USUG12002597	59	chicago rap,melodic rap	0.224	0.694	0.0	0.133	158.831	0.306	0.685
3L19besdNQzd342qL78xqm	A Boogie Wit da Hoodie,Juice WRLD	Demons and Angels (feat. Juice WRLD)	USAT21812920	68	melodic rap,rap,trap	0.0114	0.81	5.69e-06	0.17	76.503	0.183	0.55
1fCeXjoRExPP2qwSBh2aST	Juice WRLD	Black & White	USUG11800652	73	chicago rap,melodic rap	0.0802	0.776	0.0	0.247	147.946	0.233	0.736
0QBzMgT7NIeoCYy3sJCof1	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	89	dance pop,pop,post-teen pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
2AT8iROs4FQueDv2c8q2KE	Arctic Monkeys	R U Mine?	GBCEL1300363	77	garage rock,permanent wave,rock,sheffield indie	0.00616	0.288	0.0	0.0371	97.094	0.619	0.758
4lhqb6JvbHId48OUJGwymk	Avicii	Hey Brother	CH3131340084	76	dance pop,edm,pop,pop dance	0.0309	0.545	4.64e-05	0.0436	125.014	0.458	0.78
75JFxkI2RXiU7L9VXzMkle	Coldplay	The Scientist	GBAYE0200772	81	permanent wave,pop	0.731	0.557	1.46e-05	0.0243	146.277	0.213	0.442
3Yyj76BeYt3QIffwKpRuKL	Duncan Laurence	Arcade	NL1TK1900001	63	dutch pop	0.827	0.453	0.00122	0.0425	72.017	0.279	0.35
6i0V12jOa3mr6uu4WYhUBr	Twenty One Pilots	Heathens	USAT21601930	78	modern rock,rock	0.0841	0.732	3.58e-05	0.0286	90.024	0.548	0.396
5SZ6zX4rOrEQferfFC2MfP	Aerosmith	Walk This Way	USSM19906481	72	album rock,classic rock,hard rock,rock	0.0114	0.653	1.03e-05	0.043	108.705	0.894	0.73
4YYHgF9dWyVSor0GtrBzdf	Rihanna	Te Amo	USUM70912461	66	barbadian pop,dance pop,pop,pop rap,urban contemporary	0.541	0.567	0.000176	0.0818	171.917	0.751	0.707
2mXrCVwo98mK1C4fkwHjjv	Nickelback	Miss You	USUG11401764	47	alternative metal,canadian rock,nu metal,post-grunge	0.13	0.535	0.0	0.0288	164.177	0.807	0.943
0A8rvkDkZRTH3UgYGWxFnp	EMDI	Tokyo Drift	QZS642180951	52		0.143	0.701	0.000613	0.0308	125.094	0.595	0.808
6Dy1jexKYriXAVG6evyUTJ	Joel Corry,Jax Jones,Charli XCX,Saweetie	OUT OUT (feat. Charli XCX & Saweetie)	UK4ZF2100518	81	dance pop,edm,pop,pop dance,tropical house,uk dance	0.018	0.787	0.00747	0.0478	123.97	0.796	0.833
1JIDa3kZ1kPc842PD0ZjIQ	Heavy Young Heathens	Being Evil Has a Price	TCACP1685083	46	indie pop rock	0.000394	0.465	0.000115	0.0382	141.931	0.334	0.624
2x8evxqUlF0eRabbW2JBJd	Arctic Monkeys	Fluorescent Adolescent	GBCEL0700067	74	garage rock,permanent wave,rock,sheffield indie	0.00146	0.654	0.000144	0.0281	112.056	0.79	0.828
6HFbq7cewJ7rPiffV0ciil	Coldplay	A Sky Full of Stars	GBAYE1400217	56	permanent wave,pop	0.00617	0.545	0.00197	0.0279	124.97	0.162	0.675
2LSp1LZoBanZZrYXtL2Ke8	CPX,Britt	Dancing With Your Ghost	QZMHK2099589	39		0.18	0.813	7.52e-05	0.169	124.026	0.289	0.814
