sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5P5ThE0vm8kwEUF6hlJ6dx	Talking Heads	Heaven - 2003 Remaster	USWB10302430	29	art punk,art rock,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo	0.08	0.583	0.14	0.0243	107.124	0.295	0.661
4gFlHAye7To29Fs4UszQUH	Chet Baker	I Get Along Without You Very Well (Except Sometimes) - Vocal Version	USBN28900074	59	adult standards,cool jazz,jazz,jazz trumpet,lounge,vocal jazz	0.922	0.442	0.000171	0.041	103.34	0.21	0.033
0djZ2ndRfAL69WYNra5jRC	Simon & Garfunkel	April Come She Will	USSM16501152	64	classic rock,folk,folk rock,melancholia,mellow gold,rock	0.863	0.489	0.000152	0.029	102.245	0.349	0.186
3uCkIqD0VzQUijbs8WIizs	Nico	These Days	USF096625390	65	art pop,art rock,experimental,folk rock,melancholia	0.989	0.401	0.305	0.0312	93.091	0.213	0.13
2wqWfGrPq6mqnrTlWen3XW	Sharon Van Etten	We Are Fine	US38Y1220108	43	art pop,chamber pop,dream pop,indie folk,indie pop,indie rock,melancholia,new jersey indie,stomp and holler	0.633	0.425	0.00643	0.0291	107.83	0.0959	0.322
0S9w3jx4cO9rSBcGwB16in	Sigur Rós	Olsen olsen	GBDCA9900073	49	compositional ambient,dream pop,ethereal wave,icelandic rock,melancholia,nordic post-rock,post-rock	0.33	0.19	0.798	0.0469	134.418	0.228	0.482
0b9oOr2ZgvyQu88wzixux9	Childish Gambino	This Is America	USRC11801773	71	atl hip hop,hip hop,rap	0.117	0.854	0.0	0.137	120.024	0.549	0.463
3zJ5RDG0bLQAV2rntFgUtb	Michael Kiwanuka	You Ain't The Problem	GBUM71902961	55	british soul,neo soul,psychedelic soul,soul	0.188	0.643	0.000412	0.0414	124.538	0.653	0.773
2hL3sGJcixRZ1n0YM6jzhR	Linda Martini	Partir Para Ficar	PT9BP0600009	15	portuguese indie rock,portuguese jazz,portuguese rock	0.00378	0.302	0.238	0.0424	149.679	0.196	0.75
55gISxV37mffOW2DbSskT3	Sigur Rós	Starálfur	GBDCA9900068	50	compositional ambient,dream pop,ethereal wave,icelandic rock,melancholia,nordic post-rock,post-rock	0.496	0.184	0.901	0.0399	137.74	0.0954	0.423
51xBgzcyzojRpqFW2ICQAB	Arcade Fire	No Cars Go	USMRG0728504	58	baroque pop,canadian indie,indie rock,modern rock,permanent wave,quebec indie,rock	0.000609	0.324	0.173	0.0371	135.737	0.291	0.772
2sW8fmnISifQTRgnRrQTYW	Portishead	Roads	GBAQT9400064	62	art pop,dark pop,electronica,laboratorio,trip hop	0.778	0.607	0.162	0.0764	76.083	0.192	0.294
1QUiA9aecDOOnf32A9ZrtW	Sigur Rós	Untitled #3 - Samskeyti	GBKEE1400379	51	compositional ambient,dream pop,ethereal wave,icelandic rock,melancholia,nordic post-rock,post-rock	0.818	0.114	0.917	0.0313	89.535	0.0378	0.198
4kOy7M6eT5kYJCZxh0c6Lh	Portishead	The Rip	GBUM70801437	55	art pop,dark pop,electronica,laboratorio,trip hop	0.929	0.418	0.461	0.0318	74.924	0.249	0.486
6544Thq0JMQuxGKxwv6qcZ	Club Makumba	Migratória	PT8JF2100004	15		0.0271	0.472	0.851	0.0376	138.03	0.116	0.756
2Td1ILDxeQAp8AMxJMSJzT	Death In June	Little Black Angel	USI4R0606695	36	british industrial,experimental,industrial,martial industrial,neofolk	0.375	0.168	0.0	0.0284	95.744	0.365	0.451
2R1QmACbs4S02eaHJVAIjq	Sharon Van Etten	I Don't Want to Let You Down	US38Y1526601	32	art pop,chamber pop,dream pop,indie folk,indie pop,indie rock,melancholia,new jersey indie,stomp and holler	0.0119	0.486	0.00321	0.0273	94.487	0.414	0.659
