sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
75fCsUnTiDelE4HMd06t4O	Mc Pepeu,DJ Swat	Gostosinho Tu Cai	BCHFD2200027	75	funk bh	0.902	0.739	0.00284	0.0481	130.039	0.505	0.414
2wSCalnGOnXdAJC0Fn8OUY	George Henrique & Rodrigo,Marília Mendonça	Vai Lá Em Casa Hoje	BRWOS2100055	80	arrocha,sertanejo,sertanejo pop,sertanejo universitario	0.519	0.456	0.0	0.283	157.612	0.589	0.84
0NBgyml7T0IvUNbXIkcSpH	Xamã,Gustah,Neo Beats	Malvadão 3	QZNJZ2122225	82	brazilian hip hop,funk carioca,trap brasileiro	0.378	0.821	0.0	0.268	133.133	0.516	0.609
4QWumyD2uwiePBBha9XBHI	Felipe Amorim	No Ouvidinho	BCOOP2200002	83	arrocha,arrochadeira	0.403	0.885	3.22e-05	0.0394	124.018	0.84	0.834
42nZBOwXNdO24Ml032bLBS	Matheus & Kauan	Gatilho - Ao Vivo	BRUM72102288	77	arrocha,pop nacional,sertanejo pop,sertanejo universitario	0.0302	0.48	0.0	0.143	160.063	0.641	0.93
2ebFBmle5uXcdbrCAOvPcZ	Guilherme & Benuto	Vagabundo Chora - Ao Vivo	BCVV82000049	77	arrocha,sertanejo pop	0.41	0.561	0.0	0.166	155.859	0.89	0.889
5jYEiTNR3FQXFouTX7Ju0N	LUDMILLA,Mariah Angeliq,Topo La Maskara,Mr. Vegas	Socadona (feat. Mr. Vegas)	BRWMB2100422	75	funk carioca,funk pop,pagode baiano,pop nacional	0.0221	0.789	0.0148	0.0667	128.991	0.891	0.823
72g37RoelSnovZakG5MwnF	Mari Fernandez,Marcynho Sensação	Parada Louca	BCZT72100014	78	arrocha,arrochadeira,sertanejo pop	0.302	0.693	0.0	0.0524	166.034	0.835	0.936
0Dkibk70FDp6t7eOZNemNQ	Ludovico Einaudi	Una Mattina	ITB280400098	67	bow pop,compositional ambient,neo-classical	0.991	0.231	0.878	0.0579	131.413	0.07	0.0297
7MLCxrDoxcTRg1u3QAGE5a	Gusttavo Lima	Bloqueado - Ao Vivo	BXBAL2100049	77	arrocha,sertanejo,sertanejo universitario	0.153	0.828	0.0	0.0558	129.092	0.651	0.721
1tYJnXtKLoWVIL4lZOouQG	Tayrone,Marília Mendonça	Cê Tá Preparada - Ao Vivo	BRUM72100017	74	arrocha,forro,sertanejo pop	0.501	0.782	0.0	0.0721	121.95	0.771	0.845
14rZjW3RioG7WesZhYESso	Yann Tiersen	Comptine d'un autre été, l'après-midi	FR91U0100002	70	bow pop,compositional ambient,french soundtrack	0.991	0.483	0.908	0.0469	100.848	0.0542	0.192
7I1fHMDNlHobS8SBUJAUDt	Bob Marley & The Wailers,Ms. Lauryn Hill	Turn Your Lights Down Low	USIR29905024	62	reggae,roots reggae	0.0137	0.733	1.57e-06	0.0685	83.11	0.713	0.668
3geRffSf6eAruhg23RkpKV	R.E.M.	Drive	USWB19901545	61	alternative rock,athens indie,permanent wave,pop rock,rock	0.175	0.467	0.001	0.0283	142.642	0.238	0.432
7KX65PC1UZuImsUInThbav	Michael Kiwanuka	Cold Little Heart - Radio Edit	GBUM71700693	67	british soul,neo soul,psychedelic soul,soul	0.357	0.629	0.000353	0.0278	110.264	0.655	0.58
5MxNLUsfh7uzROypsoO5qe	Aerosmith	Dream On	USSM10011897	76	album rock,classic rock,hard rock,rock	0.388	0.307	9.08e-05	0.029	160.9	0.224	0.433
