sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1UJNbgfTzG1gZZTWFJdMf1	Gorillaz,Gruff Rhys,De La Soul	Superfast Jellyfish (feat. Gruff Rhys and De La Soul)	GBAYE1000006	59	alternative hip hop	0.0598	0.705	2.51e-06	0.287	80.727	0.819	0.751
0PB8KUQHpc7GveSOaWhGwb	Chet Faker	No Diggity	AUDJ01200879	56	art pop,indietronica	0.678	0.575	0.00122	0.228	160.006	0.468	0.77
3lIxtCaROdRDuTnNBDm3n2	Gorillaz,Kali Uchis	She's My Collar (feat. Kali Uchis)	GBAYE1700176	73	alternative hip hop	0.00799	0.726	0.081	0.0313	140.158	0.462	0.815
5A0M6B0RBSXSNWv0wcppZ9	Tyler, The Creator	I DON'T LOVE YOU ANYMORE	USQX91901120	65	hip hop,rap	0.352	0.638	0.0663	0.0932	142.952	0.584	0.522
1UYj8qTWjneZJDVjUMwMub	Tame Impala	The Moment	AUUM71500304	63	australian psych,neo-psychedelic	0.000296	0.547	0.101	0.0468	119.089	0.451	0.827
3vgiIJW3iSQRRvgYiW86i9	J Balvin,ROSALÍA	Brillo	USUM71802252	63	latin,reggaeton,reggaeton colombiano,trap latino	0.89	0.535	0.0	0.362	145.947	0.767	0.384
1TMWcbxL5YF8rKsFHv5hAP	Doja Cat	Rules	USRC11902867	76	dance pop,pop	0.172	0.651	0.0	0.166	144.146	0.686	0.724
6pQKUKBpwr6GhfhcFFFozo	MC Zaquin,MC Rick	Não Nasceu pra Namorar	BX9L12100029	69	funk bh,funk carioca	0.14	0.525	0.0	0.0443	83.406	0.527	0.448
3NqBxTOMCJ3zW9CIP51td4	Eslabon Armado,DannyLux	Jugaste y Sufrí	USE7D2000268	81	corrido,corridos tumbados,nueva musica mexicana,sierreno	0.632	0.39	0.000497	0.0381	200.156	0.34	0.499
5QvBXUm5MglLJ3iBfTX2Wo	Tyler, The Creator	RUNNING OUT OF TIME	USQX91901114	69	hip hop,rap	0.296	0.36	0.000406	0.0528	84.281	0.162	0.391
0mt02gJ425Xjm7c3jYkOBn	Lana Del Rey,The Weeknd	Lust For Life (with The Weeknd)	GBUM71701127	67	art pop,pop	0.604	0.504	0.00193	0.0542	99.982	0.262	0.655
1PioBX3KlN13IXB014CFF6	Sam The Kid	Sendo Assim	PT0HJ1800018	42	hip hop tuga,rap tuga underground	0.0571	0.583	0.0	0.29	95.764	0.0383	0.748
0dfCOOk7zGGphLYUkAXfaa	Márcia	O mais humano sentimento são	PTRZ11100007	8	musica portuguesa contemporanea	0.538	0.886	0.00815	0.0875	123.092	0.69	0.289
1AObGJHBNGq23MkG3ZDjbJ	King Hannah	All Being Fine	DED622200022	40	chamber psych,experimental indie,indie folk	0.211	0.565	0.559	0.0306	159.894	0.747	0.58
6RUr6r5OexrMOYDtgu1QtS	C. Tangana,Toquinho	Comerte Entera	ES5022001202	62	urbano espanol	0.516	0.824	1.91e-06	0.106	124.085	0.345	0.399
6xXEw4y39shgIp6pacKQFH	Room 5,Oliver Cheatham	Make Luv	BEP010310109	56	disco house,vocal house	0.0111	0.883	0.63	0.116	124.814	0.648	0.887
4pkZNPC6yeMnQABwkTmsR6	Sam Sparro	Black & Gold - Radio Edit	GBUM70800413	47	australian dance,electropop	0.00119	0.551	0.0	0.104	135.947	0.334	0.794
5RaqQUlP6i9tOBCXUdlmDO	Nneka	Heartbeat	DEK560800002	40	neo soul	0.0988	0.704	0.00108	0.0846	148.072	0.707	0.647
2FeBslNBMdR9V58uv6hd2t	Kendrick Lamar	N95	USUM72208963	89	conscious hip hop,hip hop,rap,west coast rap	0.377	0.79	2.32e-06	0.105	139.956	0.408	0.67
4hcrvHVZINvtbvOi1AHnfO	Samuel Uria	Repressão	PTNS11600019	12	musica portuguesa contemporanea,portuguese indie,portuguese rock	0.0349	0.696	0.00776	0.03	107.987	0.854	0.817
2OAcH9SD8ehxuG0tWNe0cU	Doja Cat	Addiction	USRC11903458	65	dance pop,pop	0.00993	0.775	0.000537	0.166	90.005	0.548	0.708
5CtkA1k7Fk1MN6ciwyIcDv	MC Lan	Aprendestes	QZ5AB1639415	37	funk carioca,funk ostentacao	0.131	0.865	0.0	0.631	130.014	0.378	0.35
0VO8gYVDSwM1Qdd2GsMoYK	Swedish House Mafia,The Weeknd	Moth To A Flame (with The Weeknd)	USUG12105524	81	edm,pop,pop dance,progressive electro house	0.0027	0.553	0.0	0.0391	120.146	0.105	0.659
3F9ByoUqu31xU0I3G5xfVg	Black Eyed Peas	Meet Me Halfway	USUM70967700	71	dance pop,pop,pop rap	0.00474	0.798	2.17e-05	0.0735	130.0	0.4	0.629
7oqftogUN82Q7VNy2TmTJW	Beyoncé,JAY-Z,Childish Gambino,Oumou Sangaré	MOOD 4 EVA (feat. Oumou Sangaré)	USSM11904700	53	dance pop,pop,r&b	0.119	0.608	0.0	0.374	105.742	0.709	0.709
6DXZiYUbrYgrVIhfX3U9Z2	Dua Lipa	Pretty Please	GBAHT1901300	66	dance pop,pop,uk pop	0.0311	0.906	5.5e-06	0.194	106.976	0.656	0.474
3JA9Jsuxr4xgHXEawAdCp4	Black Eyed Peas	Just Can’t Get Enough	USUM71026671	74	dance pop,pop,pop rap	0.186	0.659	0.0	0.179	94.05	0.262	0.628
6gI9b2VsoWhjhIuIeToDVs	Kendrick Lamar,Blxst,Amanda Reifer	Die Hard	USUM72208965	87	conscious hip hop,hip hop,rap,west coast rap	0.319	0.775	0.00116	0.247	100.988	0.362	0.736
7pj6P5WnxkZsw3XRc8eMe1	Kendrick Lamar	Count Me Out	USUM72208980	83	conscious hip hop,hip hop,rap,west coast rap	0.671	0.776	0.0	0.091	133.999	0.495	0.431
19Fg3WrTfo35Ji3PtfZE6J	Kendrick Lamar	Auntie Diaries	USUM72208989	80	conscious hip hop,hip hop,rap,west coast rap	0.745	0.52	0.0122	0.358	127.544	0.589	0.375
0Fs9cdPDhptWEDJmiCbkEW	J. Cole,Cults,Amber Coffman	She Knows (feat. Amber Coffman & Cults)	USQX91301184	80	conscious hip hop,hip hop,north carolina hip hop,rap	0.0193	0.766	0.0784	0.0807	118.008	0.183	0.74
1o18SV1lvB4oO6fLquctDS	Childish Gambino,Jhené Aiko	I. Pink Toes	USYAH1300232	57	atl hip hop,hip hop,rap	0.0598	0.409	0.000223	0.091	79.579	0.347	0.619
1jWoeUIvNJniadGbeTj03X	Childish Gambino	Playing Around Before the Party Starts	USYAH1300225	48	atl hip hop,hip hop,rap	0.995	0.263	0.948	0.0399	166.073	0.0879	0.126
7y3xU9vEC1s8DSuuoSYKih	Doja Cat	Been Like This	USRC12101538	70	dance pop,pop	0.126	0.678	3.44e-05	0.0374	99.008	0.176	0.531
2gP19KH3V5JlR5MycAIL3R	Jorja Smith,Shaybo	Bussdown (feat. Shaybo)	QM6MZ2119962	56	pop,r&b,uk contemporary r&b	0.368	0.661	0.000563	0.313	148.544	0.81	0.618
6z5mh42xSM54RncKZMM8hS	The Strokes	Call Me Back	USRC11100047	49	alternative rock,garage rock,modern rock,permanent wave,rock	0.863	0.736	1.49e-05	0.035	125.78	0.185	0.297
2X485T9Z5Ly0xyaghN73ed	Tame Impala	Let It Happen	AUUM71500292	72	australian psych,neo-psychedelic	0.00462	0.602	0.0266	0.0443	125.012	0.577	0.881
6uAFJ75WDAoAPyCWJAtvks	Dua Lipa	Good In Bed	GBAHT1901305	60	dance pop,pop,uk pop	0.138	0.68	0.000191	0.0917	94.06	0.649	0.701
3vDJUlhCEqZLyRQVbsWsEI	L'Impératrice	Odyssée	GBMJG1509538	43	french indie pop,french indietronica,french synthpop,new french touch	0.288	0.676	0.851	0.0388	109.017	0.677	0.555
1BLOVHYYlH4JUHQGcpt75R	The Strokes	Ode To The Mets	USRC11902734	65	alternative rock,garage rock,modern rock,permanent wave,rock	0.341	0.426	0.181	0.0289	92.002	0.201	0.617
5pAbCxt9e3f81lOmjIXwzd	Jorja Smith,Burna Boy	Be Honest (feat. Burna Boy)	QM6P41954566	68	pop,r&b,uk contemporary r&b	0.311	0.757	0.0	0.114	98.057	0.635	0.737
2nZ33CKRbgpJQJJQKHuGXb	Gorillaz,Mick Jones,Paul Simonon	Plastic Beach (feat. Mick Jones and Paul Simonon)	GBAYE1000012	65	alternative hip hop	0.00252	0.537	0.0211	0.0893	183.78	0.499	0.893
5e4LIAQI0bClLazNf2gZV0	Tyler, The Creator	EXACTLY WHAT YOU RUN FROM YOU END UP CHASING	USQX91901166	5	hip hop,rap	0.927	0.0	0.0	0.0	0.0	0.0	0.478
4ileLT7ldd2uX8bMemWqbm	The Strokes	Life Is Simple in the Moonlight	USRC11100049	56	alternative rock,garage rock,modern rock,permanent wave,rock	0.0126	0.515	0.000345	0.0313	134.893	0.513	0.696
7qYwkz7t9JeEl2qFXfI47S	Jorja Smith,Stormzy	Let Me Down	US23A1500697	55	pop,r&b,uk contemporary r&b	0.779	0.547	0.0	0.0478	119.895	0.155	0.504
5M4yti0QxgqJieUYaEXcpw	Tame Impala	Eventually	AUUM71500296	78	australian psych,neo-psychedelic	0.0158	0.424	0.000389	0.0325	77.935	0.155	0.615
78Gzxi27GuNHTfkn2BylG4	The Strokes	What Ever Happened?	USRC10301518	59	alternative rock,garage rock,modern rock,permanent wave,rock	8.02e-05	0.547	0.739	0.0339	116.17	0.584	0.596
0fIFjeeLJjIBliWUCsxyMF	Jorja Smith	Teenage Fantasy	US23A1500540	59	pop,r&b,uk contemporary r&b	0.47	0.583	0.193	0.439	176.119	0.495	0.677
718purgMpFb2Axhuz0Hbq1	The Strokes	Chances	USRC11300083	52	alternative rock,garage rock,modern rock,permanent wave,rock	0.365	0.561	0.611	0.0289	103.705	0.53	0.569
3zkWCteF82vJwv0hRLba76	Shawn Mendes	Stitches	USUM71500658	77	canadian pop,pop,viral pop	0.0152	0.746	0.0	0.0676	149.882	0.746	0.754
46WOptLnXUtH3LOyYvmMO1	Gorillaz,Hypnotic Brass Ensemble,Snoop Dogg	Welcome to the World of the Plastic Beach (feat. Snoop Dogg and Hypnotic Brass Ensemble)	GBAYE1000004	53	alternative hip hop	0.00653	0.645	0.0039	0.0418	88.455	0.331	0.777
