sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6rmtT7Y8cH7NpvovoPiV6k	MAGIC!,Zedd	Rude - Zedd Remix	CAV161400034	59	reggae fusion	0.0324	0.598	2.44e-06	0.0457	130.009	0.343	0.836
4duj008kjsbx3PmSQBxhhX	OneRepublic	Love Runs Out - Grabbitz Remix	USUM71410433	38	dance pop,piano rock,pop,pop rock	0.118	0.658	0.0	0.0407	124.012	0.453	0.852
4zLBcDtvYNVtF9fnG6lme3	Robin Schulz,Jasmine Thompson	Sun Goes Down (feat. Jasmine Thompson) - Radio Mix	DEA621400666	69	dance pop,deep euro house,deep house,edm,german dance,pop,pop dance,tropical house	0.0969	0.548	1.28e-05	0.0375	125.088	0.499	0.723
0lsCFjAdLkvNEBbqmlt0sd	Lowkiss,Ryan Riback	Don't Stop Believing - Ryan Riback Radio Edit	GBYDN1201259	52		0.0389	0.604	4.78e-05	0.0362	126.061	0.568	0.709
6EPpTyh7dsGNKmUzUZIvdA	Global Deejays	Kids	DEAX11300052	34	pop house	0.00134	0.625	0.291	0.0647	128.999	0.387	0.757
1zIEwDU2IZyHjy17ssOvyr	Swedish House Mafia	Save The World	GBAAA1100048	50	edm,pop,pop dance,progressive electro house	0.00355	0.654	0.000273	0.108	127.001	0.223	0.737
5fnA9mkIfScSqHIpeDyvck	Lilly Wood and The Prick,Robin Schulz	Prayer in C - Robin Schulz Radio Edit	DEA621400286	73	french indie pop,french rock	0.024	0.763	5.41e-06	0.0262	123.013	0.8	0.875
7xQzN0PeBzIxCr0Vjmfytx	Young Fire	We'll Be Coming Back - For You One Day	FR6V81537702	36		0.00848	0.6	1.21e-05	0.0761	128.006	0.354	0.924
7sziTn5nHwrWf4K7gISaaU	Simple Plan,Sean Paul	Summer Paradise (feat. Sean Paul) - Single Version	USAT21200343	63	canadian pop punk,canadian punk,canadian rock,pop punk	0.0132	0.421	0.0	0.0542	171.935	0.751	0.822
1mzGywacjpeik00PVLBPpF	John Legend,Jason Agel,Tiësto	All of Me - Tiësto's Birthday Treatment Remix - Radio Edit	USSM11400705	63	neo soul,pop,pop soul,r&b,urban contemporary	0.000149	0.606	0.00165	0.0283	127.985	0.178	0.72
2ldAdghnrO34HPcZ0IWfTu	Afrojack,Wrabel	Ten Feet Tall	CYA221400001	64	big room,dance pop,dutch house,edm,electro house,pop dance,pop rap,progressive house,tropical house	0.0336	0.523	0.0	0.0644	127.049	0.346	0.861
5aJhuze13LOoLthmiG8YIA	Marlon Roudette	When The Beat Drops Out	GB27E1400001	64	uk pop	0.214	0.379	0.0	0.197	217.648	0.342	0.647
7ElF5zxOwYP4qVSWVvse3W	Taio Cruz	Break Your Heart	GBUM70908662	76	dance pop,pop,pop rap	0.0327	0.607	0.0	0.0314	122.01	0.568	0.934
6eIacmhkE82vZlMDnGS7aP	David Guetta,Showtek,VASSY	Bad (feat. Vassy) - Radio Edit	GB28K1400007	67	big room,dance pop,edm,pop,pop dance,pop rap	0.00125	0.614	0.0186	0.088	127.966	0.411	0.972
1f8UCzB3RqIgNkW7QIiIeP	Olly Murs,Rizzle Kicks	Heart Skips a Beat (feat. Rizzle Kicks)	GBARL1100728	62	dance pop,neo mellow,pop,pop dance,post-teen pop,talent show,tropical house,uk pop	0.14	0.843	0.0	0.0581	110.621	0.876	0.881
