sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0CPLnPUUHh44vAzDSM5ZlR	Beyoncé	Naughty Girl	USSM10305418	64	dance pop,pop,r&b	0.239	0.735	6.24e-06	0.0857	99.973	0.643	0.466
7jk7gqyEonmVVYahZN5zhW	Britney Spears	Circus	USJI10801081	75	dance pop,pop,post-teen pop	0.147	0.791	0.000381	0.052	114.98	0.761	0.733
2tyMOrVliF1wRnumVdcEwP	Fedde Le Grand	Put Your Hands Up For Detroit - Radio Edit	GBHAD0600321	58	dance pop,deep house,disco house,dutch house,edm,electro house,house,pop dance,pop edm,progressive electro house,progressive house,tropical house,vocal house	0.0165	0.817	0.167	0.225	127.905	0.482	0.909
0BBOLOV5JntPL3341swIre	Kevin Lyttle	Turn Me On	USAT20400415	69	soca,vincy soca	0.0405	0.677	0.0	0.0361	106.279	0.875	0.682
1v7L65Lzy0j0vdpRjJewt1	Eminem	"Lose Yourself - From ""8 Mile"" Soundtrack"	USIR10211559	78	detroit hip hop,hip hop,rap	0.00921	0.686	0.00066	0.264	171.355	0.0596	0.735
1t5nwfsb90IliczIhOMnpJ	Kylie Minogue	In Your Eyes	GBAYE0101381	63	australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop	0.133	0.689	4.72e-05	0.0672	123.971	0.709	0.894
4eZO97RGFo7IN6gm24Nv0S	Bomfunk MC's	Freestyler	FISME9900023	58	eurodance,europop	0.0263	0.824	0.376	0.0965	163.854	0.554	0.925
4dzreTCcGVgeF1vCcd22AC	S Club 7	Don't Stop Movin'	GBCVL0100001	65	bubblegum dance,dance pop,europop,post-teen pop	0.0285	0.822	0.0	0.0329	117.033	0.91	0.672
2VOomzT6VavJOGBeySqaMc	Rihanna	Disturbia	USUM70814476	78	barbadian pop,dance pop,pop,urban contemporary	0.0863	0.707	0.0	0.0571	124.921	0.722	0.813
0Qn0i8df7Q76ej3RAXAtI2	Bob Sinclar,Cutee B.,DollarMan,Big Ali,Makedah	Rock This Party - Everybody Dance Now	FR4E40500380	69	dance pop,disco house,edm,electro house,filter house,pop dance,tropical house,vocal house	0.0714	0.893	0.0	0.122	128.009	0.902	0.823
2FuJvdLfBf8eUmgtlz3Rb3	September	Cry for You - UK Radio Edit	SEWBD0800805	60	dance pop,electropop,eurodance,europop,swedish electropop,swedish pop	0.0433	0.67	0.0	0.0423	130.029	0.963	0.922
49X0LAl6faAusYq02PRAY6	Modjo	Lady - Hear Me Tonight	FR9W10100535	78	disco house,filter house,vocal house	0.00793	0.72	0.0293	0.0379	126.041	0.869	0.808
6yRraj2ghJiIcVbQ6Vb59Q	La Roux	In For The Kill	GBUM70900467	61	alternative dance,art pop,dance pop,electronica,electropop,neo-synthpop,new rave	0.00184	0.629	0.0	0.0455	150.01	0.905	0.969
0ZqveF2rEFlz2oqF2xrriP	Gigi D'Agostino	The Riddle	DEA319908471	65	eurodance,europop,italo dance	0.0173	0.74	0.00152	0.0369	127.002	0.825	0.876
5R9a4t5t5O0IsznsrKPVro	Beyoncé	Single Ladies (Put a Ring on It)	USSM10803760	68	dance pop,pop,r&b	0.0383	0.426	0.0	0.296	193.437	0.272	0.584
7MLPGQfmCkHpqfAib42qby	Fragma,Maria Rubia	Everytime You Need Me - Radio Version	DEG120001981	51	bubble trance,disco house,eurodance,german techno,trance,vocal house	0.15	0.682	0.0676	0.0318	137.029	0.79	0.917
7uuo02BIR76qZ6ZXQhz7Ys	Safri Duo	Played-A-Live (The Bongo Song)	DKBKA0100501	65	eurodance,europop	0.0156	0.634	0.88	0.0569	137.997	0.202	0.97
6P3TrUT5OBuyrBYGrHo525	Bob Sinclair,Steve Edwards	World, Hold On	USTB10602328	62		0.0548	0.734	2.24e-05	0.0965	127.002	0.624	0.941
3aQz0z86zrKjd1mcZlonxE	Guru Josh Project,Klaas	Infinity 2008 - Klaas Vocal Edit	DEHD60712073	74	acid house	0.000313	0.498	0.00941	0.0589	128.034	0.47	0.862
5TmFTHZp7HjBXjjsFvCY6h	Alex Gaudino,Crystal Waters	Destination Calabria - Radio Edit	ITL010600343	75	disco house,electro house,vocal house	0.0015	0.627	0.000814	0.0425	128.016	0.312	0.954
7M13FwBAKWNa2jqcZeUhL6	Bob Sinclar,Gary Pine	Love Generation - Radio Edit	FR4E41811680	68	dance pop,disco house,edm,electro house,filter house,pop dance,tropical house,vocal house	0.192	0.723	0.000154	0.0586	128.038	0.544	0.872
0j2T0R9dR9qdJYsB7ciXhf	Kanye West	Stronger	USUM70741299	82	chicago rap,rap	0.00564	0.617	0.0	0.153	103.992	0.49	0.717
038TPpNCTl39DUsFPsvlXm	Safri Duo,Clark Anderson	Rise (Leave Me Alone) - Radio Edit	DKBKA0400114	45	eurodance,europop	0.214	0.654	0.00218	0.0382	137.939	0.795	0.978
1MOGJQsVeaRcXY6heJz5UZ	DR. KUCHO!,Gregor Salto,Ane Brun,Oliver Heldens	Can't Stop Playing (Makes Me High) [feat. Ane Brun] - Oliver Heldens & Gregor Salto Vocal Mix Edit	NLZ541500027	57		0.0863	0.708	0.000179	0.0408	125.002	0.75	0.904
0yMoJXVP6hFLV71DRVxRTk	Tiësto	Adagio For Strings - Radio Edit	NLE710582353	60	big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house	0.0202	0.49	0.939	0.0461	139.976	0.367	0.916
3oobWqIgYrSRg18uqRuPIF	Jamelia	Superstar	GBAYE0202055	70	dance pop,europop	0.0457	0.801	0.0	0.0356	110.01	0.824	0.645
5ljCWsDlSyJ41kwqym2ORw	JAY-Z,Beyoncé	03' Bonnie & Clyde	USDJ20201108	73	east coast hip hop,hip hop,rap	0.23	0.759	0.0	0.314	89.64	0.327	0.678
5W3cjX2J3tjhG8zb6u0qHn	Daft Punk	Harder, Better, Faster, Stronger	GBDUW0000059	72	electro,filter house	0.0427	0.817	0.00263	0.144	123.474	0.692	0.716
4kLLWz7srcuLKA7Et40PQR	Black Eyed Peas	I Gotta Feeling	USUM70965169	82	dance pop,pop,pop rap	0.0873	0.743	0.0	0.0265	127.96	0.61	0.766
0Bo5fjMtTfCD8vHGebivqc	Crazy Frog	Axel F	DES310500134	69	eurodance	0.279	0.86	0.693	0.0407	138.045	0.786	0.907
0iGckQFyv6svOfAbAY9aWJ	Katy Perry	Hot N Cold	USCA20802544	74	dance pop,pop,post-teen pop	7.95e-05	0.706	0.0	0.0418	132.032	0.861	0.841
1dzQoRqT5ucxXVaAhTcT0J	Lady Gaga,Colby O'Donis	Just Dance	USUM70807646	78	art pop,dance pop,pop	0.0264	0.822	4.26e-05	0.0311	118.992	0.745	0.739
6I9VzXrHxO9rA9A5euc8Ak	Britney Spears	Toxic	USJI10301005	82	dance pop,pop,post-teen pop	0.0249	0.774	0.025	0.114	143.04	0.924	0.838
5aEqcblO0Z6JloFJXtxyhe	Cascada	Everytime We Touch	DEZ620500053	63	bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international,pop rap	0.00281	0.633	1.29e-05	0.0519	142.027	0.493	0.976
5rb9QrpfcKFHM1EUbSIurX	Usher,Lil Jon,Ludacris	Yeah! (feat. Lil Jon & Ludacris)	USAR10301423	82	atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary	0.0183	0.894	0.0	0.112	105.018	0.583	0.791
6NtIQpv6nyBPDwl54d6uoU	La Maschera	N'ata musica	FR2X41426936	31	indie napoletano,musica etnica	0.888	0.644	0.0163	0.0292	120.095	0.308	0.32
5QLIsnlqzQmmI2wCNAEEkL	Black Eyed Peas	Let's Get It Started - Spike Mix	USIR10400364	45	dance pop,pop,pop rap	0.112	0.784	0.0	0.132	104.947	0.779	0.786
5ClXLJW6OLZuTLCwhmX9h9	Infernal	From Paris to Berlin	DKCC50400404	59	bubblegum dance,eurodance,europop	0.096	0.741	0.0	0.0816	126.069	0.839	0.869
2sFp6E7lNBbblJGmUtCfFH	Westlife	Uptown Girl - Radio Edit	GBARL0100013	69	boy band,dance pop,europop	0.00809	0.645	1.08e-05	0.0302	129.0	0.864	0.921
2QYtXNABoSIyVXV2kaITS3	Rihanna,JAY-Z,Jody Den Broeder	Umbrella - Jody den Broeder Lush Radio Edit	USUM70735013	47	barbadian pop,dance pop,pop,urban contemporary	0.00195	0.655	0.0	0.0474	126.019	0.777	0.847
49FYlytm3dAAraYgpoJZux	Rihanna,JAY-Z	Umbrella	USUM70736771	82	barbadian pop,dance pop,pop,urban contemporary	0.00864	0.583	0.0	0.134	174.028	0.575	0.829
1QV6tiMFM6fSOKOGLMHYYg	Lady Gaga	Poker Face	USUM70824409	78	art pop,dance pop,pop	0.118	0.851	1.64e-06	0.0787	118.999	0.787	0.806
0dLMK9i5dLoYYrGXFdlcT3	Cascada	Because the Night	DEHK90780401	51	bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international,pop rap	0.0015	0.612	0.000837	0.0612	140.039	0.468	0.99
22UDw8rSfLbUsaAGTXQ4Z8	Estelle,Kanye West	American Boy	USAT20706210	79	neo soul,r&b	0.171	0.727	0.0	0.326	117.932	0.512	0.729
4rr0gWiMrF4sOIefs3IEvZ	Elvis Presley,Junkie XL	A Little Less Conversation - JXL Radio Edit Remix	USRC10200288	62	rock-and-roll,rockabilly	0.000385	0.597	0.205	0.0502	114.999	0.717	0.97
228BxWXUYQPJrJYHDLOHkj	Daddy Yankee	Gasolina	QM6N21759342	80	latin,latin hip hop,reggaeton,trap latino	0.322	0.852	2.69e-06	0.0614	96.008	0.741	0.797
