sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
26sLRGYCSYSnK0cJVtcCAf	Nick Cave & The Bad Seeds	Do You Love Me? - 2011 Remastered Version	GBAJH1000617	44	permanent wave	0.000936	0.469	0.47	0.0311	125.174	0.696	0.649
0SMKJo3fHqODpavZKFBEjn	Kings of Convenience	Fever	GBUM72101408	49	bergen indie,melancholia,norwegian indie	0.854	0.683	0.12	0.035	90.013	0.715	0.466
78DrOVN5pMN6HtuOBzgcqr	Courtney Barnett	Write a List of Things to Look Forward To	GBX722100373	43	art pop,australian indie,indie pop,indie rock,melbourne indie	8.3e-05	0.496	0.000663	0.0382	151.947	0.681	0.832
7IdFdRlCjUi6kkhbPoRfnw	JAY-Z	99 Problems	USDJ20301460	52	east coast hip hop,hip hop,rap	0.00661	0.493	0.0	0.4	89.157	0.551	0.887
0UiT9qSbutwq7rIIySONQw	Mötley Crüe	Goin' Out Swingin'	USDPK0824017	39	glam metal,hard rock,rock,sleaze rock	1.3e-05	0.486	0.293	0.123	122.488	0.415	0.97
0YammaEkYSeo9vQYZ1OwS6	David Guetta,Bebe Rexha,J Balvin	Say My Name	GB28K1800089	71	big room,dance pop,edm,pop,pop dance,pop rap	0.137	0.703	0.0	0.123	95.031	0.79	0.66
3HHNrkdy0b1y3UGqKdJOMs	Oh The Larceny	Real Good Feeling	US43C1609906	55	rebel blues	0.0163	0.775	0.000408	0.0406	122.039	0.698	0.931
10by78mswca3Co1nP5KW0b	Lee Mvtthews,Embher	Let Me Go	NZAM01802182	51	nz dnb,nz pop	0.00392	0.521	0.00716	0.178	174.054	0.284	0.914
4YgHATLbR0upDqxTKIvvvc	Panic! At The Disco	Hallelujah	USAT21501131	32	modern rock	0.0027	0.518	0.0	0.221	160.117	0.612	0.892
0ZgZ00M93AZxr2vlZtDQ6r	Apashe,Tha Trickaz	Trap Requiem - Original Mix	CA5KR1504890	39	bass trap	0.00282	0.472	0.154	0.147	75.04	0.254	0.864
10IWiPjcInaLTvKKrrhXxc	Regard,Dimitri Vegas & Like Mike,Quintino	Ride It - Dimitri Vegas & Like Mike vs Quintino Remix	GBCEN2000040	41	dance pop,edm,electro house,pop,pop dance,pop edm,slap house,tropical house	0.000625	0.615	0.194	0.0615	128.038	0.133	0.965
1qmUCkWgVz0BImACt1rxjW	Netsky,Paije	Who Knows (feat. Paije)	GBARL1600047	33	belgian edm,dancefloor dnb,drum and bass	0.00255	0.445	8.97e-05	0.039	171.107	0.318	0.768
