sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4Aocy7YAyOYf5YHj18Vfj3	Aminé	Charmander	QZLBC2100449	68	hip hop,pop,portland hip hop,rap,underground hip hop	0.542	0.708	0.00377	0.0714	87.195	0.596	0.552
7CAbF0By0Fpnbiu6Xn5ZF7	Bring Me The Horizon,BABYMETAL	Kingslayer (feat. BABYMETAL)	GBARL2001276	68	melodic metalcore,metalcore,rock,uk metalcore	0.000207	0.434	0.00109	0.147	92.541	0.428	0.929
4UiogCfzKQW98U1GTCivsn	Joji,rei brown	Normal People (feat. rei brown)	ZZOPM2002176	60	alternative r&b,viral pop	0.384	0.678	0.736	0.0472	173.104	0.637	0.685
4YMc3A256xFBS0xcT77Qce	bbno$,Diamond Pistols	help herself	QM24S2100146	67	canadian hip hop,dark trap,vapor trap	0.623	0.607	0.351	0.0364	168.049	0.479	0.851
1qxZswAdBvM0JMUoV83J1b	Still Woozy	BS	USUG12003263	58	bedroom pop,modern rock,oakland indie	0.503	0.616	0.0035	0.0455	79.574	0.53	0.458
5i0jWb3Q8AZSXudqOrovxr	Young Lungs,Verzache	I Want My Life To Change	QZNWV2067844	43	canadian hip hop	0.407	0.759	2.04e-06	0.0426	119.97	0.677	0.609
6Pif6RkFoYzLygdqktus4Q	My Chemical Romance	The Foundations of Decay	USRE12200285	77	emo,pop punk	0.000582	0.363	0.548	0.0552	150.15	0.198	0.67
4qPbHPTHniTcYt6oeboB7r	My Chemical Romance	House of Wolves	USRE10602908	41	emo,pop punk	0.000347	0.445	0.0235	0.0995	105.825	0.239	0.977
0Jli6hojT6aSBcFg4L2P5f	My Chemical Romance	I Don't Love You	USRE10602907	44	emo,pop punk	0.00837	0.289	2.61e-05	0.0494	169.835	0.33	0.796
5EgnurNPXl2Arm2RDt6Aid	My Chemical Romance	The Sharpest Lives	USRE10602906	43	emo,pop punk	0.000111	0.513	0.000102	0.0532	155.015	0.543	0.937
7vBczWEtVRGXkI5HOISv7L	My Chemical Romance	This Is How I Disappear	USRE10602905	43	emo,pop punk	5.08e-05	0.242	4.43e-05	0.106	163.366	0.301	0.983
3262RRKqFC1oJXFwCMqgM0	My Chemical Romance	Dead!	USRE10602904	45	emo,pop punk	0.0037	0.481	0.000877	0.0542	99.331	0.362	0.973
7oiqxhRXTv11kRqEV0D70G	My Chemical Romance	The End.	USRE10602903	43	emo,pop punk	0.0827	0.292	0.0	0.0363	175.053	0.207	0.548
1yKAqZoi8xWGLCf5vajroL	My Chemical Romance	The Ghost of You	USRE10400661	68	emo,pop punk	0.0286	0.202	0.0	0.0816	145.781	0.192	0.886
0uukw2CgEIApv4IWAjXrBC	My Chemical Romance	Dead!	USRE10602904	68	emo,pop punk	0.0037	0.481	0.000877	0.0542	99.331	0.362	0.973
5BB0Jzw60KyfSTyjJqtely	My Chemical Romance	Na Na Na (Na Na Na Na Na Na Na Na Na)	USRE11000909	69	emo,pop punk	0.000264	0.411	0.00148	0.0583	165.981	0.649	0.986
