sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6Ft1XuvNszzYKUzWYK67VR	Hoshimachi Suisei	GHOST	JPV752104460	55	hololive,japanese vtuber	0.00401	0.45	0.0	0.172	91.009	0.282	0.942
3ibRWGqFRxHIjwIDKa9Bvk	Storm Weather Shanty Choir	A Drop of Nelson`s Blood	NOBWC1203010	51	shanty	0.729	0.698	0.0	0.0484	159.253	0.901	0.729
4LA7dTvssOGgLMthwbkTGX	Jimmy Rankin	Haul Away the Whale	CAT241700126	41	canadian celtic,canadian country,canadian singer-songwriter,nl folk	0.324	0.608	0.0	0.12	179.491	0.682	0.911
7cJUHN31KfyZjdAUnFq5ih	Kimber's Men	SOUTH AUSTRALIA	USA561013317	42	shanty	0.957	0.807	0.0	0.0403	103.614	0.917	0.194
3axCgesL3rsjGzCX9ZJCTo	The Longest Johns	Bones in the Ocean	ushm21314947	59	shanty	0.896	0.841	0.0	0.179	79.985	0.437	0.166
0mPYN69Ko3N8HeaZwZv1am	Storm Weather Shanty Choir	Ring Down Below	NOBWC1203040	44	shanty	0.979	0.623	0.0	0.22	82.681	0.625	0.254
5Pnb6NnOVs5ZWRpKTphvKq	The Pirates Charles	Rye Whiskey	USTCB0944074	51	pirate,shanty	0.93	0.809	0.0	0.0403	82.384	0.733	0.313
2vaa0nnDnNTlxCh7fCmjsr	Sean Dagher,Nils Brown,Michiel Schrey	Leave Her Johnny	CA2BN1301189	61	shanty	0.935	0.712	0.0	0.0541	120.416	0.728	0.27
5HFTXdXOYdrTBTQzENl3Y6	The Irish Rovers	The Jolly Roving Tar	CAI370511781	52	canadian celtic,celtic,irish folk,irish pub song,shanty	0.393	0.674	4.33e-05	0.0589	116.117	0.84	0.939
4gofFADVe6CBXoNQHuxwiF	Michiel Schrey,Sean Dagher,Nils Brown	Fish in the Sea	CA2BN1301192	50	shanty	0.908	0.841	0.0	0.0592	101.854	0.935	0.508
7pbUBoAUewp7qTiTKQIPKs	William Pint & Felicia Dale	The Dreadnaught	ushm20783802	42	hurdy-gurdy,pirate,shanty	0.213	0.238	3.3e-06	0.031	179.718	0.564	0.489
54OBgO0Xwu20Jak9TMXbR7	Nathan Evans	Wellerman - Sea Shanty	GBUM72100297	80		0.614	0.675	0.0	0.108	191.903	0.792	0.359
6BadR8UdEijDv01ZafyO62	The Dreadnoughts	The Cruel Wars	ushm21101085	53	celtic rock,pirate,shanty,vancouver punk	0.767	0.83	0.0	0.202	104.717	0.741	0.482
57L0Dz5MohSeTwdgVS8HO0	Duck Pond Sailors	Roll Alabama, Roll	QZES91888094	37		0.875	0.529	0.0	0.0888	81.006	0.517	0.0864
0ZEOLjnJrEBGGHs06ffs5s	The Dreadnoughts	Brisbane Harbour	CASE12200005	38	celtic rock,pirate,shanty,vancouver punk	0.627	0.951	0.0	0.187	111.991	0.829	0.659
6tLRGja4JrRoIUBAhmK4WZ	The Celtic Connection	The Last Shanty	ushm91060492	52	nl folk	0.327	0.664	0.0	0.421	102.945	0.772	0.532
5Su5ILFp6U83cnIXwfmlC5	The Irish Rovers	Drunken Sailor	CA6BE1200020	61	canadian celtic,celtic,irish folk,irish pub song,shanty	0.626	0.668	0.229	0.0418	121.855	0.955	0.897
5tbesmuXa9zGysiRzl3vra	The Fisherman’s Friends	Migalay Boat Song	GBCRS0112615	41	cornish folk,shanty	0.992	0.413	0.0	0.0341	93.437	0.436	0.00909
6mm3BGVN6zER6t8mDjM8cQ	Heather Dale	The Maiden and the Selkie	CAAJ41122444	47	celtic,celtic rock,geek folk,shanty	0.152	0.626	2.65e-06	0.224	96.144	0.24	0.458
1Hq14hcGvFD2ocHX6UiJbf	The Irish Rovers	Haul Away Joe	TCAAX1144168	46	canadian celtic,celtic,irish folk,irish pub song,shanty	0.618	0.75	0.0	0.108	89.598	0.376	0.676
1HpZmEGmT9Y658IUMyTPhB	David Coffin	Roll the Old Chariot Along	TCACQ1613000	51	shanty	0.995	0.33	9.71e-05	0.0635	117.201	0.37	0.3
7I5Io7uuk6kFvFe16Wm3xZ	Michiel Schrey,Sean Dagher,Nils Brown	Running Down to Cuba	CA2BN1301194	46	shanty	0.955	0.858	0.0	0.0737	83.063	0.678	0.394
0xQulEotE4SkbS4hpi9P9X	Nils Brown,Sean Dagher,Clayton Kennedy	Lowlands Away	CA2BN1301240	48	shanty	0.971	0.366	4.47e-06	0.0346	105.325	0.523	0.0965
7kKij7JoKP18RGmzki96hj	John Roberts,The Revels Chorus	Roll Down	US89R0512785	41	shanty	0.954	0.511	0.0	0.111	173.918	0.51	0.12
14YMhhz4OzzkjUVJqSVHkX	Kimber's Men	BULLY IN THE ALLEY	USA561013311	43	shanty	0.995	0.717	0.0	0.0378	78.773	0.959	0.131
4WKs2iDdrR2fA8T3hlCanB	Stan Rogers	Northwest Passage	CAFB50900401	49	canadian celtic,canadian singer-songwriter,celtic,nl folk,shanty	0.911	0.579	0.0	0.121	101.695	0.511	0.0508
1Auv8vgYeK52K3bIY7Hre6	The Wellermen,The Longest Johns	One More Pull	GX2Y42100031	51		0.685	0.35	0.0	0.0894	166.501	0.372	0.37
0zzRxtfO5FGxKdqq4OKmlw	BTS	Danger	KRA381208689	70	k-pop,k-pop boy group	0.000907	0.738	0.000209	0.0702	111.991	0.377	0.868
3XqzyyrDbDYz45z4pEynpg	BTS	Dionysus - Japanese ver.	JPPO02001472	38	k-pop,k-pop boy group	0.0216	0.456	0.0	0.158	175.879	0.56	0.893
08d7Ulc4Lra4rOa9oQtFML	ONE OK ROCK	Mikansei koukyoukyoku	JPJ221000175	45	j-pop,j-poprock,j-rock,japanese emo,visual kei	0.000782	0.427	0.0	0.184	195.051	0.491	0.99
0ecBpKN02kcskxhv9zU36y	Lil Baby,Gunna	Heatin Up (feat. Gunna)	USUG12000045	53	atl hip hop,atl trap,rap,trap	0.0612	0.788	0.0	0.364	129.848	0.341	0.436
6EDO9iiTtwNv6waLwa1UUq	DJ Khaled,Drake	POPSTAR (feat. Drake)	USSM12004501	76	dance pop,dirty south rap,hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap	0.057	0.8	0.0	0.261	163.071	0.45	0.56
4guBZjUyrGoHsTahO3IHdj	Lil Tecca	Did It Again	USUG11902664	73	melodic rap,pluggnb	0.185	0.686	0.0	0.191	148.775	0.186	0.561
2T5NBwKRySiCR78vVk08vr	DaBaby,Young Thug	BLIND (feat. Young Thug)	USUM72015076	64	north carolina hip hop,rap,trap	0.0115	0.709	0.0	0.346	162.973	0.754	0.679
3JKgcAa7r07ocVWcV8bS0H	Polo G	21	USQX92002597	77	chicago rap	0.149	0.783	0.0	0.541	176.027	0.533	0.479
