sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3gG6t4xCPtnTskhpRFFsqO	King Von,Lil Durk	Evil Twins	USUYG1416192	63	chicago rap	0.0447	0.877	0.0	0.298	149.989	0.305	0.599
7yaxytyMMyorvKlF2g64MP	Chico da Tina	Resort	PTBM12000118	43	rap portuense	0.424	0.714	0.000604	0.319	78.01	0.609	0.772
1b3zsjMRa8uAZLOCsijGuo	Chico da Tina	E Agora Como É Que É	PTBM12100148	30	rap portuense	0.446	0.649	0.0	0.123	79.996	0.254	0.492
3VYxHOaZ8ed1enSdu9lY5J	Bad Omens	Glass Houses	USYFZ1566201	49	metalcore,post-screamo	8.83e-05	0.483	0.0	0.158	115.001	0.167	0.971
5wTfzzRW8ddRdgW2kASbox	Architects	when we were young	USEP42222006	63	mathcore,melodic metalcore,metalcore,progressive metalcore,uk metalcore	4.42e-05	0.443	5.71e-06	0.106	169.995	0.439	0.938
2PRHWq5uWiCfjYprnvYPrf	Bad Omens	The Hell I Overcame	USYFZ1808701	45	metalcore,post-screamo	2.64e-05	0.391	0.0	0.106	74.999	0.253	0.975
3LeOJGqZ62QPSvWueSeL7Q	Allt	Severance	QZES52294022	41	progressive metalcore,swedish metalcore	9.25e-05	0.342	0.0165	0.109	164.936	0.178	0.987
25vCUIP2LqB5jDCWTzrq0d	Allt	Paralyzed	QZES52293348	39	progressive metalcore,swedish metalcore	4.42e-05	0.36	0.0471	0.156	172.636	0.295	0.973
34GiFSmz7n93p8VwjmrFNK	Allt	Rupture	QZDA62199319	30	progressive metalcore,swedish metalcore	0.00162	0.518	0.0224	0.0756	100.025	0.0723	0.9
7ncPjJBktLEOpstY5JOUMK	King Gnu	一途	JPU902105228	73	j-pop	0.00723	0.5	6.2e-05	0.124	159.971	0.662	0.964
5K6ooutGWxbvX5ISdKUNrn	Novelists FR	The Light, the Fire	DED831701150	31	metalcore	0.00296	0.419	0.0226	0.0453	88.489	0.477	0.924
2oUXIUf6MkkOKVY9gBf5uD	Novelists FR	Terrorist	DEBZ72100057	48	metalcore	8.39e-05	0.375	0.0219	0.122	147.832	0.428	0.908
31Y2VvuY1S5ZNLLK03rmKO	Night Lovell	Counting Down the List	QZAPK2000158	47	aesthetic rap,canadian hip hop,canadian trap,dark trap,ottawa rap,underground hip hop	0.0174	0.854	0.0022	0.0829	140.963	0.34	0.577
4R67rQNSbbsR4TdUVOIdez	Travis Scott	ESCAPE PLAN	USSM12104018	73	hip hop,rap,slap house,trap	0.00207	0.839	0.0	0.133	154.12	0.44	0.506
3KyKxJ4P3pVCgaZwaq2rUC	The Weeknd	Gasoline	USUG12106682	72	canadian contemporary r&b,canadian pop,pop	0.000582	0.728	0.00206	0.0473	123.006	0.31	0.741
