sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
55MIRLbZzpYSmMlRt9ZDWM	Andrew Garfield,Joshua Henry,Vanessa Hudgens,Robin de Jesus,Alexandra Shipp,MJ Rodriguez	30/90	QZ8BZ2100734	71	hollywood,pop	0.0146	0.466	0.0	0.0663	175.772	0.36	0.789
179NmmjhDK3XMWLrMfMXO7	The Blues Brothers,Junior Wells,Dan Aykroyd,Lonnie Brooks	Cheaper To Keep Her	USUR19700520	30	blues,blues rock	0.265	0.554	0.0	0.156	126.269	0.743	0.85
1jFqNxoIpLHkor2pGQiaDu	Roger Alan Wade	If Your Gonna Be Dumb, You Gotta Be Tough	USOEG0583507	54	chattanooga indie,comic,outlaw country	0.839	0.652	0.0	0.0299	90.026	0.749	0.303
0hAMkY2kwdXPPDfQ1e3BmJ	Arctic Monkeys	Dancing Shoes	GBCEL0501183	60	garage rock,permanent wave,rock,sheffield indie	0.00328	0.522	0.0	0.0461	144.499	0.852	0.889
0ZBPSr7UyUJmGwzAZBuqC2	Alice Donut	Roaches in the Sink	US2Z41010058	11	art punk	0.0217	0.325	0.000542	0.0245	90.303	0.675	0.566
0zvNHIL7ci0ZzIoWU6RO2u	Eddie Rabbitt	I Love a Rainy Night	USWB19900953	64	country,country rock,mellow gold	0.122	0.685	0.0	0.0521	131.463	0.958	0.718
0BlnapfYbgEbTfjtg5tbCT	Wings	Live And Let Die	GBCCS1500158	40	album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock	0.257	0.454	0.00153	0.062	124.656	0.202	0.522
528QhCT2v3HgD71RmrSUNW	Tina Turner	Goldeneye	GBAYE9500713	50	disco,new wave pop,soft rock	0.00456	0.653	0.000355	0.0266	102.021	0.373	0.51
6VObnIkLVruX4UVyxWhlqm	Adele	Skyfall	GBBKS1200164	75	british soul,pop,pop soul,uk pop	0.417	0.346	0.0	0.0282	75.881	0.0789	0.552
6FW73aHNeOW3tqNsBt8j78	Done Again	Hot Rod Lincoln (In the Style of Jim Varney) [Performance Track with Demonstration Vocals]	USK4W0712191	2		0.0366	0.753	0.000128	0.0569	127.837	0.841	0.863
