sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0zHgtaaO1T7AQh4TA9AK1b	Bears In Trees	Ramblings of a Lunatic	SE6A91907245	54	indie pop	0.799	0.701	0.0	0.0447	111.922	0.673	0.376
4dpD3TDufxz2rQ9JLkYPgV	Young Rising Sons	Carry On	USUM71615105	52	folk-pop,indie poptimism,indiecoustica,modern alternative rock,modern rock,pop rock,stomp and holler	0.456	0.639	8.45e-05	0.0528	91.933	0.595	0.654
7EioHGLoCcjuIgQwKh8O8H	fin	Ship in a Bottle	TCADC1705864	61		0.33	0.397	0.0	0.0709	108.005	0.42	0.727
1K3LRUEcUz5FMtPYyg0F45	The Lumineers	Ho Hey	USDMG1260805	79	folk-pop,stomp and holler	0.765	0.682	0.0	0.0301	79.907	0.421	0.471
2ihCaVdNZmnHZWt0fvAM7B	Of Monsters and Men	Little Talks	USUM71119106	80	folk-pop,metropopolis,modern alternative rock,modern rock,pop rock,stomp and holler	0.0206	0.457	0.0	0.032	102.961	0.417	0.757
67WTwafOMgegV6ABnBQxcE	fun.	Some Nights	USAT21104050	71	baroque pop,metropopolis,modern rock,pop rock	0.0178	0.672	6.75e-05	0.0506	107.938	0.392	0.738
4DEyBpSxPLV2DEUdErP6BT	Miguel Araújo,Inês Viterbo	Balada astral (Com Inês Viterbo)	PT4CG1400001	36	portuguese pop,portuguese rock	0.602	0.592	0.0	0.0252	103.957	0.558	0.355
2KrN3MCNztKcSleZgHEj83	Mumford & Sons	Little Lion Man	GBUM70909097	68	modern folk rock,modern rock,stomp and holler,uk americana	0.0275	0.517	3.19e-05	0.0272	138.585	0.455	0.492
2Yer0p7uB2lVBUAtANuuQp	Social House,Lil Yachty	Magic In The Hamptons (feat. Lil Yachty)	USUM71806833	76		0.66	0.769	0.0	0.0385	96.051	0.803	0.479
0GO8y8jQk1PkHzS31d699N	Grouplove	Tongue Tied	USAT21101334	80	indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler	0.00847	0.56	0.0	0.0439	112.96	0.371	0.936
3YJJjQPAbDT7mGpX3WtQ9A	SZA	Good Days	USRC12004189	82	pop,r&b	0.499	0.436	8.1e-06	0.0583	121.002	0.412	0.655
4cEONREpY8NQJMuGQP95Kl	Bryce Vine,YG	La La Land (feat. YG)	USWB11801429	56	electropop,pop,pop rap	0.221	0.774	0.0	0.0569	97.953	0.416	0.473
7EkWXAI1wn8Ii883ecd9xr	Surf Curse	Freaks	USAT22102269	86	dreamo,indie surf,surf punk,vegas indie	3.84e-05	0.345	0.633	0.0466	179.626	0.407	0.941
0725YWm6Z0TpZ6wrNk64Eb	Frank Ocean,Earl Sweatshirt	Super Rich Kids	USUM71207196	74	hip hop,lgbtq+ hip hop,neo soul,pop	0.219	0.739	0.0	0.0854	60.493	0.58	0.419
05mAIVLkIWc2d1UBYZBCp8	Charli XCX,Troye Sivan	1999	GBAHS1800662	61	art pop,candy pop,dance pop,electropop,metropopolis,pop,uk pop	0.0227	0.739	1.39e-06	0.0329	124.016	0.659	0.742
3GZD6HmiNUhxXYf8Gch723	Frank Ocean	Lost	USUM71207186	85	hip hop,lgbtq+ hip hop,neo soul,pop	0.0272	0.913	0.000503	0.226	123.061	0.497	0.603
2nGFzvICaeEWjIrBrL2RAx	Corinne Bailey Rae	Put Your Records On	GBAYE0501671	77	british soul,neo mellow,neo soul,pop soul,r&b,soul	0.167	0.739	1.34e-06	0.0362	96.038	0.542	0.511
4djIFfof5TpbSGRZUpsTXq	COIN	Talk Too Much	USSM11602662	73	indie pop,modern rock,pop,pop rock	0.00947	0.598	0.0	0.0807	103.966	0.482	0.888
3xyr2xfbSZiZWWGsjLyMFh	Claire Rosinkranz	Hotel	USUG12102943	67	alt z,indie pop,modern indie pop,pop	0.484	0.856	0.0	0.0752	133.927	0.949	0.656
4kTLpAbhuEGHAAdDjOIWaa	Kid Cudi,MGMT,Ratatat	Pursuit Of Happiness (Nightmare)	USUM70981907	73	hip hop,ohio hip hop,rap	0.497	0.627	7.05e-05	0.0405	115.284	0.247	0.589
5bgwqaRSS3M8WHWruHgSL5	Khalid	8TEEN	USRC11700146	78	pop,pop r&b	0.225	0.83	0.00209	0.0366	105.03	0.642	0.585
1v3Ozpbcx2B926aVW0UuXk	Tai Verdes	A-O-K	USQX92101406	68	modern indie pop	0.125	0.731	0.0	0.0805	82.488	0.862	0.626
5T7ZFtCcOgkpjxcuaeZbw0	One Direction	Best Song Ever	GBHMU1300102	78	boy band,pop,post-teen pop,talent show	0.0227	0.652	0.0	0.0465	118.491	0.486	0.877
169pWCmfvVazzcL4EXFPgL	Colony House	You Know It	QMTAA1600045	68	indie poptimism,indiecoustica,modern alternative rock,modern rock,pop rock,stomp and holler	0.0352	0.404	0.0	0.0978	158.121	0.572	0.962
7MiZjKawmXTsTNePyTfPyL	Hippie Sabotage	Devil Eyes	US7SR1600006	79	edm,electronic trap	0.702	0.391	0.405	0.189	99.112	0.199	0.396
1CQ2cMfrmFM1YdfmjENKVE	5 Seconds of Summer	She Looks So Perfect	GBUM71400377	74	boy band,dance pop,pop,post-teen pop,uk pop	0.000569	0.494	0.0	0.132	160.025	0.441	0.951
0OgGn1ofaj55l2PcihQQGV	Bryce Vine	Drew Barrymore	USQY51770936	65	electropop,pop,pop rap	0.46	0.758	0.00272	0.0572	151.985	0.261	0.574
368UaeqCCqT237KgIN8H5I	MARINA	Orange Trees	GBAHS1900197	50	dance pop,electropop,metropopolis,pop,uk alternative pop	0.256	0.731	5.9e-06	0.0519	100.988	0.547	0.66
1L0z2CQKrKJ2spYSMkfim9	Doja Cat	Bottom Bitch	USRC11902272	65	dance pop,pop	0.00265	0.695	0.000928	0.0359	160.028	0.484	0.825
2GiJYvgVaD2HtM8GqD9EgQ	BØRNS	Electric Love	USUM71416307	83	modern alternative rock,modern rock,pop	0.00543	0.611	0.00137	0.0533	120.041	0.518	0.797
3BIIJgBJJ7NhhCv4MI6n7w	Oliver Tree	Alien Boy	USAT21800606	69	alternative hip hop	0.0597	0.792	0.0	0.132	130.135	0.52	0.576
