sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3VPwxQXpCzxDpn8Q2Z74YB	Burning Witches	Burning Witches	ATR981168860	22	melodic metal,slayer,swiss metal	0.002	0.525	0.000198	0.0546	85.003	0.499	0.962
55soLA9gH7BZYJI4nC7YCq	Ad Infinitum	Marching On Versailles	ATN261993602	39	melodic metal,slayer	0.000227	0.459	6.41e-06	0.0598	102.026	0.375	0.904
43b2iYHgMEilHONhx2jGz1	Leaves' Eyes	Sign of the Dragonhead	DEU601707374	7	celtic metal,german metal,gothic metal,gothic symphonic metal,melodic metal,norwegian metal,power metal,slayer,symphonic metal,symphonic power metal	0.0174	0.442	0.0	0.101	176.006	0.514	0.964
7o3eiEmgW9j7vOotdBcUxY	Leaves' Eyes	Dark Love Empress	DEU602008858	31	celtic metal,german metal,gothic metal,gothic symphonic metal,melodic metal,norwegian metal,power metal,slayer,symphonic metal,symphonic power metal	0.0227	0.219	0.000808	0.0711	169.681	0.269	0.927
5qQki0uYvojTK4qEZn2WPp	Battle Beast	I Want the World... And Everything in It	DED831401067	34	finnish heavy metal,finnish power metal,melodic metal,power metal	9.97e-06	0.414	0.000566	0.0526	157.108	0.743	0.959
3wfyYRMELbFJZv3DfhQ2U5	Angel Nation	Fly Away	SEXEN2100701	10	british power metal,melodic metal,slayer,symphonic power metal	0.114	0.423	0.000264	0.033	125.899	0.123	0.543
2hJS7BdEaH9Jo8MeJujsHT	CLC	HELICOPTER	KRA392000055	61	k-pop,k-pop girl group,korean city pop	0.0323	0.666	0.0	0.056	155.048	0.655	0.908
0FVQr2ILw82OIqotJyDymt	이바다	RUNNIN’ BACK	KRB921945791	27		0.224	0.639	0.0	0.0731	118.906	0.403	0.475
14pjnaIqkpReO5D0tHofAS	PENTAGON	Daisy	KRA392000057	59	k-pop,k-pop boy group	0.0362	0.563	0.0	0.0532	85.016	0.48	0.869
21063p4OKSg1gQOx4Fzv77	Troye Sivan	Take Yourself Home	AUUM72000197	56	australian pop,dance pop,electropop,pop,viral pop	0.0743	0.366	0.00034	0.0832	100.694	0.294	0.606
45S5WTQEGOB1VHr1Q4FuPl	Harry Styles	Golden	USSM11912586	83	pop	0.21	0.448	0.000131	0.0557	139.863	0.254	0.838
44qSm80CrnBt3Mry9vYE41	Sik-K	FIRE (Prod. by GroovyRoom)	KRF151800048	37	k-rap,korean r&b	0.106	0.54	0.0	0.0429	82.983	0.33	0.816
0L1IszgjzIZRBENyHJTQms	Madison Beer	Dear Society	UKELY1900008	61	alt z,dance pop,electropop,pop,post-teen pop	0.161	0.65	0.0	0.0492	145.944	0.416	0.594
35IJPK0rh5w4GwKvqHvnoZ	TAEMIN	2 KIDS	KRA302000410	41	k-pop	0.159	0.613	0.0	0.0671	103.877	0.499	0.698
7oEm5Q1virEUB9H0XjWZzF	NCT DREAM,HRVY	Don’t Need Your Love	KRA301900245	60	k-pop,k-pop boy group	0.0632	0.619	0.0	0.0834	160.145	0.769	0.881
1lhm29o3syw122xynSKaAK	Sam Kim	Love Me Like That	KRF702100173	70	chill r&b,k-pop,korean pop,korean r&b	0.854	0.59	0.0	0.0654	87.895	0.461	0.294
3gChfwiB0yrnZRnlJ5Oq9E	WOODZ	Love Me Harder	KRMIM2017224	55	k-pop,korean r&b	0.0213	0.732	0.0	0.0433	129.98	0.657	0.804
1vfk4cnwq5IuGtkd4weoah	ASTRO	Knock	KRA382001343	52	k-pop,k-pop boy group	0.271	0.61	0.0	0.0495	97.063	0.703	0.894
0ND8rF8oirMXtE59n585P6	Julia Michaels	17	USUM71912027	62	alt z,dance pop,electropop,pop,post-teen pop	0.458	0.774	0.0	0.0433	97.975	0.396	0.466
1jxGBe4s8FwL2ZeNWszVuu	D.O.,Wonstein	I'm Gonna Love You	KRA302100238	65	k-pop	0.434	0.519	0.0	0.206	200.021	0.505	0.445
345hulOVGszC6IK8VnYMXL	WOODZ	LIFT UP	KRMIM2017222	39	k-pop,korean r&b	0.0394	0.612	0.0	0.222	83.022	0.536	0.885
6f4wghlwYWGLqGEIKc6HDQ	GOT7	You Calling My Name	US5TA1900095	60	k-pop,k-pop boy group	0.0917	0.813	0.0	0.0616	111.02	0.514	0.667
7IqYkjcFnqKPmwg6lWxXYv	iKON	BUT YOU	KRA402100168	67	k-pop,k-pop boy group	0.0223	0.634	0.0	0.0323	138.006	0.693	0.91
3PzZgvtR2OsxN2QtZX41xK	V Matteucci,V Giannetti,G Giannolla,L Lenghi,Michele Centonze	Per Lei Mi Batterò	USWD10526286	36	disney italiano	0.379	0.375	0.0	0.0933	177.122	0.812	0.565
4Q4XxblXhPvcVKGhLKupNf	Michele Bravi	Ricordami - Solo	USWD11784415	37	italian adult pop,italian pop	0.198	0.6	0.0	0.0366	84.973	0.67	0.526
5y60lORRFrupWhhgeV1rAg	M Cataldi,M Martello,C Dori,G Fasolino,M Magnani,L Heredia,N Biondini	Molto Onore ci Darai	USWD10526283	34	disney italiano	0.416	0.585	0.0	0.0445	83.861	0.651	0.449
5BdMrdKfmXudfTVwYw7JsT	Raphael Gualazzi,Nicola Gargaglia,Ernesto Brancucci	Lo splendente Tamatoa	USWD11678199	35		0.498	0.608	0.0	0.272	145.643	0.516	0.665
