sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
17aQWGcErWKwQnaTHOcq81	Riverside	The Same River	PLB821900259	25	neo-progressive,polish prog,prog metal,progressive metal,progressive rock,symphonic rock	0.249	0.231	0.097	0.0384	96.6	0.15	0.66
1a6uHU6uqREaMMgkrKijLC	Steven Wilson	Home Invasion / Regret #9	GBCQV1400554	33	art rock,neo-progressive,progressive metal,progressive rock,symphonic rock	0.0104	0.469	0.518	0.0338	76.98	0.18	0.588
033qZdFc0NDMcC5qgwuUux	Steven Wilson	Luminol	GBCQV1300032	34	art rock,neo-progressive,progressive metal,progressive rock,symphonic rock	0.00214	0.418	0.621	0.0313	172.002	0.283	0.446
2VvUor8pk8HOR9cb5iC84z	Porcupine Tree	Anesthetize	GBCQV0701070	46	alternative metal,art rock,progressive metal,progressive rock,symphonic rock	0.076	0.548	0.681	0.0331	110.001	0.286	0.49
6gYx4SBZz99Lwn6V5iDll9	Porcupine Tree	Arriving Somewhere But Not Here	GBCQV1714817	48	alternative metal,art rock,progressive metal,progressive rock,symphonic rock	0.016	0.377	0.705	0.0504	159.965	0.048	0.789
68PdFtHkToFHhgUuAD1Ryd	Pink Floyd	Shine On You Crazy Diamond - Live	GBDJQ9400028	41	album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock	0.321	0.209	0.000799	0.0386	144.741	0.114	0.472
55mJleti2WfWEFNFcBduhc	TOOL	Schism	USVR10100013	68	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.0012	0.567	0.417	0.0302	107.441	0.191	0.714
0pwObEOHolQZSldJ2q1wpy	TOOL	Stinkfist	USZE19600081	64	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.000174	0.286	0.836	0.0616	171.441	0.467	0.728
6AioOohg4bQZFA4jIYQQ2r	TOOL	Forty Six & 2	USZE19600086	65	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00152	0.375	0.598	0.0364	159.23	0.396	0.682
1d11DdSRq5Cp5PflcJYJAN	Low Roar,Jófríður Ákadóttir	Bones	QM5L61700002	40	icelandic indie	0.255	0.508	0.00981	0.0386	69.995	0.353	0.411
71yIq1YcohTp0t1auLoIxg	Low Roar	Don't Be so Serious	QM5L61700001	43	icelandic indie	0.209	0.557	0.42	0.0424	129.987	0.117	0.566
419pFKjN4iB5BBoXFFb0Uc	Chad Lawson	Preludium in C Major (Variation) - J.S. Bach	ushm81198176	25	compositional ambient,neo-classical,new age piano	0.993	0.223	0.913	0.0471	126.325	0.087	0.057
0gq5PCIg03q7nz3sGO1z8x	Chad Lawson	The Path to Highgate	ushm81661415	16	compositional ambient,neo-classical,new age piano	0.965	0.434	0.886	0.0422	106.02	0.0631	0.112
6XjCYeFNqQ4yjZ8OMNuwzA	Chad Lawson	Delicate	ushm81661414	20	compositional ambient,neo-classical,new age piano	0.858	0.136	0.92	0.039	145.521	0.141	0.0766
1xuC6OmvbQmANiTK814Ray	Chad Lawson	Trying Hard to Forget	ushm81661413	16	compositional ambient,neo-classical,new age piano	0.987	0.511	0.894	0.0435	120.013	0.155	0.161
5ZXKJ02hgWHcQ3s0BHF1nA	Chad Lawson	And Yet	ushm81661412	21	compositional ambient,neo-classical,new age piano	0.979	0.4	0.906	0.0343	162.129	0.0931	0.0756
7mSWPpZfBMcBoz8EHQlFar	Chad Lawson	Islands	ushm81661411	33	compositional ambient,neo-classical,new age piano	0.93	0.106	0.797	0.0371	159.071	0.045	0.116
6Bmr3h7gIO0LLqM7fKglj7	Chad Lawson	Paper Shadows	ushm81661410	26	compositional ambient,neo-classical,new age piano	0.933	0.334	0.877	0.0398	179.945	0.0739	0.0491
7IXV74CPwQHaK00M0d3luu	Chad Lawson	Hidden Beneath	ushm81661409	16	compositional ambient,neo-classical,new age piano	0.984	0.37	0.937	0.0509	133.133	0.037	0.0418
5H3xdduMe7wBeiIeRuueTz	Chad Lawson	Ash	ushm81661408	20	compositional ambient,neo-classical,new age piano	0.985	0.314	0.928	0.04	132.089	0.0395	0.0965
27iqphH3mWVjAn56iGMe2F	Tal Farlow	Autumn Leaves	USPR35502410	36	bebop,jazz guitar	0.991	0.593	0.606	0.07	95.116	0.267	0.0208
7c2RnJOrhl1hvVkEh5RMDq	Herb Ellis,Remo Palmier	Danny Boy	USC4R0506902	30	jazz guitar	0.979	0.519	0.921	0.0725	177.318	0.13	0.0421
1DDaR396iGhz2tqKqJrvoE	Wes Montgomery	I Wish I Knew	USFI86101279	36	hard bop,jazz,jazz fusion,jazz guitar	0.937	0.377	0.898	0.0423	111.705	0.237	0.0442
2ArUITWb0ZCan5FKNOh0ji	Kenny Burrell,Coleman Hawkins,Tommy Flanagan	Montono Blues - Bonus Track	USFI86200511	15	bebop,hard bop,jazz,jazz fusion,jazz guitar,soul jazz,straight-ahead jazz	0.922	0.734	0.91	0.0489	78.264	0.832	0.254
3Xe0MPz09iz5XvlzrwP15f	Kenny Burrell,John Coltrane	Big Paul - Bonus Track	USFI86300076	16	bebop,hard bop,jazz,jazz fusion,jazz guitar,soul jazz,straight-ahead jazz	0.491	0.484	6.43e-06	0.038	130.008	0.37	0.371
00VCWbTPQ9SdRCTZRGEqey	Wes Montgomery	Tune Up - Take 5	USFI86300434	18	hard bop,jazz,jazz fusion,jazz guitar	0.961	0.64	0.544	0.0305	135.197	0.51	0.309
5IBREbYRb8KyBIu1TyxDXq	Wes Montgomery	Gone With The Wind	USFI86000102	25	hard bop,jazz,jazz fusion,jazz guitar	0.957	0.595	0.854	0.0573	132.282	0.689	0.173
2WtVKGMO7Nu7SvNL7SZsdp	Wes Montgomery	Mr. Walker	USFI86000101	20	hard bop,jazz,jazz fusion,jazz guitar	0.95	0.785	0.864	0.0476	133.671	0.821	0.321
392OK8Qdmos0wNDrduiwy0	Wes Montgomery	In Your Own Sweet Way	USFI86000100	44	hard bop,jazz,jazz fusion,jazz guitar	0.992	0.566	0.912	0.0452	122.274	0.0785	0.0703
5vooXq1F3SrYJl8TGtMsHA	Wes Montgomery	West Coast Blues	USFI86000099	25	hard bop,jazz,jazz fusion,jazz guitar	0.928	0.539	0.142	0.043	154.387	0.694	0.318
2Mq2Fzc9HBgvsijVFdSXUl	Wes Montgomery	Four On Six	USFI86000098	35	hard bop,jazz,jazz fusion,jazz guitar	0.875	0.481	0.213	0.0345	104.872	0.632	0.35
6v8L0BXEuKDVeUeSKDb5LU	Wes Montgomery	Polka Dots And Moonbeams	USFI86000097	25	hard bop,jazz,jazz fusion,jazz guitar	0.989	0.501	0.86	0.0442	93.705	0.363	0.032
5fxPh44pYzAR5M5KW5SdMk	Wes Montgomery	D-Natural Blues	USFI86000096	29	hard bop,jazz,jazz fusion,jazz guitar	0.965	0.578	0.824	0.0437	91.736	0.476	0.155
2UCUSLYC6EX0AGnI7DAC35	Wes Montgomery	Airegin	USFI86000095	27	hard bop,jazz,jazz fusion,jazz guitar	0.88	0.432	0.109	0.0337	147.897	0.81	0.398
28WmNsclKsrVmdv3tDmoYU	Metallica	Seek & Destroy - Remastered	QMKHM1600034	65	hard rock,metal,old school thrash,rock,thrash metal	0.037	0.445	0.0132	0.282	140.817	0.448	0.964
