sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0QKfiqpEU4h9ycPSzIFwYe	Michael Sembello	Maniac	USPR38302462	70	hi-nrg	0.0891	0.617	4.04e-06	0.0651	158.86	0.835	0.533
32OlwWuMpZ6b0aN2RZOeMS	Mark Ronson,Bruno Mars	Uptown Funk (feat. Bruno Mars)	GBARL1401524	81	dance pop,pop	0.00801	0.856	8.15e-05	0.0824	114.988	0.928	0.609
7xyYsOvq5Ec3P4fr6mM9fD	Muse	Hysteria	GBCVT0300083	69	modern rock,permanent wave,rock	0.000456	0.412	0.0026	0.0575	93.162	0.455	0.92
6r9tjMWLv8fNdZKKTnqCEr	Muse	Follow Me	GBAHT1200393	50	modern rock,permanent wave,rock	0.00126	0.279	2.01e-05	0.0586	135.258	0.0842	0.817
2IFqUmfW8oQoKn6ToxKsMs	Muse	Survival	GBAHT1200332	53	modern rock,permanent wave,rock	0.000692	0.557	0.188	0.0394	164.01	0.632	0.826
3V78QkKzy5bIy0goZj3L8u	Muse	Prelude	GBAHT1200392	41	modern rock,permanent wave,rock	0.668	0.0807	0.945	0.0379	82.178	0.0999	0.382
1tjHKKI0r82IB5KL29whHs	Muse	Panic Station	GBAHT1200391	57	modern rock,permanent wave,rock	0.00224	0.671	0.000154	0.0378	104.99	0.726	0.766
40pPI2TbaYSZlKfV44HRjn	Muse	Supremacy	GBAHT1200389	57	modern rock,permanent wave,rock	0.00451	0.256	0.0409	0.0387	158.718	0.325	0.679
6xq3Bd7MvZVa7pda9tC4MW	Muse	The Handler	GBAHT1500071	53	modern rock,permanent wave,rock	0.000143	0.47	0.0417	0.047	130.009	0.279	0.925
2E5tWJSusHxpaksg1yfsIu	Muse	(Drill Sergeant)	GBAHT1500067	5	modern rock,permanent wave,rock	0.595	0.668	4.79e-05	0.472	97.57	0.36	0.655
2daZovie6pc2ZK7StayD1K	Muse	Dead Inside	GBAHT1500066	55	modern rock,permanent wave,rock	0.000259	0.65	0.000492	0.0507	100.005	0.603	0.758
57lCa95tmjJ8EYdNTex8Kk	Muse	Thought Contagion	GBAHT1800045	56	modern rock,permanent wave,rock	0.00107	0.48	2.37e-05	0.0402	139.985	0.378	0.76
3eSyMBd7ERw68NVB3jlRmW	Muse	Pressure	GBAHT1800405	60	modern rock,permanent wave,rock	0.00342	0.622	0.00014	0.0609	136.041	0.724	0.842
0j3obufLXq5toSs592dX9U	Muse	Bliss	GBCVT0100005	54	modern rock,permanent wave,rock	0.000258	0.447	0.00206	0.047	127.956	0.251	0.8
2VrJMuLt2m9HbifGrKWHqk	Muse	New Born	GBCVT0100009	56	modern rock,permanent wave,rock	0.00326	0.238	0.298	0.0912	150.899	0.186	0.932
4if8r1TndqhnvhI6MNrUIf	Muse	Feeling Good - XX Anniversary RemiXX	GBAHT2100402	35	modern rock,permanent wave,rock	0.0915	0.32	0.000229	0.0332	108.587	0.181	0.607
3w1KoEKYKrbG0sfx7MbIeh	Muse	Plug In Baby - XX Anniversary RemiXX	GBAHT2100399	39	modern rock,permanent wave,rock	3.33e-05	0.339	0.000378	0.0558	136.072	0.482	0.942
12PjOccRYa3TKcRpPl6KOA	Muse	Bliss - XX Anniversary RemiXX	GBAHT2100396	37	modern rock,permanent wave,rock	0.00126	0.29	0.000987	0.0808	126.859	0.191	0.927
4XYe1saIRzKp9d09w8Tgze	Muse	New Born - XX Anniversary RemiXX	GBAHT2100395	39	modern rock,permanent wave,rock	0.00673	0.291	0.0972	0.136	151.319	0.133	0.988
0It6VJoMAare1zdV2wxqZq	Muse	Undisclosed Desires	GBAHT0900322	63	modern rock,permanent wave,rock	0.00819	0.683	0.0162	0.0323	115.997	0.641	0.585
2UKARCqDrhkYDoVR4FN5Wi	Muse	Plug in Baby	GBCVT0000025	63	modern rock,permanent wave,rock	6.94e-06	0.408	0.000402	0.05	136.018	0.349	0.965
2takcwOaAZWiXQijPHIx7B	Muse	Time is Running Out	GBCVT0300078	66	modern rock,permanent wave,rock	0.00242	0.585	0.00686	0.0556	118.211	0.428	0.842
383QXk8nb2YrARMUwDdjQS	Muse	Psycho	GBAHT1500068	65	modern rock,permanent wave,rock	0.00114	0.555	0.041	0.0341	125.02	0.507	0.883
0c4IEciLCDdXEhhKxj4ThA	Muse	Madness	GBAHT1200390	65	modern rock,permanent wave,rock	0.127	0.502	0.00419	0.0718	180.301	0.218	0.417
7ouMYWpwJ422jRcDASZB7P	Muse	Knights of Cydonia	GBAHT0500600	66	modern rock,permanent wave,rock	0.000273	0.366	0.0122	0.142	137.114	0.211	0.963
3skn2lauGk7Dx6bVIt5DVj	Muse	Starlight	GBAHT0500592	71	modern rock,permanent wave,rock	0.000436	0.55	1.02e-05	0.0321	121.61	0.318	0.874
4VqPOruhp5EdPBeR92t6lQ	Muse	Uprising	GBAHT0900320	73	modern rock,permanent wave,rock	0.000202	0.602	0.064	0.0775	128.019	0.411	0.905
3lPr8ghNDBLc2uZovNyLs9	Muse	Supermassive Black Hole	GBAHT0500593	74	modern rock,permanent wave,rock	0.0492	0.668	0.00517	0.0439	120.0	0.782	0.921
6hIr2IDeBDXfRFk0rYe5Tz	Muse	Won’t Stand Down	GBAHT2102036	66	modern rock,permanent wave,rock	0.0043	0.514	2.52e-06	0.0862	104.85	0.424	0.882
