listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-04T10:32:48	Wonderland (From “American Song Contest”)	AleXa, American Song Contest	USAT22202243	0MhSXW23RIEgJKimiW8md1	4jCGRzuZkwo8CxboiANMEU,3pPClIZCqgahG8bguvacGh
2022-07-04T10:28:33	Više nisam tvoja	Claudia	HRB901401341	3Vh3dm6eQy1XIat6B7X3uy	5d2a3e3MpYXBmtqyZDsq8r
2022-07-02T21:47:44	Više nisam tvoja	Claudia	HRB901401341	3Vh3dm6eQy1XIat6B7X3uy	5d2a3e3MpYXBmtqyZDsq8r
2022-07-02T21:47:36	GALYNA GULIALA	Yuko	UAKK11800226	03eDTrY5Du2qTMdaK96tQ6	02fJjARzvtfuvBPVGC99jR
2022-07-02T21:44:11	Wonderland (From “American Song Contest”)	AleXa, American Song Contest	USAT22202243	27XgJt6sHfBnrXjwVT5UXH	4jCGRzuZkwo8CxboiANMEU,3pPClIZCqgahG8bguvacGh
2022-07-02T21:41:22	Loco Loco - Accoustic	Hurricane	BAA052113123	40GvodmfNYwbj5wwXBq7XT	1vhshb6p5AJSSgAj2LLnpA
2022-07-02T21:39:06	Wiatry	Maria Ermakova	AEA0Q1948654	09OQrxZY1FsffQgfw9ySqS	6C0D93IkaJZnUntGyzU0Rm
2022-07-02T21:35:57	Сокал	Надежда Мисякова	RUA1H1769810	0eloleAuMWo33Vr595h8W7	3RPuf91867ejppPWn9KFcz
2022-07-02T21:31:10	Fulenn	Alvan, Ahez	FR9W12204047	43UejonUIN69O8NNAFRu5X	25OslGicPT7wGn5Ovf4Uwx,08RIw4S0rUXGlhFPBmMeko
2022-07-02T21:27:07	Lights Off - ESC Version	We Are Domi	FR2X42252810	0tOKpglJb9cza4WdTtxsv7	68nZwIknhC5s9gLHPly09S
2022-07-02T21:19:30	SloMo - Eurovision's Dancebreak Edit	Chanel	ES94B2200106	00rUx6vPpy0XbJer8BcoRn	5DeX42pr2TilrnsUgjG8D1
2022-06-29T18:44:05	Left You Instead	Taylor Acorn	QZNJW2166068	4yw0T9seujC0m7GFlVa4Iv	1A0WloDoRE88uUwo3wensY
2022-06-28T13:19:40	Flames (feat. Avril Lavigne)	MOD SUN, Avril Lavigne	USA2P1951240	6z7mOTf4O20AApGsTNn7fC	3u2R8st1bb6zfBqNWceRXG,0p4nmQO2msCgU4IF37Wi3j
2022-06-28T13:16:13	If We Were	Belinda	USEL10600290	3g9WN7RqklJeRUZpixLTZu	5LeiVcEnsZcwc133TUhJNW
