listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-23T09:39:28	Bad Life - Acoustic	Sigrid, Bring Me The Horizon	GBUM72203254	5DwJKJ3Gg5UlzsTMpYXkwT	4TrraAsitQKl821DQY42cZ,1Ffb6ejR6Fe5IamqA5oRUF
2022-06-23T01:36:46	Technicolour Beat	Oh Wonder	GB9L31400017	3XrAY4qMWGW8KHjPusT6d0	5cIc3SBFuBLVxJz58W2tU9
2022-06-23T01:33:21	Landslide	Oh Wonder	GB9L31400024	3X3mfRMRaPJRiIMDMQtSkd	5cIc3SBFuBLVxJz58W2tU9
2022-06-22T21:00:48	Keep On Dancing	Oh Wonder	GBUM72001376	1LBWzdOH7QMrZ2ychzzvPB	5cIc3SBFuBLVxJz58W2tU9
2022-06-22T20:50:23	Happy	Oh Wonder	GBUM71905532	64oxZ8Ma5HAWV04LAI2KwT	5cIc3SBFuBLVxJz58W2tU9
2022-06-22T20:47:32	Landslide	Oh Wonder	GB9L31400024	3X3mfRMRaPJRiIMDMQtSkd	5cIc3SBFuBLVxJz58W2tU9
2022-06-22T20:43:19	Summer's Gone (NoMBe & Thutmose vs. Sonny Alven) - Remix	NoMBe, Sonny Alven, Thutmose	TCADZ1807088	1D3irR3juCW9kOHfW1LXws	5Lhxlge1CR1DrgDAje8Qaw,2zHHEU3t9cutZFyG0fHdOR,1igl9M102nuD96lo3ZoW5d
2022-06-22T20:40:36	Sunset Lover	Petit Biscuit	FRX451599796	0hNduWmlWmEmuwEFcYvRu1	6gK1Uct5FEdaUWRWpU4Cl2
2022-06-20T21:40:54	Amarsi Male	Lo Stato Sociale	ITT741600222	2Ros2t8vJWm9okVWJCvvZB	1MBjY2JFotAGoTYDfO80cM
2022-06-20T21:22:12	Freefall (feat. Oliver Tree)	Whethan, Oliver Tree	USAT22005959	5VsZwt7AyePLXFrlHhMvoI	0vqJkZ0RpLZixt3lTmD8vP,6TLwD7HPWuiOzvXEa3oCNe
2022-06-20T20:43:23	SHIMMY SHIMMY	Takagi & Ketra, Giusy Ferreri	ITB002100379	1stFp5p3h2svKierTqfEN6	76UCIJTB0jcJvBaL0CdIqx,0dwEXtB6gceh7EO7tCsxhD
2022-06-20T20:33:00	BUBBLE (feat. thasup & Salmo)	Takagi & Ketra, thasup, Salmo	ITB002200506	3fIB4IEcvjlzItwnFUvIBk	76UCIJTB0jcJvBaL0CdIqx,19i93sA0D7yS9dYoVNBqAA,3hBQ4zniNdQf1cqqo6hzuW
2022-06-19T15:11:19	PARATA BLACK	Rino Castel, Smashito	QZMEQ2178222	31KIwwNAwdihyMJhHqpmOS	45qmbv4J3K3oprEyzilzmX,0lGMxAgHuWIuDCy8edo0xe
