listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-24T10:53:03	Don't Go Breaking My Heart	Glee Cast	USQX91001145	1qA8Rd10mXM355SQYucfY7	0SCbttzoZTnLFebDYmAWCm
2022-05-24T10:49:23	Lisztomania	Phoenix	FR31Q0900001	7zkDEBSxkcBVsStS4qBFpK	1xU878Z1QtBldR7ru9owdU
2022-05-24T10:45:21	Water Witch	The Secret Sisters, Brandi Carlile	US27Q1947609	7MW0vSCN9g2T5eConVGEsO	5fIZHCg2de8322HZodBDWL,2sG4zTOLvjKG1PSoOyf5Ej
2022-05-24T10:38:01	Monster	Hands Like Houses	USHR21811202	2optm7JeCh2iEM502qFLUX	0u3d5PM2FuEuG5QuUdt8mT
2022-05-23T19:24:02	Ana	Supersubmarina	ES5020900201	03WR6VvEY3EIJklavG72LY	61C3cEhdoJ9YiQSQSwYB4K
2022-05-23T19:21:18	Cold Little Heart - Radio Edit	Michael Kiwanuka	GBUM71700693	7KX65PC1UZuImsUInThbav	0bzfPKdbXL5ezYW2z3UGQj
2022-05-23T19:17:53	Parque Acuático	El Kuelgue	ARA501800230	0xxFisCrlitQsf8TCOwI1v	6jRUKVZllu1wtgXHbqvUmT
2022-05-23T19:14:59	How Are You True	Cage The Elephant	USRC11502827	6vcdiwrCVXnTLASFdjEV8r	26T3LtbuGT1Fu9m0eRq5X3
2022-05-23T19:10:18	How to Save a Life	The Fray	USSM10601178	5fVZC9GiM4e8vu99W0Xf6J	0zOcE3mg9nS6l3yxt1Y0bK
2022-05-23T18:59:07	Mira cómo vuelo	Miss Caffeina	ES5151503876	0q26YkYooQjbNyNXzGcHGP	1uvhwixGrZkuT2gpQQWgYb
2022-05-23T12:45:58	Sweet but Psycho	Ava Max	USAT21802011	7DnAm9FOTWE3cUvso43HhI	4npEfmQ6YuiwW1GpUmaq3F
2022-05-20T20:50:52	Quédate conmigo - Eurovisión	Pastora Soler	ES5151200423	2BSe0bFhNhDUXqyQbcGyFJ	6nh96lsvDLuCVpgpfjeYnM
2022-05-20T20:49:15	Tu Nombre Me Sabe a Hierba (with Joan Manuel Serrat)	Maria Dolores Pradera, Joan Manuel Serrat	ES5021200971	7vFdrjzrRGWqTWb75lieIs	58LNn3iNPmmHusH1EkyBm4,1t7t8q4zoYHp22JLIx3FM7
2022-05-20T20:46:36	Flower Power	Bomba Estéreo	USSD11700375	321lmohAdDLovCHMWxwKWU	5n9bMYfz9qss2VOW89EVs2
2022-05-20T20:43:26	La Canción Que No Quiero Cantarte	Amaia, Aitana	ES5702200072	5PHEToa3yWlCiagig8MFE9	1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25
2022-05-20T20:40:36	MM	Miss Caffeina	ES5151202218	7bDVpQLQajosRNUXIi5Mw0	1uvhwixGrZkuT2gpQQWgYb
2022-05-20T20:36:09	Accidente	Las Ligas Menores	ARC571501051	55xFPGknQ0zQluwBmf2nVm	3MNvKeLzGSvOPtXJAjCOzf
2022-05-20T20:30:37	Be	Hozier	IEACJ1800129	2SopPHDZ2cKMbFumNtFQL9	2FXC3k01G6Gw61bmprjgqS
2022-05-20T20:26:00	Residente: Bzrp Music Sessions, Vol. 49	Bizarrap, Residente	QM4TX2204481	2dG9k8jtnkjzJjUToz9i9i	716NhGYqD1jl2wI1Qkgq36,5GcWBUX00IPuWVGMIRK1sS
2022-05-20T20:16:50	Easy On Me	Adele	USSM12105970	46IZ0fSY2mpAiktS3KOqds	4dpARuHxo51G3z768sgnrY
2022-05-20T20:13:05	Enemy - From the series Arcane League of Legends	Imagine Dragons, Arcane, League of Legends	USUM72120989	5UlnuulVAVmmesw4VzqHdG	53XhwfbYqKCa1cC15pYq2q,57nPqD7z62gDdq37US9XJR,47mIJdHORyRerp4os813jD
2022-05-20T16:51:54	Mind Over Matter	Young the Giant	USAT21304149	5Az8KU81g2aLBbJN67F2CI	4j56EQDQu5XnL7R3E9iFJT
2022-05-20T16:49:11	Burn It All Down	League of Legends, PVRIS	QZH6S1900404	0ked784BOZ1JtRVHux98jE	47mIJdHORyRerp4os813jD,6oFs3qk4VepIVFdoD4jmsy
2022-05-20T16:45:35	De Carne y Hueso	Maria Dolores Pradera	ES5107000002	6uINmixwUKqlp1YjOYgWg5	58LNn3iNPmmHusH1EkyBm4
2022-05-18T20:20:13	De Carne y Hueso	Maria Dolores Pradera	ES5107000002	6uINmixwUKqlp1YjOYgWg5	58LNn3iNPmmHusH1EkyBm4
2022-05-18T20:16:27	Yamaguchi	Amaia	ES5702102368	6CpHUAB0Pl15XWUyvY7qZU	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T20:13:34	Yamaguchi	Amaia	ES5702102368	6CpHUAB0Pl15XWUyvY7qZU	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T20:10:50	Santos Que Yo Te Pinte	Amaia	ES5702200077	4CKMhupEL2mkwZKoL9c3Wv	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T20:06:56	La Persona	Amaia	ES5702200074	6T1ZRliz4kzVs0sVPKYC8J	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T20:04:00	Quiero Pero No	Amaia, Rojuu	ES5702102085	47HpJpzy1Ldkba2TzQohFM	1WLEfsQjvgtFSGkrHonzFX,04mTej6RpWzBxGwhfThpIi
2022-05-18T20:00:29	Pesimista	Amaia	ES5702200076	33NzJyJmE5lGodOV3L4nQK	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T19:58:30	La Canción Que No Quiero Cantarte	Amaia, Aitana	ES5702200072	5PHEToa3yWlCiagig8MFE9	1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25
2022-05-18T19:55:33	La Vida Imposible	Amaia	ES5702200073	0JuQBaJ7pJnwve6EnmXqqR	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T19:51:52	Dilo Sin Hablar	Amaia	ES5702200075	16v7ZAjjwtyy8CRfO2vIhG	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T19:48:51	Bienvenidos Al Show	Amaia	ES5702200053	1zcoKXkjNP3DXeF9NAhgcm	1WLEfsQjvgtFSGkrHonzFX
2022-05-18T19:45:01	La Canción Que No Quiero Cantarte	Amaia, Aitana	ES5702200072	5PHEToa3yWlCiagig8MFE9	1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25
2022-05-18T15:34:02	La Canción Que No Quiero Cantarte	Amaia, Aitana	ES5702200072	5PHEToa3yWlCiagig8MFE9	1WLEfsQjvgtFSGkrHonzFX,7eLcDZDYHXZCebtQmVFL25
2022-05-18T15:31:21	Venimos	Miss Caffeina	ES5151202220	2XYPltuDmptWaEzqsasSXe	1uvhwixGrZkuT2gpQQWgYb
2022-05-18T13:51:08	Venimos	Miss Caffeina	ES5151202220	2XYPltuDmptWaEzqsasSXe	1uvhwixGrZkuT2gpQQWgYb
2022-05-18T13:48:54	Blood & Tears	JOSEPH	USATO2100187	0uZlRjzkOt55eV5KpvwdlO	5Wfvw7rDz7HA6gE2z6QhqO
2022-05-17T18:48:06	Hidden	Jus Kno'	FR59R2245973	1bXJnaHi9Ez6popPQStEZz	0oQC5iVRoiMy0FWJQAXTFX
2022-05-17T13:59:50	Blood & Tears	JOSEPH	USATO2100187	0uZlRjzkOt55eV5KpvwdlO	5Wfvw7rDz7HA6gE2z6QhqO
2022-05-17T13:48:09	This Is Me	Demi Lovato, Joe Jonas	USWD10833742	05eGOEY9A3Qi9W82JQYegC	6S2OmqARrzebs0tKUEyXyp,7gbmX8SsfjEjxDMzBi1ZOL
2022-05-16T22:03:31	Toda la noche en la calle	Amaral	ES5030200003	3UmPmOnwIlGM6MtlY7s4dz	4OkeTQCk0fvX6VBYpOOxDi
2022-05-16T22:02:11	Kisiera yo saber	Melendi	ES5080600741	00J0WjM3SM4RY6cWBLQo1O	1EXjXQpDx2pROygh8zvHs4
