listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-13T16:51:26	Grandlife	We In Music	QZS642102330	2wmeu73TjkhGH4gOPUDXbg	1gkuWTA5uvO7wQSMeVQEgI
2022-05-13T16:45:34	Santa Claus	Le Knight Club	QZS642116443	69h6RxXT2NubmPCD70tOw5	6O7IPskCXZEHNjwWjZlLVk
2022-05-13T16:40:20	Change the Plan	Frenssu	QZS632186857	7Mah0tOKhS7jqN3ozdwkSF	3FIusTFraUy5ZQig96XWBE
2022-05-13T16:36:30	Wrath of Zeus	The Eternals	QZS672141627	5oHjMJSUMZlDSVgkQyRASO	1moVRTZZROcN3j2Gua68fq
2022-05-13T16:29:12	Spinal Scratch	Thomas Bangalter	QZS662127192	10tvCMl9U8uOVqxtWD4WWZ	41vv2Tj1knysv6MuFUmdwi
2022-05-13T16:18:30	Kua Buaru	Calema, Soraia Ramos, Pérola, Manecas Costa	PT0GP2100077	4CleTVckv87HCeEpj05X52	6PIIKavZx20FlVKyIvb4Um,6Hdj9MS399KY29SP12gI0L,34Gw52pP6ExWNrH6U6fpeO,4SQUUGQBAKH0w73RjAnozc
2022-05-13T16:15:29	Te Amo	Calema	PT0GP2000049	5kr0kja5gbZAaT7w3TGKts	6PIIKavZx20FlVKyIvb4Um
2022-05-13T16:10:25	Enty Hayaty	Saad Lamjarred, Calema	PT0GP2100082	2STjevFqj4eOC5mv4Mskck	0NjXtqYWpnV055KhfZgtuY,6PIIKavZx20FlVKyIvb4Um
2022-05-13T16:06:08	Enty Hayaty	Saad Lamjarred, Calema	PT0GP2100082	2STjevFqj4eOC5mv4Mskck	0NjXtqYWpnV055KhfZgtuY,6PIIKavZx20FlVKyIvb4Um
2022-05-13T16:01:52	Enty Hayaty	Saad Lamjarred, Calema	PT0GP2100082	2STjevFqj4eOC5mv4Mskck	0NjXtqYWpnV055KhfZgtuY,6PIIKavZx20FlVKyIvb4Um
2022-05-13T15:57:36	Enty Hayaty	Saad Lamjarred, Calema	PT0GP2100082	2STjevFqj4eOC5mv4Mskck	0NjXtqYWpnV055KhfZgtuY,6PIIKavZx20FlVKyIvb4Um
2022-05-13T15:53:19	Enty Hayaty	Saad Lamjarred, Calema	PT0GP2100082	2STjevFqj4eOC5mv4Mskck	0NjXtqYWpnV055KhfZgtuY,6PIIKavZx20FlVKyIvb4Um
