listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-28T23:19:23	Lo contrario de ninguno	Despistaos	ES5151801535	5SMUwDYluszqYnaf7JkUl5	0QE9iXPzgSaBq34OqIZ4n2
2022-06-28T23:02:19	Haz de luz	Rayden	ES5151802440	0xVOXUryXFWedCo4i8xe0P	6G43BFwUJvFWbev3knhgEa
2022-06-28T22:57:45	Es Gratis	Arnau Griso	ES5021800606	2nkUKzO4H7h2LpAMnTXVPr	5gnF05YcUt010aB7EWk96U
2022-06-28T22:54:34	Para Que el Mundo lo Vea	Arnau Griso	ES5021800565	4dqR44eVmK4S9gbJPcxQWW	5gnF05YcUt010aB7EWk96U
2022-06-28T22:47:54	Imagina	Efecto Pasillo	ES24C1507210	1cBbK1elNofmCl7evIBQc6	6CSa1r92LtHHdLG6kRabU3
2022-06-28T19:37:01	Los Días de Mike	Malmö 040	QZFYZ1925754	4ePIjxnec2xcHr1oLv9vHy	6i0h6wBrfNkdf3eTUoelpP
2022-06-28T18:52:15	Hola, Buenos Días	El Canijo de Jerez	ES79A1408202	0eyeowZfj5Fr8xa09pa82X	1F1UN5rQ0UCxM8A8ZDE6k7
2022-06-28T18:49:01	Eco	IZAL	ES71G1309933	5hsul6oJHjJ7wbV9lky88A	2hazSY4Ef3aB9ATXW7F5w3
2022-06-28T18:39:42	Superhéroe En Paro	Arnau Griso	ES5022101480	05BvgHiFMmq1brv7DTas58	5gnF05YcUt010aB7EWk96U
2022-06-28T18:36:17	Un Día Más (de Septiembre)	Malmö 040	QZHN61943513	1O7zqvnakbNy5RLq3kg4w6	6i0h6wBrfNkdf3eTUoelpP
2022-06-28T18:31:25	Escriurem #joemcorono	Miki Núñez, Natalia Lacunza, Alba Reche, Sey Sisters, Sara Roy, Bely Basarte, Maren, Blaumut, Cesk Freixas, Adrià Salas, Doctor Prats, Lildami, Suu, Els Amics De Les Arts	ES5952006361	3UV0cJnT4bQhjQVPbn8pmb	2hahtdJusGYC77DKod4qfB,3Zs59sqZJ6fWQqWbRC8bOP,4mkCQKEe89EI0kn0Q7tMyK,3k73wDmjQTFu2ctXpNAlrv,71OOfmrGnQoJqrUIq133qs,6akDfyocmsREgR5eUXZt3I,1dQFUUeoS0srP2hNrmzj5L,3LvDuQ0lHuIaNzW3Sv3NVO,5cl9YjDDdgrN50CJzZO6er,1c7dIKNsUH2LZ998pvirXH,7ncQ3AmAxYqTv2vY46YclW,0gasUYSkVsXgX3p3bera9b,7He3EH9c66ZwBtIMHGdyIA,0op3EnoEZ0jQY13sbyoSo2
2022-06-28T17:39:30	Escriurem #joemcorono	Miki Núñez, Natalia Lacunza, Alba Reche, Sey Sisters, Sara Roy, Bely Basarte, Maren, Blaumut, Cesk Freixas, Adrià Salas, Doctor Prats, Lildami, Suu, Els Amics De Les Arts	ES5952006361	3UV0cJnT4bQhjQVPbn8pmb	2hahtdJusGYC77DKod4qfB,3Zs59sqZJ6fWQqWbRC8bOP,4mkCQKEe89EI0kn0Q7tMyK,3k73wDmjQTFu2ctXpNAlrv,71OOfmrGnQoJqrUIq133qs,6akDfyocmsREgR5eUXZt3I,1dQFUUeoS0srP2hNrmzj5L,3LvDuQ0lHuIaNzW3Sv3NVO,5cl9YjDDdgrN50CJzZO6er,1c7dIKNsUH2LZ998pvirXH,7ncQ3AmAxYqTv2vY46YclW,0gasUYSkVsXgX3p3bera9b,7He3EH9c66ZwBtIMHGdyIA,0op3EnoEZ0jQY13sbyoSo2
2022-06-28T17:23:04	Errefuxiatuena	IZARO, Mikel Urdangarin	ES09S1700319	0iwocDi8LVxxuk9jdH6LF0	2brDaxeIxhXevIcKDrGMAb,6GkJ5olzR0ogxdFf4CdHCL
2022-06-28T17:14:09	Kantu Bat	BULEGO	QMFME2000685	1PkvTUzsAnOHPTPZl8gvt1	536zVauyusZp2cjwh4QB5B
2022-06-28T17:08:37	Ingobernable	C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo	ES5022100004	3SK45LddxlEkzI8OWO9Eyo	5TYxZTjIPqKM8K8NuP9woO,3jc496ljiyrS3ECrD7QiqL,6bXIjeV8nUh5pFxgzgny9P,3pUWmkSef9vJOPDViYGZ5L
2022-06-28T17:03:41	La Revolución Sexual	La Casa Azul	ES6640700035	5zHvsFZoCzLmhbRbYDkg42	2Ynst7DZrEJnlaMM41ZCxd
2022-06-28T16:26:31	La Ciudad Huele a Sudor	Ginebras	ES65D2100007	6H6eE0JKwDEWfIV7alagSq	5w3bs8jNvbb0QHf5Lo0sva
2022-06-28T16:21:58	¿Dónde Está Mi Tabaco, Tabaquera?	WISEMEN PROJECT	ES65D1900010	5upfScmkPWKtvgTTWkvbU5	2q0UmiQE9I6rYDJSar0c2W
