listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-18T10:36:14	I'm Gonna Be (500 Miles)	The Proclaimers	GBAYK8800055	67iAlVNDDdddxqSD2EZhFs	1A92IAcd7A6npCA33oGM5i
2022-07-18T10:32:35	Take on Me	a-ha	USWB19901214	2WfaOiMkCvy7F5fcp2zZ8L	2jzc5TC5TVFLXQlBNiIUzE
2022-07-17T14:18:21	Duel of the Fates	John Williams, London Symphony Orchestra	USWD11785380	4jZvk1NlvNKh6CinRexqzU	3dRfiJ2650SZu6GbydcHNb,5yxyJsFanEAuwSM5kOuZKc
2022-07-17T12:12:48	Lay All Your Love On Me	ABBA	SEAYD8001090	4euAGZTszWPrriggYK0HG9	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:52:46	The Winner Takes It All	ABBA	SEAYD8001020	3oEkrIfXfSh9zGnE7eBzSV	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:44:39	It's Raining Men	The Weather Girls	USSM19913325	5g6nzsOxwxdoj6sqAl0NXB	19xz1vcuKNjniGEftTOSSH
2022-07-17T11:41:07	Dancing Queen	ABBA	SEAYD7601020	0GjEhVFGZW8afUYGChu3Rr	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:37:17	Angeleyes	ABBA	SEAYD7901040	7rWgGyRK7RAqAAXy4bLft9	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:32:54	Gimme! Gimme! Gimme! (A Man After Midnight)	ABBA	SEAYD7901120	3vkQ5DAB1qQMYO4Mr9zJN6	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:28:02	Lay All Your Love On Me	ABBA	SEAYD8001090	4euAGZTszWPrriggYK0HG9	0LcJLqbBmaGUft1e9Mm8HV
2022-07-17T11:22:32	Italia Italia	Pinguini Tattici Nucleari	QMPKX1455507	7KBO8jDr2T9jCG1xbM3FVJ	6RdcIWVKYYzNzjQRd3oyHS
2022-07-17T11:17:18	Sashimi	Pinguini Tattici Nucleari	ITB001900097	7sbjnwEBqqEoo1Qq7DN0Fm	6RdcIWVKYYzNzjQRd3oyHS
2022-07-17T11:12:14	Everybody’s Gotta Live	Love	QMEF91350061	1Og2Qi5XwYdr0YI6rn79Zb	3Q6OOkfssqoMSTtl11J5Uk
2022-07-17T11:07:28	"Take My Breath Away - Love Theme from ""Top Gun"""	Berlin	USSM19801613	15MJ5NThPjj6xhPcts8MiY	2aS6jYh7ysTL1ZUsHneNgM
2022-07-17T11:02:39	"Danger Zone - From ""Top Gun"" Original Soundtrack"	Kenny Loggins	USSM18600108	34x6hEJgGAOQvmlMql5Ige	3Y3xIwWyq5wnNHPp5gPjOW
2022-07-17T10:58:22	Every Breath You Take	The Police	GBAAM0201110	1JSTJqkT5qHq8MDJnJbRE1	5NGO30tJxFlKixkPSgXcFE
2022-07-16T17:53:40	La colpa al vento	Willie Peyote, Godblesscomputers	IT97U2200003	6bAY89YslMZ7TdRmFouliI	00CsjN69YCczmdW0bDKaCC,3RReFwkOnOSrIkk826uxJT
2022-07-16T16:11:59	The Carolean's Prayer	Sabaton	SE2EG1200117	0ithpOOYIrUDMJCM2K1OQ5	3o2dn2O0FCVsWDFSh8qxgG
2022-07-16T16:08:39	UFO	Willie Peyote	IT97U2200001	472E418PvKSTslM3qnkSMN	00CsjN69YCczmdW0bDKaCC
2022-07-16T16:04:49	Il furto della passione	Willie Peyote	IT97U2200006	3nwg8XKFN2eH2fGVksIzV1	00CsjN69YCczmdW0bDKaCC
2022-07-16T16:01:43	La droga no	Valerio Lundini	QZK6Q2177652	3JqcI89WN7vsYWwkPu9D66	17n0YE5JM5glbRtvOSs4gc
2022-07-16T15:59:27	I Figli Degli Altri	Valerio Lundini, Vazzanikki	ZZOPM2234411	7JeK5krYpqxDUwbohDMyie	17n0YE5JM5glbRtvOSs4gc,1FwzbMiwfW5Z20W6VAbBtM
2022-07-16T15:56:35	Le Donne	Valerio Lundini, Vazzanikki	ZZOPM2234410	0sUsv7TZUO6DkXsExPOG7F	17n0YE5JM5glbRtvOSs4gc,1FwzbMiwfW5Z20W6VAbBtM
2022-07-16T15:52:51	Вогнi	Go_A	QM4TW2113812	2GsSFi0Npj4tB6tmv16YVR	4kvCU3MzggM2piZCqvxj0x
2022-07-15T12:19:39	Вогнi	Go_A	QM4TW2113812	2GsSFi0Npj4tB6tmv16YVR	4kvCU3MzggM2piZCqvxj0x
2022-07-15T12:06:03	Добрим людям на здоров’я	Go_A	QMFMF2017509	5qNvznlpBLvoRtbwkOCdJw	4kvCU3MzggM2piZCqvxj0x
2022-07-15T12:02:37	Жальменiна	Go_A	QM4TW2113816	4WDasHtnmPeZr17S2OvFKH	4kvCU3MzggM2piZCqvxj0x
2022-07-15T11:56:18	Solovey	Go_A	UARO31900056	2GfDHCfAaKLBLrLESzgnwE	4kvCU3MzggM2piZCqvxj0x
2022-07-15T11:52:11	UFO	Willie Peyote	IT97U2200001	472E418PvKSTslM3qnkSMN	00CsjN69YCczmdW0bDKaCC
2022-07-15T11:40:40	Hikikomori	Willie Peyote	IT97U2200011	5Z7zi9u1T4HMq1GW885qwt	00CsjN69YCczmdW0bDKaCC
2022-07-13T00:37:43	Hikikomori	Willie Peyote	IT97U2200011	5Z7zi9u1T4HMq1GW885qwt	00CsjN69YCczmdW0bDKaCC
