listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-28T02:55:35	Backseat	Monet192	DEA622001128	5riH3YoQMbKK7VDHNRFKnb	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-28T02:53:01	Champions Club	Monet192	DEA622200331	29vkOKlY33ypMT2xQBxeCD	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-28T02:50:21	Backseat	Monet192	DEA622001128	5riH3YoQMbKK7VDHNRFKnb	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T20:42:32	Backseat	Monet192	DEA622001128	5riH3YoQMbKK7VDHNRFKnb	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T20:41:36	Champions Club	Monet192	DEA622200331	29vkOKlY33ypMT2xQBxeCD	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T20:37:00	Bloodstain Shirt	MusicMafia	QZ8WX2078706	6qkrKJXFAxf5HOwNHQSLCd	0Jt8eMCHRsEn051MBa9eHj
2022-05-27T20:32:29	Mal mehr mal weniger	badmómzjay	DECE72102422	5THfq5hdGwK1si243G2h60	7oWrEQO1d3klp0Qrfh7a5h
2022-05-27T20:30:03	Love Shots	Faroon	DECE72104398	0p4KfVW7sdHK0nvoucgOkG	697ZbUKLJSEWWhtayAGxBY
2022-05-27T17:44:31	Champions Club	Monet192	DEA622200331	29vkOKlY33ypMT2xQBxeCD	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T17:40:55	Bloodstain Shirt	MusicMafia	QZ8WX2078706	6qkrKJXFAxf5HOwNHQSLCd	0Jt8eMCHRsEn051MBa9eHj
2022-05-27T17:35:08	Demeanor (feat. Dua Lipa)	Pop Smoke, Dua Lipa	USUM72112397	3DMs7bahbQTnoxCjgP7qoK	0eDvMgVFoNV3TpwtrVCoTj,6M2wZ9GZgrQXHCFfjv46we
2022-05-27T17:29:44	Call Me	Monet192	DEA622001418	1ftuNILKvTM0UZYJ8Liy4X	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T17:24:10	Call Me	Monet192	DEA622001418	1ftuNILKvTM0UZYJ8Liy4X	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T17:20:45	Dancing in Mandela	DancingRoom	QZFZ32130914	77GtHEpvUAlvlISyR55IGx	4Qt4osuhqHKfSfpB31r4qN
2022-05-27T17:12:44	Bloodstain Shirt	MusicMafia	QZ8WX2078706	6qkrKJXFAxf5HOwNHQSLCd	0Jt8eMCHRsEn051MBa9eHj
2022-05-27T17:09:56	Champions Club	Monet192	DEA622200331	29vkOKlY33ypMT2xQBxeCD	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T17:03:54	Champions Club	Monet192	DEA622200331	29vkOKlY33ypMT2xQBxeCD	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T16:59:42	Call Me	Monet192	DEA622001418	1ftuNILKvTM0UZYJ8Liy4X	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T16:57:43	Dancing in Mandela	DancingRoom	QZFZ32130914	77GtHEpvUAlvlISyR55IGx	4Qt4osuhqHKfSfpB31r4qN
2022-05-27T16:54:54	Bloodstain Shirt	MusicMafia	QZ8WX2078706	6qkrKJXFAxf5HOwNHQSLCd	0Jt8eMCHRsEn051MBa9eHj
2022-05-27T03:21:30	Passionfruit	Drake	USCM51700072	5mCPDVBb16L4XQwDdbRUpz	3TVXtAsR1Inumwj472S9r4
2022-05-27T01:16:24	Demeanor (feat. Dua Lipa)	Pop Smoke, Dua Lipa	USUM72112397	3DMs7bahbQTnoxCjgP7qoK	0eDvMgVFoNV3TpwtrVCoTj,6M2wZ9GZgrQXHCFfjv46we
2022-05-27T01:13:19	Call Me	Monet192	DEA622001418	1ftuNILKvTM0UZYJ8Liy4X	60uPSVM3svOL8kZ3Wkb3Zw
2022-05-27T01:09:19	Bloodstain Shirt	MusicMafia	QZ8WX2078706	6qkrKJXFAxf5HOwNHQSLCd	0Jt8eMCHRsEn051MBa9eHj
2022-05-27T01:07:38	Aphrodite	RINI	TCADX1885268	3A7Etq2wGE9cYqLIma97Tt	2joIhhX3Feq47H4QXVDOr3
2022-05-27T01:03:07	Let Me Love You	Mario	USJAY0400348	3ibKnFDaa3GhpPGlOUj7ff	20s0P9QLxGqKuCsGwFsp7w
2022-05-27T00:58:50	Talk About Us	Kofi Stone, Ady Suleiman	GBKPL1951528	7GcCIkXh9Y4qDSXnMLJgHW	0htlZDCG9I8LSENteF1TyQ,5LuLeXlnT2jFxbx7Cg7j88
2022-05-27T00:55:34	Love All (with JAY-Z)	Drake, JAY-Z	USUG12104401	4VCbgIdr8ptegWeJpqLVHH	3TVXtAsR1Inumwj472S9r4,3nFkdlSjzX9mRTtwJOzDYB
2022-05-27T00:51:45	Love Yourz	J. Cole	USQX91402601	2e3Ea0o24lReQFR4FA7yXH	6l3HvQ5sa6mXTsMTB19rO5
2022-05-27T00:48:13	adhd	slowthai	GBAKX2000021	0LggcOLwIBQ50Ju9JWjhA9	3r1XkJ7vCs8kHBSzGvPLdP
2022-05-27T00:45:42	House of Memories	Panic! At The Disco	USAT21503701	2DgdHcjWmO3qd50RzuBLgZ	20JZFwl6HVl6yg8a4H3ZqK
2022-05-27T00:42:13	Struggle Is Where We From	badmómzjay	DECE72102431	2w4EW1x0HEEdG1w1pfVB3G	7oWrEQO1d3klp0Qrfh7a5h
2022-05-27T00:39:09	Signal	badmómzjay	DECE72000586	1gAMReN2uuB8RZl9qE3EbB	7oWrEQO1d3klp0Qrfh7a5h
2022-05-27T00:36:58	Tu nicht so	badmómzjay	DECE72102420	4UsCwlqEQXA1QRPU1uWO7o	7oWrEQO1d3klp0Qrfh7a5h
2022-05-27T00:34:23	Mond	Montez, badmómzjay	DEUM72117878	12xEzowmTyWRe413PAZ8o3	5ZY4M2aGiTaZQEP6HfqeJc,7oWrEQO1d3klp0Qrfh7a5h
2022-05-27T00:31:57	Mal mehr mal weniger	badmómzjay	DECE72102422	5THfq5hdGwK1si243G2h60	7oWrEQO1d3klp0Qrfh7a5h
