listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T11:07:22	All you can hit	Willie Peyote	IT97U2200004	7MHONzAMl2Pw56va4lWHSW	00CsjN69YCczmdW0bDKaCC
2022-05-25T11:03:13	L'una di notte	Willie Peyote	ITK191400045	3Hhnf313MAk45u9Z2dA1Fh	00CsjN69YCczmdW0bDKaCC
2022-05-25T01:15:20	Il furto della passione	Willie Peyote	IT97U2200006	3nwg8XKFN2eH2fGVksIzV1	00CsjN69YCczmdW0bDKaCC
2022-05-24T20:53:08	Aglio e olio	Fulminacci, Willie Peyote	ITIWE2290009	19yag4qL1J2lwjSSgwSXVG	1QeqGmpgU5Yg74GNcjIIq3,00CsjN69YCczmdW0bDKaCC
2022-05-24T20:36:12	C'era una Vodka	Willie Peyote	ITK191500087	0r9IwgbiJL93RfZ2k3wcGb	00CsjN69YCczmdW0bDKaCC
2022-05-24T20:17:46	Le Chiavi In Borsa	Willie Peyote	IT2WZ1700005	44TOxFU2J2QsIHwov9eU5c	00CsjN69YCczmdW0bDKaCC
2022-05-24T19:41:00	Lucifero (prod. Yazee)	Nitro	ITB001800548	7gY3qneACKqhzMD5jBo6Zq	6jQZzWW3JlEtcRDSzFVKSP
2022-05-24T19:10:40	Eden (feat. Dardust)	Rancore, Dardust	ITUM72000104	0uq5cbQmpGciCLEveRDEdX	5DkmrXKeWgDS86KKEw45o6,6JhUHne9H09NdkTI5E9GSt
2022-05-24T18:56:04	Isola Verde	Murubutu	ITI021400102	3MB8HPf0je1tcwJeZe3oQb	1UAY1hWd5x69hPVXMXIeri
2022-05-24T18:51:29	Il bombarolo	Willie Peyote	ITB001900071	4xteqiQXOUHZqXGSZqAVZ1	00CsjN69YCczmdW0bDKaCC
2022-05-24T18:47:50	Lucifero remix	Claver Gold, Murubutu, En?gma	IT2G32000067	4ZMSYBsif3G74vlSQz25BI	65U1A6j2pIHfZXLoitJFXz,1UAY1hWd5x69hPVXMXIeri,5pbBGJlVCUzwmdfd1Q1tEX
2022-05-24T18:43:42	Catalogo	Willie Peyote	IT97U1900004	1AaNALChP6di36Dl6GyDWr	00CsjN69YCczmdW0bDKaCC
2022-05-24T18:40:57	Azzera Pace	Caparezza	ITUM72100160	59n08sgxHa27IwKw3727xX	4l0PmbNvFq3m5JaUuAPbcB
2022-05-24T18:36:50	Io non sono io	Rancore	ITUM72200324	6mYmVi8GjP4kdbIEwn8JRG	5DkmrXKeWgDS86KKEw45o6
2022-05-24T18:32:09	Fantasia	Rancore	ITUM72200318	0WJ7twkSw0SzuvsyTBXkI5	5DkmrXKeWgDS86KKEw45o6
2022-05-24T18:28:20	Sindrome di Stendhal	DJ Fastcut, Murubutu, Mattak	IT2G32100024	6SaI3nXXwwn7ErkiWNiA3I	5wlZkgwhLD0Zbsj1sH99Dw,1UAY1hWd5x69hPVXMXIeri,3hCo0MeLrjAvQxAzPknjhK
2022-05-24T16:49:55	Sindrome di Stendhal	DJ Fastcut, Murubutu, Mattak	IT2G32100024	6SaI3nXXwwn7ErkiWNiA3I	5wlZkgwhLD0Zbsj1sH99Dw,1UAY1hWd5x69hPVXMXIeri,3hCo0MeLrjAvQxAzPknjhK
2022-05-24T16:29:44	Eredi maledetti	DJ Fastcut, TMHH, Wiser	ITRSE1600691	2hJWQmg87ZG87uKibR7Bj8	5wlZkgwhLD0Zbsj1sH99Dw,3V89pFmdgjqCarL1DT5DYI,7AcGfdQEvcwU4QtDXDQvX5
2022-05-24T16:26:34	Non sarà mai tardi	Swelto	CH6541618156	2gSG6dfwmuUVJQ9tthYJY5	0cuK1vIIaeg0TtCpUovWrY
