listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-17T21:26:27	Rhythm Of The Night	Maurice West, SaberZ	NLF711801452	0HnV5R4fBuNCoh6XDetQmj	1qF8DC6uIBjskqP0hyw1Gk,7wVdHjM4odGF5lGsqVSHJT
2022-07-17T21:23:25	Hey Brother	Avicii	CH3131340084	4lhqb6JvbHId48OUJGwymk	1vCWHaC5f2uS3yhpwWbIA6
2022-07-17T21:18:51	Clarity	Zedd, Foxes	USUM71210662	60wwxj6Dd9NJlirf84wr2c	2qxJFvFYMEDqd7ui6kSAcq,7qRll6DYV06u2VuRPAVqug
2022-07-17T21:14:18	Remember	Becky Hill, David Guetta	GBUM72102420	4laAKIq9ZxBCwf99rauPYb	4EPJlUEBy49EX1wuFOvtjK,1Cs0zKBU1kc0i8ypK3B9ai
2022-07-17T21:11:37	Raise Your Hands - Radio Edit	Ummet Ozcan	NLZ541400292	1j9IdProZpoS0mVqlyfOp1	7e1BNCygl2Gf7CX8LrByPv
2022-07-17T21:08:25	This Is What It Feels Like	Armin van Buuren, Trevor Guthrie	NLF711303312	5GjnIpUlLGEIYk052ISOw9	0SfsnGyD8FpIN4U4WCkBZ5,6NXk2pLFocS2OkNdT7ncBt
2022-07-17T21:05:01	Levels - Radio Edit	Avicii	SEUM71100962	5UqCQaDshqbIk3pkhy4Pjg	1vCWHaC5f2uS3yhpwWbIA6
2022-07-17T21:01:40	Won't Stop Rocking	R3HAB, Headhunterz	NLZ541500860	20Q0qLW27rm9Pq2pO1bwzK	6cEuCEZu7PAE9ZSzLLc2oQ,6C0KWmCdqrLU2LzzWBPbOy
2022-07-17T20:55:52	Al Pacino	Timmy Trumpet, Krunk!	NLZ541700450	5ykdEvOIec7UjP2N4Vcuyv	0CbeG1224FS58EUx4tPevZ,5mUIGLs77O6M6cYFU5IMYa
2022-07-17T20:52:10	Hear Me Tonight	Alok, THRDL!FE	DEE862000524	0v8OKUrqZGoEbgEUXScRSQ	0NGAZxHanS9e0iNHpR8f2W,04O00MEN0lHEKWTwRjb1nS
2022-07-17T14:08:26	Olha a Explosão	MC Kevinho	BXG6R1700002	52SZqPgS9L8uUNZeGSsU7o	1mXAhKnZEdF6rotyyd4GBi
2022-07-17T14:07:56	Agora é Tudo Meu	DENNIS, MC Kevinho	BRT3O1800110	5yH8pYxNckOU1cxfPsMIaz	6xlRSRMLgZbsSNd0BMobwy,1mXAhKnZEdF6rotyyd4GBi
2022-07-17T14:04:42	O Grave Bater	MC Kevinho	BRKO11700001	6cEJheMNRySY0kBB31jtdk	1mXAhKnZEdF6rotyyd4GBi
2022-07-17T14:01:11	Olha A Explosão	MC Kevinho	BXG6R1700002	6Q4foUefrAyCt8VxJFML56	1mXAhKnZEdF6rotyyd4GBi
2022-07-17T13:58:13	Brutal 6.0	Radical Redemption	NLFL71700080	6gg82aO6zwHZulUbGoEUrx	3Ij56hbjOTHq8RgutQwfxC
2022-07-17T13:54:43	Live Fast Die Young	Sub Zero Project, Rebelion	BEB682200223	5WZybtOPWN7wWgB8rD2stg	4f0OXMMSxr0r8Ztx6CdpAl,5JcSyYpBdqCmjJyVlKh7Yg
2022-07-17T13:50:19	Casamento	Dj Guuga	BXG6R2000106	6ADti3GRke23m1CWZH3aPZ	1cNPXWhKfjI0fT5EMCnamR
2022-07-17T13:46:46	Harder State Of Mind	D-Block & S-te-Fan, DJ Isaac	NLS762000199	3QeEf7TMugwZkmn0hPmXio	6L7a6wPGpvLtTwOsMLnF1z,2FmgW6Jee0JQKtb6EnBWCq
2022-07-16T20:46:39	Harder State Of Mind	D-Block & S-te-Fan, DJ Isaac	NLS762000199	3QeEf7TMugwZkmn0hPmXio	6L7a6wPGpvLtTwOsMLnF1z,2FmgW6Jee0JQKtb6EnBWCq
2022-07-16T20:43:46	Mind Of A Warrior	Sub Zero Project, Coone, ATILAX	BEB682200219	1zL4mmCjjxsAQto3L5C3bh	4f0OXMMSxr0r8Ztx6CdpAl,1Wt63OMKtv6v2ivHuQLm2C,1DLc4wnbKa3RWJsqwPehbk
2022-07-16T20:39:25	By The Sword	Da Tweekaz, Hard Driver, Coone	BEB682100543	0k8JlkHqTUUfOf48peC3Dp	6UOk7DmvqlzWmo6gjhZvn6,1rpLzYzfrueWdkpcIunZQl,1Wt63OMKtv6v2ivHuQLm2C
2022-07-16T18:36:31	Vamo Allá	Los Legendarios, Wisin	QM4TW2136313	76jrgwUGL0y9VK2Ugk3qxN	0n6sKrG0xKAf8xmdqeNGke,3E6xrwgnVfYCrCs0ePERDz
2022-07-16T17:39:02	En Mi Habitación	Wisin, Lunay, Rauw Alejandro, Los Legendarios	QM4TW2136318	7AKFB1pntnYpXYII0mlh0m	3E6xrwgnVfYCrCs0ePERDz,47MpMsUfWtgyIIBEFOr4FE,1mcTU81TzQhprhouKaTkpq,0n6sKrG0xKAf8xmdqeNGke
2022-07-16T17:35:07	Sexo Virtual	Rauw Alejandro	USSD12100294	1lV3QHHMAQt0Kc1ioZq2MP	1mcTU81TzQhprhouKaTkpq
2022-07-16T17:31:38	Aguantando	Morad	ES71G1941130	5xoVoBT08vAKsNDy5uusBK	4az97MtWmBQ5Db3GfDh9j9
2022-07-16T17:28:55	Hawái	Maluma	USSD12000190	4uoR6qeWeuL4Qeu2qJzkuG	1r4hJ1h58CWwUQe3MxPuau
2022-07-16T17:25:34	EL MAKINON	KAROL G, Mariah Angeliq	USUM72023904	2FSGUA0gFgGeQdprjtGM2M	790FomKkXshlbRYZFtlgla,0KKUc4amZyvswV2YL6WTar
2022-07-16T17:22:05	Perriando	Jowell & Randy	QM6P42086443	3qwB1GLNMogyktLqN5ANBE	4IMAo2UQchVFyPH24PAjUs
2022-07-16T16:51:26	Mala Influencia	Noriel, Manuel Turizo	USSD12100259	28sOLLPgDAdBzDuhkuuLhz	3RtNN1VnooWEn3KQk03DUL,0tmwSHipWxN12fsoLcFU3B
