listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-05T23:40:58	Genebra	Dillaz	PT5HT2200008	0BP5fxrr7EwU3I9TNJwjBA	15p1isN7VcGsjeSq8s9YeP
2022-04-05T23:32:59	Mango	Dillaz	PT5HT2200004	1giteNoUMOXbI8InMf0azH	15p1isN7VcGsjeSq8s9YeP
2022-04-05T23:26:20	Sing For The Moment	Eminem	USIR10211061	3CpoeW0cZSDzIRv5z34F87	7dGJo4pcD2V6oG8kP0tJRR
2022-04-05T23:05:42	Boulevard of Broken Dreams	Green Day	USRE10401426	1hwJKpe0BPUsq6UUrwBWTw	7oPftvlwr6VrsViSDV7fJY
2022-04-05T22:48:30	Light That Fire	Oh The Larceny	US43C1603408	1rEx6fOttcDltqIWlCCcDT	3p5nfUyEYsxx8izMCym07n
2022-04-05T22:46:10	Look At Me Now	Watt White	QZTRX2125228	4Fp7EZW9jZdccVJIJKaqYc	6Os3fHAI2Fma2UzTD91RU8
2022-04-05T22:36:08	P de Pablito	X-Tense	QZHNA1944718	5iZdN7FwGMBBaYsPP5DO8l	7JajP35zM35gnAvTZbwxDF
2022-04-05T22:33:05	01 Coisa Leve	Papillon	PT2HA2100012	7bi9YUMxacoZjZoUs4CJKe	0Mum6waR8P9WICLVTpSi1d
2022-04-05T22:29:31	Mo Dred	Deezy, Monsta	ES71G1851449	4iDiDFwsKMed6XLNNAz8n3	6EoXtJUmzYqNzkMVH1o5gN,3z6RHj36fr9RDjBohXaquf
2022-04-05T22:25:04	Kobe	Yung Juse	PTUM72100567	7wur4bDOw974PBmoQzzqwA	7HelyGdEBoc25C7inwIXVJ
2022-04-05T22:21:51	Aviola II	Bispo	PTBM12000009	27kry3jeuix5XVSKfp5B5D	3LZCMaZWwvhYyQeEfWgVdY
2022-04-05T22:16:40	Superman	Eminem, Dina Rae	USIR10211062	4woTEX1wYOTGDqNXuavlRC	7dGJo4pcD2V6oG8kP0tJRR,5jNmxPYz8QE5rYp4GDil8t
2022-04-05T22:10:31	Chuva	Rogg	PT3CB2000072	20ZnOyKTdoQIEhdkw3r8QI	6k0wDCUqnYIW0YpLpQwAYT
2022-04-05T21:57:04	Melhorar Com o Tempo	Dillaz	TCACO1675894	7ntbEFveVCd5wtxfgTMJFb	15p1isN7VcGsjeSq8s9YeP
2022-04-05T21:54:04	Murder Melody	Cult To Follow	TCADK1722876	4D5IIRfvdLYyxhAwfUDP8B	5txAC0hwbFB09Nv8Y1hPJl
2022-04-05T21:53:39	Murder Melody	Cult To Follow	TCADK1722876	4D5IIRfvdLYyxhAwfUDP8B	5txAC0hwbFB09Nv8Y1hPJl
2022-04-05T21:50:06	Lua	Ivandro	PT9GN2200001	7BELSQR2lAJLELaKvVkct3	1pPbDeOdNUcLq32HTTLbZm
2022-04-05T21:46:53	DANÇARINA	PEDRO SAMPAIO, Mc Pedrinho	BRWMB2200077	5zNxUkUW9WiV5oyg6gh2wB	5wbf52LA6kcaboHSN6NEF1,1etNnR2SdlelBQAICa2Q5m
2022-04-05T21:45:02	Maçã	Dillaz	PT5HT2200001	0UW3wnVAl9vzLiTHIwN075	15p1isN7VcGsjeSq8s9YeP
2022-04-05T21:39:51	Paz	Kappa Jotta	PT6GV2000005	7KXhiFeOe8APPXWv0sQkmW	2MREhFiavCOZXs0thPLuWu
2022-04-05T21:36:14	Woodstock 99	Merkules	QZEQU2134898	1SVFxqQIQ1B2XxAagj5coj	4oYZcPoj3q3DneXomtQBzg
2022-04-05T21:33:19	I Ain't No Nice Guy	Motörhead	USSM10025975	08hY5nWZ0NWfdAMBwRPIxr	1DFr97A9HnbV3SKTJFu62M
2022-04-05T21:28:55	Esquinas	Dino d'Santiago, Slow J	PTBM12100162	27pyt2AP8sdMb3hlO9uY6p	7qb2GMJaX4HeXqqPPyYdlr,7crp1tZcefnjT5RuL6WZQ0
2022-04-05T21:25:50	Oitavo Céu	Dillaz	PT5HT2200003	2wQFeNOIMqsMeITsFYAUkg	15p1isN7VcGsjeSq8s9YeP
2022-04-05T21:21:40	Centuries	Fall Out Boy	USUM71412644	04aAxqtGp5pv12UXAg4pkq	4UXqAaa6dQYAk18Lv7PEgX
2022-04-05T21:18:00	N' América	Xutos & Pontapés	PTUM10300187	3rAXH3aWG4JScy5ordvzAO	1lQnDEcvFAWaUjbyZiHKih
2022-04-05T21:13:18	Depois da Tempestade	Chyna	PTBM12100096	0XgY9II5fjrZFmf4GejWJL	3xytrTXgH7SQTEjMZewnWF
2022-04-05T21:09:39	Faroleiro	Dillaz	PT5HT2200009	2Q6JW9rTIuD33XsoSQWCwQ	15p1isN7VcGsjeSq8s9YeP
2022-04-05T21:06:38	E Aí Bateu - Ao Vivo	Atitude 67, Gabriel O Pensador, Analaga	BRUM72000422	5FMYe7cauJoIXp3BX3desN	1vp5pm1DluN0sNXx4tMZzo,5BWqFYIPTnFx3OPWOoJvmD,4LTPxLxjiT5pzYd5WZAR3v
2022-04-05T21:03:02	Finish Line	Skillet	USAT21902855	2GJ1xx5ZoeIJYbQKLSpoZ3	49bzE5vRBRIota4qeHtQM8
2022-04-05T20:59:34	Another One Bites The Dust	Queen	GBUM71029605	2k1yPYf9WGA4LiqcLVwtzn	1dfeR4HaWDbWqFHLkxsg1d
2022-04-05T18:42:30	Another One Bites The Dust	Queen	GBUM71029605	2k1yPYf9WGA4LiqcLVwtzn	1dfeR4HaWDbWqFHLkxsg1d
