listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-20T00:02:00	Misty	Steve Blumenthal	SE5IB2216977	78K54LEyjSttk9UTE8PR9r	59z8p2IU8agbAddmgLVAXE
2022-06-19T23:57:47	Momentum	Bill Parker	SE5W32201187	3BqL7IYqbFJH4dOVeMB0cA	58mMPpww20oJW8J0UZ3frj
2022-06-19T23:54:15	Our Best Year Yet	Andi Weiss Trio	QZAKB2154189	628mswwaHdp8bFEKsOCwCa	7pMhB3Lo7q9XPC4pbNdRlp
2022-06-19T23:49:35	Closing Doors	Jazmina Tozer Three	SE5IB2264705	5Bjhtzgcewszhdw5COwnIm	469VzQ6JsfGQlFis6YQP0H
2022-06-19T23:46:35	Dreamsville	Pearl Street Trio	SE5W32100669	4AnJZTcx01nxo47QyYbskV	6vOQ06tNCXPAdGfaNV3L0k
2022-06-19T23:42:14	I'm in the Mood for Love	Steve Luke & Holloway	SE5IB2217217	5mmeNg2rN1v5VPvgO43uRT	4rK2sefIZVrvpsz6MoXKvY
2022-06-19T23:37:59	Spring Came Early	CMC 3	SE5W32201289	3vlVtBIC5VDiY98GWAgT67	6GtEW3IyxraJqKi2h86JqC
2022-06-19T23:34:19	For Heavens Sake	Kevin Waters Group	SE5W32202005	3L94Y3LMCAW65sKrZs1bz7	57U22BNH5ClRbVtpNjVAoG
2022-06-19T23:29:28	Song of The Sirens	Lee Davis	SE5W32201860	6SNXb4pUG3LjS2601AKT3G	4GTZfDMmFwiIThMu6b39qp
2022-06-19T23:25:53	Prelude to a Kiss	Carl Winther Trio	FRX452154554	04GQoL73mzVbe6GX7cwSKB	3y4phUBzYdEtzU05FMCeu6
2022-06-19T23:20:33	A Gentle Reminder	Rainy Days Trio	QZAKB2166650	2pwKVc1O6cUQZRXIJ74Lh6	0ZiJ1fWX1eDMn7PA74GdLN
2022-06-19T23:17:03	Don't Open Your Eyes	Vendla, Gustav Lundgren, Johan Tengholm, Henrik Jäderberg	SE5Q52101793	7df0Uedn5GeMUWObiYxqFe	4uWu7kqFidRgiqrLM5x1Vu,2Qb6yi78O4qlvQDB5JvZKV,43zscbPDZ5M7eJTRs0Uuz0,1wwJ6VEXQBeKg50pBqn6sJ
2022-06-19T23:14:07	Whitehall Gardens	Goldilocks Trio	QZAKB2167677	1TUqjCJdD9GvReZr3IpOkl	2fVn4UU5CHiuJtJwHx0q7M
2022-06-19T23:11:07	Confidant	Bernstein Square	SE5W32201574	2uW43oEqS8nCOcMP7nwNLE	0RdMRIhMDTQEpMcALRyQTK
2022-06-19T23:06:42	I Loves You, Porgy	Keanan Field Group	SE5IB2140951	6L620MzHPZRTYKqi1mXiaw	3Nswj36GKhom7iy2bLvJNJ
2022-06-19T23:03:12	Autumn Serenade	Tim Franks Trio	SE5W32201734	76bxYaBhzR5YOIrgmNUUJ5	6tFpLOLeaW3EmB3r8VEMok
2022-06-19T22:59:15	Sometimes	Maurice Font	SEXGF2200564	5cSBt7nIxZ8oRhUmn5YbT0	6yQ1L2SHtnSTXctzGsKsPC
2022-06-19T22:56:11	In Another Universe	Lachlan Wright Trio	QZAKB2154986	04OlOJOsWy6RUWgyhixoqk	2HaQQhL4YwnMEo6CHATOtx
2022-06-19T22:53:14	Ruby, My Dear	The Sweetgreens	SE5IB2217265	4g3uehMazGScLiI42Xf9C4	106pccUBSkmw5RR27vUT2N
2022-06-19T22:50:25	The Last Verse	Joel Lyssarides	DEA892200051	3kmQxusMYqIaXIoWeatRDh	6OMYcSur3Y0DthpzbVkxAx
2022-06-19T22:46:24	Clear as Autumn Nights	Martin Landström	SE5Q52103341	2PVMfghJc3ayLHjGbGjg3J	4S6bYPPOxQPs9hSnUBbGBN
2022-06-19T22:41:22	Lush Life	Tiril Brandt	SE5W32202000	7xuOv4oO4lghAaoS27dIEx	1Vor0rs0uaRKRuimiXWd92
2022-06-19T22:37:20	A Few Days Ahead	Bedford and 7th	SEXGF2192201	71qHUeI08SIXKXzSrOqcxj	3bAXvct52qoTbMdHW4CYkE
2022-06-19T22:34:14	Amnesia	Andreas Gidlund	SE5W32201770	1louoVYSYYP4FwOBz2KlxR	1i1prvKQoU8d7eTrRHIMtO
2022-06-19T22:29:26	Perception Through A Crystal Orb	Joyce Trio	SE5W32201910	5P2fFIHidJIgfcHgs7v4fK	75pnTZQozf5CtkbWxmUtCf
2022-06-19T22:26:16	La Vie en rose	Tate Jackson Trio	SE5IB2217233	5E5quIvMG1ZlnwFqSolvhx	2xOmrHsNNnSQQwav65tSwZ
2022-06-19T22:23:28	I've Never Been in Love Before	South North	SE5W32102001	7bsrxWD78NPHkQGdWDtVKA	7z19cN47vHnay3CoShIp1b
2022-06-19T22:19:41	Try To Remember	The Jazz Cultivators	SE5W32201219	4q86fROSuJgs5J8pX8YBZM	24LiiowKnaEDD4I3CCdI3v
2022-06-19T22:16:15	Look For The Silver Lining	Bill Parker	SE5W32201728	7CIQyeJuQUrJu3W8CoqAmu	58mMPpww20oJW8J0UZ3frj
