listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-30T17:22:03	Suga Mama	Fifth Harmony	USSM11406650	0ZFkjadl9AWqQ4gHrHUslI	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T17:11:36	Reflection	Fifth Harmony	USSM11406649	02y4CADbBLKy1dpFsSeay5	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T17:05:33	That's My Girl	Fifth Harmony	USSM11601117	2ACOWPLUe4A4KuQ5ioD2od	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:58:16	Like Mariah (feat. Tyga)	Fifth Harmony, Tyga	USSM11406647	3lao2enU6pehXrEsAR8Fdr	1l8Fu6IkuTP0U5QetQJ5Xt,5LHRHt1k9lMyONurDHEdrp
2022-04-30T16:54:46	Miss Movin' On	Fifth Harmony	USSM11303362	0gL0Xf8CN95HmgfEYYLRZV	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:51:21	Brave Honest Beautiful (feat. Meghan Trainor)	Fifth Harmony, Meghan Trainor	USSM11406654	4AyleMuo6xd4bLkyxY9S3I	1l8Fu6IkuTP0U5QetQJ5Xt,6JL8zeS1NmiOftqZTRgdTz
2022-04-30T16:47:52	Suga Mama	Fifth Harmony	USSM11406650	0ZFkjadl9AWqQ4gHrHUslI	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:44:02	This is How We Roll	Fifth Harmony	USSM11406645	7JydqeSM1fobHuF3oye9JC	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:39:35	This is How We Roll	Fifth Harmony	USSM11406645	7JydqeSM1fobHuF3oye9JC	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:26:41	We Know	Fifth Harmony	USSM11406651	4ay1nveMI5wWNTZPfdvy1w	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-30T16:23:11	Write On Me	Fifth Harmony	USSM11601119	0UnhE0UhBTBwtnzEXzP0it	1l8Fu6IkuTP0U5QetQJ5Xt
2022-04-23T12:50:03	Natural	Imagine Dragons	USUM71806694	2FY7b99s15jUprqC0M5NCT	53XhwfbYqKCa1cC15pYq2q
2022-04-23T12:46:54	Really Don't Care	Demi Lovato, Cher Lloyd	USHR11334431	5vTPxzm4h2bY9rYyVrGEU5	6S2OmqARrzebs0tKUEyXyp,4m4SfDVbF5wxrwEjDKgi4k
2022-04-23T12:42:55	Rollercoaster	Jonas Brothers	USUG11900650	7dxKdQC9Vo1hDxIUnt1z0Q	7gOdHgIoIKoe4i9Tta6qdD
2022-04-23T12:39:35	What A Man Gotta Do	Jonas Brothers	USUG11904422	4wNIkl5XGiAACjFBlDWuSd	7gOdHgIoIKoe4i9Tta6qdD
2022-04-23T12:31:05	Reggaetón Lento (Remix)	CNCO, Little Mix	GBHMU1700053	58gqyeFXhOttZW3yetJGPN	0eecdvMrqBftK0M1VKhaF4,3e7awlrlDSwF3iM0WBjGMp
2022-04-23T12:27:55	Apri tutte le porte	Gianni Morandi	ITB002200002	563Zhnk0v3WwVR0EsYlMNn	15FrhfFYJIx7Ijltkpjbsr
2022-04-23T12:24:11	I Love Me	Demi Lovato	USUM72003024	2IHLaN6wwYKQ3S24NsQqpA	6S2OmqARrzebs0tKUEyXyp
2022-04-15T11:14:32	psychofreak (feat. WILLOW)	Camila Cabello, WILLOW	USSM12201108	705dwKmZCd7ImAUyyD6Mpm	4nDoRrQiYLoBzwC5BhVJzF,3rWZHrfrsPBxVy692yAIxF
2022-04-09T10:28:22	everyone at this party	Camila Cabello	USSM12201113	43klOCoUcqtkNWCqQQvh9W	4nDoRrQiYLoBzwC5BhVJzF
2022-04-09T10:25:03	Lola (feat. Yotuel)	Camila Cabello, Yotuel	USSM12201112	0Wn8hKAvkTnqIKQHFezxJO	4nDoRrQiYLoBzwC5BhVJzF,3IzFiozYX6N0Qoz0drX8w8
2022-04-09T10:21:51	No Doubt	Camila Cabello	USSM12201111	5FLzLuPyBEppywIJprqwDz	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:24:59	No Doubt	Camila Cabello	USSM12201111	5FLzLuPyBEppywIJprqwDz	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:22:55	Hasta Los Dientes	Camila Cabello, Maria Becerra	USSM12108555	2U0jWXrxJUzWVlLsHttAXJ	4nDoRrQiYLoBzwC5BhVJzF,1DxLCyH42yaHKGK3cl5bvG
2022-04-08T11:19:46	Boys Don't Cry	Camila Cabello	USSM12201110	7iQyC3uyPcMjvUgcNqLtVl	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:14:45	Quiet	Camila Cabello	USSM12201109	665Prhaf0Ob6J6p7SKpaQE	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:12:02	La Buena Vida	Camila Cabello	USSM12108856	47bzJjh9bAbo3s3NHSK4r8	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:08:34	psychofreak (feat. WILLOW)	Camila Cabello, WILLOW	USSM12201108	705dwKmZCd7ImAUyyD6Mpm	4nDoRrQiYLoBzwC5BhVJzF,3rWZHrfrsPBxVy692yAIxF
2022-04-08T11:05:14	Celia	Camila Cabello	USSM12201107	7a2P3pskFZVe4wbvjT6NdX	4nDoRrQiYLoBzwC5BhVJzF
2022-04-08T11:02:40	Familia	Camila Cabello	USSM12201547	2rynuKMLPkCXG8GV088JAa	4nDoRrQiYLoBzwC5BhVJzF
2022-04-04T19:30:12	SaN LoREnZo (feat. Annalisa) - prod. Yanomi	Alfa, Annalisa, Yanomi	ITIWE2000381	7yGaVzGU1qKp92Xd4zV94i	7GacyaFUp0qkEJglERX9N7,0EqkKYDK9EkKY5N7zU3FPv,6YgYCNwq3DkSXEd6kGxoZW
2022-04-04T19:25:46	Cuore	Nessuno	ITTL52030377	2M7GFMN32HPcdj9cXp1AZU	35ReHoGfnoTWT9lJJpEVkU
2022-03-06T22:00:12	Let Me Cry	Laura Marano	QZ5FN1900971	4DSNoPaSYnVDl1xXT1NtmL	21mgsWjJ4TmBxsUKexjJPT
2022-03-06T21:56:40	I Can't Go Back	Samantha Barks, Original Broadway Cast of Pretty Woman	USAT21810542	2xYsrU83N9O2lxFAOpWnFp	4gOl5m9dY7IGAipqpul7GZ,6cWNrRKA5mvjU8svgRc7gw
2022-03-06T21:51:49	This Could Change Everything	Francesca Battistelli	USM1C1800189	5SLDICTLPlgaebtGUZtr7J	29ywwKkxfoH7iWwNY1UezA
2022-03-06T21:47:50	Marching On	Dami Im	QMFMF1908815	5Z68nxCi7Ps0hcVuRb2iSI	2wSrZOe6YVo6XoKma22sdY
2022-03-06T21:43:06	Alyssa Greene	Ariana DeBose	QZ8BZ2000533	57Bd0IGmgkDMoEMGrAg6bx	1Np9GsrPO7dlczjvdehBxs
2022-03-06T21:40:45	Reggaetón Lento (Remix)	CNCO, Little Mix	GBHMU1700053	58gqyeFXhOttZW3yetJGPN	0eecdvMrqBftK0M1VKhaF4,3e7awlrlDSwF3iM0WBjGMp
2022-03-06T21:37:35	I Love Me	Demi Lovato	USUM72003024	2IHLaN6wwYKQ3S24NsQqpA	6S2OmqARrzebs0tKUEyXyp
2022-03-06T21:34:11	Apri tutte le porte	Gianni Morandi	ITB002200002	563Zhnk0v3WwVR0EsYlMNn	15FrhfFYJIx7Ijltkpjbsr
2022-03-06T21:29:27	Rollercoaster	Jonas Brothers	USUG11900650	7dxKdQC9Vo1hDxIUnt1z0Q	7gOdHgIoIKoe4i9Tta6qdD
2022-03-06T21:26:24	What About Us	P!nk	USRC11701586	0Qh38w01QRXK6KHIv0e3hb	1KCSPY1glIKqW2TotWuXOR
2022-03-06T21:21:50	What A Man Gotta Do	Jonas Brothers	USUG11904422	4wNIkl5XGiAACjFBlDWuSd	7gOdHgIoIKoe4i9Tta6qdD
2022-03-06T21:13:15	farfalle	sangiovanni	ITZ042100276	5HujDMiRNqZwEzVAh3oFD3	7dL0nOHwnSAsNAwpkPSGWP
2022-03-06T21:10:30	Living Proof	Camila Cabello	USSM11913990	4jFD7byoPdGkEdjHLMduR9	4nDoRrQiYLoBzwC5BhVJzF
2022-03-06T21:06:22	Walk Me Home - R3HAB Remix	P!nk, R3HAB	USRC11900998	7wJFBZXG4AFQS9YwBQLkqL	1KCSPY1glIKqW2TotWuXOR,6cEuCEZu7PAE9ZSzLLc2oQ
2022-03-06T20:52:58	Natural	Imagine Dragons	USUM71806694	2FY7b99s15jUprqC0M5NCT	53XhwfbYqKCa1cC15pYq2q
