listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-12T21:39:23	I THINK I’M LOST AGAIN	Chase Atlantic	US5262023878	7wgkQbVbZR9pa6bauIhnSl	7cYEt1pqMgXJdq00hAwVpT
2022-05-12T21:35:51	CALL ME BACK	Chase Atlantic	US5262023882	0matCTSPUdFMTAr1YhCvaE	7cYEt1pqMgXJdq00hAwVpT
2022-05-04T12:11:25	Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)	Ariana Grande, Miley Cyrus, Lana Del Rey	USUM71912501	6zegtH6XXd2PDPLvy1Y0n2	66CXWjxzNUsdJxJ2JdwvnR,5YGY8feqx7naU7z4HrwZM6,00FQb4jTyendYWaN8pK0wa
2022-05-04T12:08:15	Slow Motion	Jarryd James	NZDY11800055	0htXYyN03UGRNuK2jVsiie	23IZADrJHPStZ6aMxJVq3s
2022-05-04T12:04:41	White Blood	Oh Wonder	GB9L31400021	3sZfQB5uYTJmA4QnB8dv7P	5cIc3SBFuBLVxJz58W2tU9
2022-05-04T12:00:24	World on Fire	Klergy	TCAED1975526	5bv87T8PtI8c1KSUn2QRsz	1p9Lr8nFJ21Jej6dwMLngp
2022-04-30T12:15:09	Often	The Weeknd	USUG11401323	4PhsKqMdgMEUSstTDAmMpg	1Xyo4u8uXC1ZmMpatF05PJ
2022-04-30T12:00:25	Into It	Chase Atlantic	USWB11602565	4HwDCXsMBC7SUdp2WT4MZP	7cYEt1pqMgXJdq00hAwVpT
2022-04-30T11:57:07	Swim	Chase Atlantic	USWB11701711	3M0lSi5WW79CXQamgSBIjx	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T22:15:53	Okay	Chase Atlantic	USWB11701714	492PZFHvGTm3RZZYeeUVWT	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T22:14:57	HEAVEN AND BACK	Chase Atlantic	QMRSZ1900604	5dewQ7ojISR32NAYNHFYWC	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T22:10:48	PHASES	Chase Atlantic	QMRSZ1900601	0AvVR6Bx52aY3cWdRDdTfx	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T22:07:45	Right Here	Chase Atlantic	USWB11602564	2KtS31kaWNHs12Q5B43Ixh	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T22:02:58	Church	Chase Atlantic	USWB11602566	7bbYT48HWWIbL3YKmtMNzn	7cYEt1pqMgXJdq00hAwVpT
2022-04-29T21:59:18	Greedy	Ariana Grande	USUM71602108	7aLT0tLcS40Penaplqu2cZ	66CXWjxzNUsdJxJ2JdwvnR
2022-04-29T21:55:42	motive (with Doja Cat)	Ariana Grande, Doja Cat	USUM72020425	5GkQIP5mWPi4KZLLXeuFTT	66CXWjxzNUsdJxJ2JdwvnR,5cj0lLjcoR7YOSnhnX0Po5
2022-04-29T21:52:53	No One’s Here To Sleep	Naughty Boy, Bastille	GBUM71303758	0txjdg6j38GxiWzfH2Skpg	1bT7m67vi78r2oqvxrP3X5,7EQ0qTo7fWT7DPxmxtSYEc
2022-04-29T21:47:19	I Found	Amber Run	GBARL1400303	5zT5cMnMKoyruPj13TQXGx	0MmnmsAuQKRFpo6vJElcaU
2022-04-29T21:42:46	Power	Isak Danielson	SE5T51900101	7qGzgOQYxfLbQGqZTiVqTl	5ie2SvXgvXlTpyqkwLtSd7
2022-04-29T21:39:18	LA PAURA DEL BUIO	Måneskin	ITB002100118	2l7V3AuTxGuswKjGovaSEv	0lAWpj5szCSwM4rUMHYmrr
2022-04-29T21:35:48	Heartburn	Wafia	AUFF01500752	3tjfbu0G0PPy8UjhxfxVIe	0FL2d6iFFNAV3yBUbXjZ1U
2022-04-29T21:31:53	Call Out My Name	The Weeknd	USUG11800560	09mEdoA6zrmBPgTEN5qXmN	1Xyo4u8uXC1ZmMpatF05PJ
2022-04-18T00:16:54	Pioggia di CBD	chiamamifaro	ITB002200139	5eL7azGDSAndUemSxGm79B	7IkCnJuIFuZyvZb60a5DEe
2022-04-18T00:16:19	kenshiro	DANU	ITW8J2200005	6ndu0wQHbMngFpMK6uf5gB	4hVodcSKHtJWb5fIRvzax7
2022-04-18T00:13:31	CASTELLI DI LENZUOLA	ARIETE	ITLGE2100121	6hLEPly11XS3mFlG9AyO4T	2T4kh33TYdnDesvlQyRst8
