listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-16T04:48:33	Wolf	First Aid Kit	GBDNH1100143	7EwNGHfCswoh3Vp4K3uDwf	21egYD1eInY6bGFcniCRT1
2022-05-15T04:02:18	Wolf	First Aid Kit	GBDNH1100143	7EwNGHfCswoh3Vp4K3uDwf	21egYD1eInY6bGFcniCRT1
2022-05-15T03:49:08	Senhora Cegonha	Grupo Coral de Cantares Regionais de Portel	PTOV10300176	7orTJD8x5vcW9bW2Yswqey	4gVR6SVCWJ53H2oh7sICAt
2022-05-14T16:36:31	Senhora Cegonha	Grupo Coral de Cantares Regionais de Portel	PTOV10300176	7orTJD8x5vcW9bW2Yswqey	4gVR6SVCWJ53H2oh7sICAt
2022-05-14T16:25:58	SAOKO	ROSALÍA	USSM12109218	2FYGZDfsAnNsrm1gVbyKnG	7ltDVBr6mKbRvohxheJ9h1
2022-05-14T16:23:40	saudade, saudade	MARO	PTUM72100760	4S4Amrpr631M16IIXqRk73	3NP4jJcW3R6qO6rbtnH0wn
2022-05-14T16:20:10	CANDY	ROSALÍA	USSM12109219	70AYiGbc4mWZGEqiipBBDb	7ltDVBr6mKbRvohxheJ9h1
2022-05-14T16:16:56	Wild Child	The Black Keys	USNO12200033	3k8tvffbKnlqIb0qqidIBN	7mnBLXK823vNxN3UWB7Gfz
2022-05-14T16:14:11	Quando Bate Aquela Saudade	Rubel	BRRUS1400004	76bcaYeKOKTrj9lEc9BZFU	0slVGXBggrLglTLNKbeEyW
2022-05-14T16:07:36	LA NOCHE DE ANOCHE	Bad Bunny, ROSALÍA	QMFME2066840	2XIc1pqjXV3Cr2BQUGNBck	4q3ewBCX7sLwd24euuV69X,7ltDVBr6mKbRvohxheJ9h1
2022-05-14T16:04:12	My Silver Lining	First Aid Kit	USSM11401643	5BkNCuxzzid0gz9sx3NNbX	21egYD1eInY6bGFcniCRT1
2022-05-14T16:00:36	LA FAMA (with The Weeknd)	ROSALÍA, The Weeknd	USSM12107750	6Y46tOTRhkBamosyuWa6YX	7ltDVBr6mKbRvohxheJ9h1,1Xyo4u8uXC1ZmMpatF05PJ
2022-05-14T15:57:27	O Barco Vai De Saída	Fausto	PTSM18400002	1VVPDo2phOhTyHLquHOtSa	3yZziCWFdejr3gPHudVIoR
2022-05-14T15:53:43	Pedigree	Luta Livre	PT2JQ2000009	5Z6Coz5PaL1sZlyvupYCpf	579Gt6ijItBC4XCiM7vBWr
2022-05-13T15:57:03	Ace of Spades	Motörhead	GBAJE8000033	6EPRKhUOdiFSQwGBRBbvsZ	1DFr97A9HnbV3SKTJFu62M
2022-05-13T15:50:29	Ace of Spades	Motörhead	GBAJE8000033	6EPRKhUOdiFSQwGBRBbvsZ	1DFr97A9HnbV3SKTJFu62M
2022-05-13T15:34:06	N95	Kendrick Lamar	USUM72208963	2FeBslNBMdR9V58uv6hd2t	2YZyLoL8N0Wb9xBt1NhZWg
