listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-17T10:04:48	Novinha Malada do Insta	MC Josh	BX9L12100164	0VF2XFdgeID7448iU2Vyg9	2sJi2UQrxTzhekQYGLxvT6
2022-05-17T10:03:00	Fim de Semana no Rio	Teto	BXW922200001	7afaZ37wJJL6880z1NRgJS	68YeXpLt3jB7JHQS5ZjMGo
2022-05-17T10:00:24	Diva	Yuri NR5	PT2HG2200005	2v2tuqtW3N9U32LpG5or2p	0Dx6HmR7Rhi8G1osUOxAew
2022-05-17T09:56:40	Calling My Phone	Lil Tjay, 6LACK	USSM12100388	3J8EOeKLTLXORtWPpOU5bE	6jGMq4yGs7aQzuGsMgVgZR,4IVAbR2w4JJNJDDRFP3E83
2022-05-17T09:53:14	Vampiro	Matuê, WIU, Teto	BXW922100034	6bTdZ7xfKp3NqqADJ8HLyj	5nP8x4uEFjAAmDzwOEc9b8,3MrDVzg7ZXaYMyQmbDInr7,68YeXpLt3jB7JHQS5ZjMGo
2022-05-17T09:48:55	Diva	Yuri NR5	PT2HG2200005	2v2tuqtW3N9U32LpG5or2p	0Dx6HmR7Rhi8G1osUOxAew
2022-05-17T09:42:28	Diva	Yuri NR5	PT2HG2200005	2v2tuqtW3N9U32LpG5or2p	0Dx6HmR7Rhi8G1osUOxAew
2022-05-17T09:36:53	Sigue	Beny Jr, Morad, K y B	ES71G2211486	63ZedTAVRCICh2CNLWnsPZ	22dFwJoRBV51ue5TGnC7Dt,4az97MtWmBQ5Db3GfDh9j9,1enXMVomlMi88CZFYL1m2f
2022-05-17T09:33:21	Wolves (with NAV)	Pop Smoke, NAV	USUM72003037	1dnsojUNfvhiztcITLzruj	0eDvMgVFoNV3TpwtrVCoTj,7rkW85dBwwrJtlHRDkJDAC
2022-05-16T22:00:44	Pelele	Morad	QMFMF2131945	5h5TUj8pU2WhdSeJx9BnX2	4az97MtWmBQ5Db3GfDh9j9
2022-05-16T11:21:37	First Class	Jack Harlow	USAT22203024	1rDQ4oMwGJI7B4tovsBOxc	2LIk90788K0zvyj2JJVwkJ
2022-05-16T11:19:58	Christopher Walking	Pop Smoke	USUM72000326	2IT0T0EqPaUxasjl2o8J2G	0eDvMgVFoNV3TpwtrVCoTj
2022-05-16T11:16:48	GOTTI	6ix9ine	QMEU31886336	27oFpFktCq9JIXjJQRuv7a	7gZfnEnfiaHzxARJ2LeXrf
2022-05-16T11:14:00	War	Pop Smoke, Lil Tjay	USUM71919421	0JhonNQL2ixH1JcsgEj4Hn	0eDvMgVFoNV3TpwtrVCoTj,6jGMq4yGs7aQzuGsMgVgZR
