listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-04-12T17:20:11	Killed by Death	Beast In Black	DED831801700	1rNPRQnSEA4v4re58XO5Fx	0rEuaTPLMhlViNCJrg3NEH
2022-04-12T17:13:30	From Hell with Love	Beast In Black	DED831801690	3iKSyNDGzJ3FcjXoDKqehS	0rEuaTPLMhlViNCJrg3NEH
2022-04-12T17:04:10	Christmas Truce	Sabaton	SE6HE2100901	7m2ZeXTKhW8e4MYEIYh2pT	3o2dn2O0FCVsWDFSh8qxgG
2022-04-12T16:55:47	Race to the Sea	Sabaton	SE6HE2200107	5xsF9hH7BTnX6liiWS8Dfb	3o2dn2O0FCVsWDFSh8qxgG
2022-04-12T16:52:00	Hellfighters	Sabaton	SE6HE2200106	2enm90CHZok8X5eAMsMgvx	3o2dn2O0FCVsWDFSh8qxgG
2022-04-12T16:48:32	Soldier of Heaven	Sabaton	SE6HE2200105	2c03eSv5IkwbDty49pKg1L	3o2dn2O0FCVsWDFSh8qxgG
2022-04-12T16:44:54	The Unkillable Soldier	Sabaton	SE6HE2200104	0gsCpWnPXzPqf0MoIh0Qbi	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:57:33	Fury Of The Storm	DragonForce	GBAJE0400118	0qTjb7p9gbojEemSJP71Yd	2pH3wEn4eYlMMIIQyKPbVR
2022-04-09T13:57:30	Army of the Night	Powerwolf	ATN261558603	6vQT1Y3MTGCpc31VIF5Ela	5HFkc3t0HYETL4JeEbDB1v
2022-04-09T13:54:08	The Chosen Ones	Dream Evil	US4E40402206	7FQvFYg88JndjHvd5tBxwI	1bkf8u8ot6vEpWTJFBzKZB
2022-04-09T13:48:35	Universe on Fire	Gloryhammer	ATN261562108	3e77C0bCaFIUXNFxI075D9	7dkEByOe0oHqc54qU4hwzV
2022-04-09T13:44:28	No Bullets Fly	Sabaton	SE2EG1400102	2xsZ47v4C79r1OE4gv2l3f	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:40:50	Venerate Me	HammerFall	ATN262203105	6D1i1hoMyjs843XbMhNq8J	2o18h28enlHxj887tATc58
2022-04-09T13:36:06	Chains of Fury	Manimal	DEU602109601	3mWpUooYBCQzcNaWTuVSGm	7goOwP4vH811Qt4yjmGMPM
2022-04-09T13:32:00	Christmas Truce	Sabaton	SE6HE2100901	7m2ZeXTKhW8e4MYEIYh2pT	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:26:15	The Valley of Death	Sabaton	SE6HE2200109	4jqBlA2ZyD7njl3qglYwlN	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:22:01	Lady of the Dark	Sabaton	SE6HE2200108	55gQTPtDdhgXcrxeE95K7l	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:18:29	Race to the Sea	Sabaton	SE6HE2200107	5xsF9hH7BTnX6liiWS8Dfb	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:14:41	Hellfighters	Sabaton	SE6HE2200106	2enm90CHZok8X5eAMsMgvx	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:11:15	Soldier of Heaven	Sabaton	SE6HE2200105	2c03eSv5IkwbDty49pKg1L	3o2dn2O0FCVsWDFSh8qxgG
2022-04-09T13:07:36	The Unkillable Soldier	Sabaton	SE6HE2200104	0gsCpWnPXzPqf0MoIh0Qbi	3o2dn2O0FCVsWDFSh8qxgG
2022-04-04T15:26:34	Black Chamber - Remastered 2007	Blind Guardian	DED831700985	6YginyW66qU6HuFiyX06v3	7jxJ25p0pPjk0MStloN6o6
