listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-24T20:05:29	Follow The Leader	George The Poet, Maverick Sabre, Jorja Smith	US23A1500724	2gMLeSLwBdO9r3PPkOjEeM	7v8N36cC4msGrIM2YT4LNC,0ukgrNYk51TkMQr0f2Br4Q,1CoZyIx7UvdxT5c8UkMzHd
2022-07-24T17:56:11	Tyrant (feat. Jorja Smith)	Kali Uchis, Jorja Smith	GBUM71701939	5ar0XZUJMUkRZrjmcOCy8O	1U1el3k54VvEUzo3ybLPlM,1CoZyIx7UvdxT5c8UkMzHd
2022-07-24T17:50:26	On Your Own	Jorja Smith	QM4TW1828132	6LP5qQvZAvR6PNZqysxmhS	1CoZyIx7UvdxT5c8UkMzHd
2022-07-24T17:45:23	Let Me Down - Shy FX Remix	Jorja Smith, Stormzy, SHY FX	US23A1500735	4Qt4enkYft1kDnQOqeNLjK	1CoZyIx7UvdxT5c8UkMzHd,2SrSdSvpminqmStGELCSNd,5oDtp2FC8VqBjTx1aT4P5j
2022-07-24T17:41:54	Beautiful Little Fools	Jorja Smith	US23A1500450	1NEg5LHpn3reJ79r6IY0M6	1CoZyIx7UvdxT5c8UkMzHd
2022-07-24T16:41:25	BAD LUCK	Brent Faiyaz	QM24S2203176	5YbHnEYZFkOxLsp5syLMLy	3tlXnStJ1fFhdScmQeLpuG
2022-07-24T16:32:36	ADDICTIONS (FEAT. Tre' Amani)	Brent Faiyaz, Tre' Amani	QM24S2203179	01VzuxoBYMAJLObfU0w6dI	3tlXnStJ1fFhdScmQeLpuG,48Py72qV4J4hzvJXXRDNz0
2022-07-24T16:25:51	GRAVITY (FEAT. TYLER, THE CREATOR)	Brent Faiyaz, DJ Dahi, Tyler, The Creator	QM24S2100085	3zakx7RAwdkUQlOoQ7SJRt	3tlXnStJ1fFhdScmQeLpuG,5BozIJTTNCufaZpjhy2der,4V8LLVI7PbaPR0K2TGSxFF
2022-07-24T16:21:03	Trust	Brent Faiyaz	QM24S1837815	0oufSLnKQDoBFX5mgkDCgR	3tlXnStJ1fFhdScmQeLpuG
2022-07-24T16:16:33	HEAL YOUR HEART (INTERLUDE)	Brent Faiyaz	QM24S2203187	6MF5JoJYj5uK07Si6fRAPM	3tlXnStJ1fFhdScmQeLpuG
2022-07-24T16:14:51	ANGEL	Brent Faiyaz	QM24S2203174	4mgSk2zxeT03FLtSlnzxwt	3tlXnStJ1fFhdScmQeLpuG
2022-07-21T21:51:23	Nutshell	Alice In Chains	USSM10025671	2JuasWPUodaUxf5nwNpciQ	64tNsm6TnZe2zpcMVMOoHL
2022-07-21T21:49:13	Campbell	redveil	QZK6N2055184	1yHmbFm61m6aGqemhyOv5T	5BwsX8bXOFC1YnqSlyfOKM
2022-07-21T21:47:44	Girl With The Tattoo Enter.lewd	Miguel	USJI11000245	1eUGmzzvahJjOSWgDHuRlv	360IAlyVv4PCEVjgyMZrxK
2022-07-21T21:46:00	Nobody But You	Sonder, Jorja Smith	QZLBC2100043	6VFKuuqSbA1GpMEosUgTwQ	2ICR2m4hOBPhaYiZB3rnLW,1CoZyIx7UvdxT5c8UkMzHd
2022-07-21T21:36:20	Language	Paperboy Fabe, Brent Faiyaz	QM24S1701038	4RnvS1tmh1ERhjXX6dxv95	58uK0d4R5Rq4FDUNgNIFeI,3tlXnStJ1fFhdScmQeLpuG
2022-07-21T21:33:50	Talk 2 Me	Montell Fish	QZK6Q2113719	0kqWdi9oHVO1KcjFjNCBL2	5nvWOyAkfNgVLKESq4fOj2
2022-07-19T20:13:04	Too Fast	Sonder	QM24S1650317	42QRyJd5x6e2TFR1S41g2p	2ICR2m4hOBPhaYiZB3rnLW
2022-07-19T20:07:04	Garden Kisses	Giveon	QM24S1824891	62d6YXEYxmMWAuLpw1EysL	4fxd5Ee7UefO4CUXgwJ7IP
2022-07-19T20:03:28	In Love	Aaron May	USUYG1242152	1IMgQoUuiOuieYRKYadkPr	2rwALQ1SXdfUWPUd6WOfYS
2022-07-18T08:57:41	In Love	Aaron May	USUYG1242152	1IMgQoUuiOuieYRKYadkPr	2rwALQ1SXdfUWPUd6WOfYS
2022-07-18T08:51:59	One Night Only	Sonder	QM24S1801024	74fQgHleHZ4V7Gm1XYcGkj	2ICR2m4hOBPhaYiZB3rnLW
