listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-06-21T18:03:15	Mon Amour - Remix	zzoilo, Aitana	ES5702101693	5TMLavqGRKNxgzMBrVpC9R	7c53ZFyajVMTo08HmvoB6b,7eLcDZDYHXZCebtQmVFL25
2022-06-21T17:42:06	Jimmy Cooks (feat. 21 Savage)	Drake, 21 Savage	USUG12204897	3F5CgOj3wFlRv51JsHbxhe	3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft
2022-06-21T17:37:21	Jimmy Cooks (feat. 21 Savage)	Drake, 21 Savage	USUG12204897	3F5CgOj3wFlRv51JsHbxhe	3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft
2022-06-21T16:45:53	Jimmy Cooks (feat. 21 Savage)	Drake, 21 Savage	USUG12204897	3F5CgOj3wFlRv51JsHbxhe	3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft
2022-06-21T16:45:46	U-Digg (feat. 42 Dugg & Veeze)	Lil Baby, 42 Dugg, Veeze	USUG12200087	0b7UwotRCrS7qBoLDjfvSY	5f7VJjfbwm532GiveGC0ZK,45gHcnDnMC15sgx3VL7ROG,0B3kMiB21aPQlKumGDr4c7
2022-06-21T16:41:06	Die Young (feat. 347aidan)	Sleepy Hallow, 347aidan	USRC12201686	6EbVuwU7EnKeF2hdpViXCH	6EPlBSH2RSiettczlz7ihV,0bBz5bRBkExaej2HxtVfCw
2022-06-21T16:34:55	Money Team	King T3Z	QZNB82249646	5Gjkr4U3fwjzEqbaK6MqwA	6LWOOqiUGtMvFNhTkhA62c
2022-06-21T13:53:35	EUROPA (feat. Gson)	Mizzy Miles, Deejay Telio, Teto, Gson	PT6I22000001	5bBQI31u2eqXJE5OyP4hxq	0QoKkMC6uy7fUng96fab1I,7BWNRZyZ9mhgp5t0m7Ny0n,68YeXpLt3jB7JHQS5ZjMGo,6XjHGcba7ZbaZ6nYtwhaCj
2022-06-21T13:49:18	Where Are You Now	Lost Frequencies, Calum Scott	BEHP42100067	3uUuGVFu1V7jTQL60S1r8z	7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX
2022-06-21T12:52:52	Where Are You Now	Lost Frequencies, Calum Scott	BEHP42100067	3uUuGVFu1V7jTQL60S1r8z	7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX
2022-06-21T11:52:14	Texts Go Green	Drake	USUG12204882	7a5fliY9SsZENrQWQBZron	3TVXtAsR1Inumwj472S9r4
2022-06-20T18:00:18	Die Young (feat. 347aidan)	Sleepy Hallow, 347aidan	USRC12201686	6EbVuwU7EnKeF2hdpViXCH	6EPlBSH2RSiettczlz7ihV,0bBz5bRBkExaej2HxtVfCw
2022-06-20T17:37:13	Hold That Heat (feat. Travis Scott)	Southside, Future, Travis Scott	USSM12108695	6OrTKLtcF7EBayOV2QqkSK	23DYJsw4uSCguIqiTIDtcN,1RyvyyTE3xzB2ZywiAwp0i,0Y5tJX1MQlPlqiwlOH1tJY
2022-06-20T17:02:01	MVP	FaZe Kaysan, Sheck Wes, Fivio Foreign	QZMWW2251330	2ayvMaVf5RAXnNQwHvArB7	6BgMniiBxLHe43o8nx5MIp,2RDOrhPqAM4jzTRCEb19qX,14CHVeJGrR5xgUGQFV5BVM
2022-06-17T20:56:17	Tchuco Nela	MC Rogerinho, Wesley Safadão	BCN5Z2200003	3ShKPhFkexrwl7WoyTtNND	5JbQpbeFaKfuZVFzKwaawP,1AL2GKpmRrKXkYIcASuRFa
