listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T07:55:38	Jet Set	Aaron Tveit, Company Of The Original Cast Of Catch Me If You Can	USSK31195104	5fZx1JgKYoL4oHdypgf0Lj	68h2f0WXn4zEctSgNYozXx,7zsQ8hj9Tchx9etXXZNXSj
2022-05-25T07:52:01	Red-Eyed and Blue - 2017 Remaster	Wilco	USRH11702583	7kLg5Lqoz0rueYMD3SXFJx	2QoU3awHVdcHS8LrZEKvSM
2022-05-25T07:49:16	Rags: The New American Musical: Blame It on the Summer Night	Charles Strouse, Julia Migenes, Eric Stern	USSM10409538	3WoxcHOEQsgxebPLBvMOpk	1HO6dUh3pea34OKnmsmjQx,6dMTJqbe2OZc5786oSQMnr,6rICwboZGnVmX9BFLfkjef
2022-05-25T07:46:07	I Just Want to Be Your Friend	The Millennium	USSM16801610	4rKpi6H6IFtuBVAdNN3fUe	2C49JSiNeHN0xwLQCohpyY
2022-05-24T21:58:05	Carrying The Banner	Jeremy Jordan, Newsies Original Broadway Cast	USSK31222685	1PK3BtcF1Dvfd8a24Xejaj	0vKWxtht5v5MoAu4DID0Ub,6yTc5YHDriVSWYq8vPA4Xi
2022-05-24T21:42:26	Once And For All	Alan Menken, Jack Feldman, Jeremy Jordan, Ben Fankhauser, Kara Lindsay, Ryan Breslin, Newsies Original Broadway Cast	USSK31222698	5umt6j4cZkfrL18u8KOnyq	5sy77gt4bfsLcSQ8GIe4ZZ,1tIPA8eW9kAgA4CUmDteqh,0vKWxtht5v5MoAu4DID0Ub,46yt6WJsgzPiAtnCe809UV,4wwo2P1bzRnLwJwjHrbZnv,0TcMyrefULXuhcB3vzomqJ,6yTc5YHDriVSWYq8vPA4Xi
2022-05-24T18:20:35	(It's) Hairspray	James Marsden	USNLR0700061	6xJiY2PXA5likWAqdX5tAe	4PMcxAosgYzNpvMCq04K7u
2022-05-24T18:05:15	Back In Love City	The Vaccines	GBKPL2148298	4XZBtvIXApjQ75xG7RUzwu	0Ak6DLKHtpR6TEEnmcorKA
2022-05-24T18:01:40	Tonight I Feel Like Kafka	Jealous of the Birds	GB9TP1500810	0un6V0wfo3eTYOfYeMF8cC	3S8P24WjZtVNaPLeXjaCJm
2022-05-24T17:58:30	Sunset Boulevard	Andrew Lloyd Webber, Original Broadway Cast Of Sunset Boulevard, Alan Campbell	GBALG9400021	3sPzfldicfZYCDonmeDYgt	4aP1lp10BRYZO658B2NwkG,3R4XcYREXwBAjNj3l7A90t,2rHVSPZ8JAAm0fuW2ZTMCE
2022-05-24T17:55:26	ivy	Taylor Swift	USUG12004712	19CSr8rwW05VJL2F91KFNK	06HL4z0CvFAxyc27GXpf02
2022-05-24T08:09:42	Something 4 the Weekend	Super Furry Animals	USSM10202478	5rvy7glNYmhpiLUaiEELn2	0FOcXqJgJ1oq9XfzYTDZmZ
2022-05-24T07:59:57	Hate Myself	dodie	QMBZ92061363	015ROS1oTBabLaOLMzDF47	21TinSsF5ytwsfdyz5VSVS
2022-05-24T07:56:28	Dream A Little Dream Of Me	The Mamas & The Papas	USMC16846393	27hhIs2fp6w06N5zx4Eaa5	1bs7HoMkSyQwcobCpE9KpN
2022-05-24T07:53:14	Lady Whistledown	Barlow & Bear, Abigail Barlow, Emily Bear	QZNJW2103769	0VoiHqYli9AUsw5XBU8FKS	2JymsYVZ5c5prv9mOdPB3p,5rw6jWzcS6bQimR39VPBXu,0K1ilFOGrYhSKNZaDCYRvk
2022-05-24T07:51:55	Brutte compagnie	Fulminacci	ITIWE2101492	3x8QypkuOoXR86w8FnajwC	1QeqGmpgU5Yg74GNcjIIq3
2022-05-24T07:48:46	Solar Power	Lorde	NZUM72100178	7s2kWabRM60W9I61HpKg8C	163tK9Wjr9P9DmM0AVK7lm
2022-05-24T07:45:26	Straight Razor	Matt Maeson	USAT21700289	19eS1kCEvKz2eVOrRGb1uL	7gHscNMDI8FF8pcgrV8eIn
2022-05-22T16:56:53	Hourglass - Band Version	Elton John	GBUM72003280	0rbkK4CMgCgc0m1q8LL19o	3PhoLpVuITZKcymswpck5b
2022-05-22T16:55:47	45	Bleachers	USRC12002673	1gbgwb8AwRo9i42YaqWnj2	2eam0iDomRHGBypaDQLwWI
2022-05-22T16:52:22	Chip on My Shoulder	Christian Borle, 'Legally Blonde' Greek Chorus, Laura Bell Bundy, 'Legally Blonde' Ensemble	USSK30720010	2UTS33qrSdZUD6zApZXDcI	3mXvO1rdMCgdOYNiWeduWG,145S8Fzs3opc7Nbz2gkoIO,32bisvV1h0yF3PeKmWI6sj,1ZjOjsdLODMZvBJol77xMW
2022-05-22T16:43:30	No One Else	Denée Benton	USRE11700085	6pPpMCJlAzXN78LYDS8Zxf	3bBNMFp7jH66nWZYYIzqc6
2022-05-22T16:39:09	Promises I've Made	Emitt Rhodes	USMC17054047	3ncX1PNhONlpP8vzeyNIle	1yap1SgRPMxgyfrrDlQ95y
2022-05-17T18:54:59	Carrying The Banner	Jeremy Jordan, Newsies Original Broadway Cast	USSK31222685	1PK3BtcF1Dvfd8a24Xejaj	0vKWxtht5v5MoAu4DID0Ub,6yTc5YHDriVSWYq8vPA4Xi
2022-05-17T18:40:59	Footloose - Finale	Original Broadway Company Of Footloose: The Musical	USSK31192965	6JGh5w61gGBv8aN3QVBgkU	7uptX5ops6wDEXB4HIgQ0A
2022-05-17T16:54:28	South Pacific - Original Broadway Cast Recording: Some Enchanted Evening - Voice	Richard Rodgers, Ezio Pinza, Salvatore Dell'Isola	USSM14900141	0ePOwUx19bmRCSucjxpXp3	4IbAZwt75dpehMOgcC3GnP,1aBhzPAmObaZsTlYFCBUXQ,1cCKEpMcRmdSbAejTgPgP3
