listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-07-13T06:44:41	Where You Belong	Joey Stux	GBSMU7037112	5xY9q9mD1ItLyOyyFMJCSi	4qXwCsRknt9FtIVRjpmFFn
2022-07-13T06:41:24	Home	Midsplit, Aiden Myers	DEUM71906343	7tz8Eeku5o7jCYUAQFoAk8	5FDIxEGRvg8QrMoNr9BoFl,5cfH54QvQybwIXXfoCEeIt
2022-07-13T06:38:36	Letting Go	Panuma, Marvin Vogel, PRYVT RYN	NLT2H1900168	2BvwE4nDTTgxM38jATfROo	3YvNtTSaJ2YAt1RhaE9eiH,2be8m0V39vhdLTOYkGfqk1,6zq6KNF09GUIFltBdxaSb0
2022-07-13T06:35:21	No Lies	Pascal Junior	DES231900240	4GmxAkE4CBTHHxXPHjYkp7	4T8dF8zYAxgtlPPICuFQ5w
2022-07-13T06:32:41	Dumb	Olivia Addams	ROGRA2001129	4eWCLcC1TUVOj7BDX1XzhR	56o9EclNeDcE7p8txENfLn
2022-07-13T06:30:00	So It Goes	Max Oazo, Moonessa	TCAEH1964129	6KRCLPzPrT7hULOLrcEJVo	5uNCgXcFgj0OyipmIk8ZUi,3e3a3ge0ScKaFatLUmoLIn
2022-07-13T06:26:38	Everything I Wanted	Lyfes, ESSE	QZFZ52035838	3Y2DprDWWGRALzDkbEDqe7	4NASILEoPObh2JlF4WZ1JV,53Jr58g6J32zZudG8JGH29
2022-07-13T06:22:51	Somebody Like You	Gianni Blu, D. Lylez	GBSMU6514228	1avqY5lu2fpjAkpyez3qNU	7xpdGx95yjp1d4c6dViRSx,473dpsjdYRgBCGcxl7KkrJ
2022-07-13T06:19:29	Dream	JYYE	DES231800330	0WI137pes6r0v32K8ZsWqD	1KNafMiV5Y3OhOr1A5tWwb
2022-07-13T06:16:13	Tell Me	WATEVA	GBKPL1944411	38HSKMiEks2Nup7NTUrKdN	68D0OoPnJ7buwHp1YGrckH
2022-07-13T06:13:18	Walk Away - 3LAU Deep Mix	3LAU, LUNA AURA	GBKPL1936151	0ap4E0W70EcUjXqItoM74l	4YLQaW1UU3mrVetC8gNkg5,18UrIT17pqz5fG7J85iwSh
2022-07-13T06:10:15	Do Me Right	Anton Powers, Joe Stone	NLZ542001487	0WrDaPRMVmJbvds5YeHxKF	7h7ahzbTkbAFsshWJ7fOrc,4kwEd1P9j15ZqUVP5zK7Pv
2022-07-13T06:01:37	Something About You	Hayden James	AUFF01400668	5n9DJWUiwuKuPE9sCVbQ0n	4csQIMQm6vI2A2SCVDuM2z
2022-07-13T05:57:51	From The Soul	Redondo	NLZ541800039	2mr020Spkb6Jw2Vt9JP1dm	3T0HSMgUpuH1hXbT1JPwQF
2022-07-13T05:55:18	Kiss You	Panuma, YANIC	GBSMU5827899	1NUSvIEAdRH8VotSdkSyoP	3YvNtTSaJ2YAt1RhaE9eiH,232vpxgsYP5Mc6yU99xZWG
2022-07-13T05:52:19	Moon River	Nora Van Elken	QZMEP2180461	0L0d4xLF0wn1k6Yqz4JVIu	04m3oUGzjO3EJTQidFzTgM
2022-07-13T05:49:45	The One for You	Damaui	QZFYX2087762	11laQfE7SlxZLPr87syunR	3FjyYauJ9oaHMUtzN8uudZ
2022-07-13T05:46:49	In the Mirror	Rolipso, LissA, clarity.	QMFME2127932	205U3hn1052lvW97Adry7h	1EtBmvqGOtWnjDgCUFQRqI,6aAestjbtEbALwyIYPg8Na,3cQgKzo3URkXcwxEyjhkPH
2022-07-13T05:44:41	In the Mirror	Rolipso, LissA, clarity.	QMFME2127932	205U3hn1052lvW97Adry7h	1EtBmvqGOtWnjDgCUFQRqI,6aAestjbtEbALwyIYPg8Na,3cQgKzo3URkXcwxEyjhkPH
