listened_at	track_name	artist_name	isrc	sp_track_id	sp_artist_ids
2022-05-25T18:00:44	Bruises	Lewis Capaldi	GBKPL1778698	4Of7rzpRpV1mWRbhp5rAqG	4GNC7GD6oZMSxPGyXy4MNB
2022-05-25T17:59:16	In The Stars	Benson Boone	USWB12201574	1ei3hzQmrgealgRKFxIcWn	22wbnEMDvgVIAGdFeek6ET
2022-05-25T17:53:19	traitor	Olivia Rodrigo	USUG12101243	5CZ40GBx1sQ9agT82CLQCT	1McMsnEElThX1knmY4oliG
2022-05-25T17:48:12	Infinity	Jaymes Young	USAT21700859	1SOClUWhOi8vHZYMz3GluK	6QrQ7OrISRYIfS5mtacaw2
2022-05-25T17:44:14	You Broke Me First	Conor Maynard	TCAFE2014430	2xKy8HbpMFgHV2xZhpQf12	6mU8ucezzms5I2kNH6HNlu
2022-05-25T17:41:06	Bruises	Lewis Capaldi	GBKPL1778698	4Of7rzpRpV1mWRbhp5rAqG	4GNC7GD6oZMSxPGyXy4MNB
2022-05-25T17:37:25	Sara	We Three	GB5ZK1900018	0zSemnpoUFdtesuHTZ3ifv	5oYuKMBiaAc0W8Gt7FVIjb
2022-05-25T17:33:39	Control	Zoe Wees	GB2DY2000093	50Td3qilgs8BLtv8mHyT1t	03d2mJXSMtuPI0nIvLnhoS
2022-05-25T17:29:48	Like I Can	Sam Smith	GBUM71308834	2TeLIzFBe3hxkPR5FIQZut	2wY79sveU1sp5g7SokKOiI
2022-05-25T17:27:01	In The Stars	Benson Boone	USWB12201574	1ei3hzQmrgealgRKFxIcWn	22wbnEMDvgVIAGdFeek6ET
2022-05-25T13:26:45	Bumpy Ride	Mohombi	GBUM71024652	71R6zJsrF3ffc3TBFHfivX	37GUqxafAvAKGMZbXCUnmr
2022-05-25T13:22:29	Bad	Blaiz Fayah, Tribal Kush	NLRD52017945	4p1yzpajuKXwZKBQ7PyH9x	2WyypmYjOdaXg0bXDP67j7,7fr6F0dEvfSoZW3fJ5fvUD
2022-05-25T13:19:59	Dieper (Satisfaction)	Badd Dimes, Ogri Ai, Jay Fonseca	NLAM41900129	07cNL2RQcjDbb3rT796iBl	4ddhmWe0fgEqOyb2kihLWB,0NG22gndoRc1o8dBU3mCpX,100DiPSdR5xYBlTGSjMieI
2022-05-25T13:17:36	Go Down Deh (feat. Shaggy and Sean Paul)	Spice, Shaggy, Sean Paul	USVPR2100046	58dGRQrNmAJeRMFuguUbvD	0wEvWMQRqaXcgnrZv6KtyL,5EvFsr3kj42KNv97ZEnqij,3Isy6kedDrgPYoTS1dazA9
2022-05-25T13:15:01	Brassed	WhySoSerious	QZDA81917182	3siIipKYON2bJ4maByHftS	1MSh4iqHmVl5OoNR1Pl8VB
2022-05-25T13:12:48	Mek It Bunx Up (feat. Marcy Chin)	DeeWunn, Marcy Chin	JMA271300696	0CfQ8hT96TCe8htXMwptJo	2QeuYhXNA1WNPCeMLNBqIc,3GrBqSjQjzwavLDJkmAtxd
2022-05-25T13:05:46	Stay	Movada	ZZOPM2002769	0AeHtVR5LlF6WG7rqO1Nv7	6DDphNWazbGLtmw2ARnqMp
2022-05-25T13:02:54	So Into You	Lost + Found	GBUM72005845	4h5I5Y4HZzLNFveiLyXABZ	5mRE8kKA1XzOkZpPSiF5yv
2022-05-25T13:00:14	Suits U	Cassa Jackson	GBKPL1959907	7k5xeXvCRD7CWxwSexWwXn	0zR7BUeTyO3i80lwyIGSfq
2022-05-25T12:57:35	Friends Don't Fuck	HAVEN	QZMEV2111079	5YuN7z17cD0PRXVX2twIjG	6xd3ACm5Dgf2Znj8abDUrd
2022-05-25T12:52:14	Play with Fire (feat. Yacht Money)	Sam Tinnesz, Yacht Money	TCADC1794515	7vguMCv8uVuZLiQJ156u3Z	70TsVY28EcEUYSGG5Yw7mp,3p2tOUHPzDOVOW1hzSrgw8
2022-05-25T12:49:12	What A Shame	Leyla Blue	USUM71921062	7FGIEAVXfegxngH9Jg6VwA	6HpIVA13SPof8sYuXRUfxj
2022-05-25T12:46:14	Dinero	Trinidad Cardona	USUM71800195	3ggtU1ZOKO8ZNiqPNyXGcm	4wP1kxjUsc9IR4Iy2smL7o
2022-05-25T12:43:33	Imaginary Parties	Superfruit	USRC11701388	2bopUyK6ll0CZFw03TDKAY	50VoYemccTaftNfFqWtlXd
2022-05-25T12:40:17	Boyfriend	Dove Cameron	USQX92200693	59CfNbkERJ3NoTXDvoURjj	2W8yFh0Ga6Yf3jiayVxwkE
2022-05-25T12:37:45	Woman	Doja Cat	USRC12101532	6Uj1ctrBOjOas8xZXGqKk4	5cj0lLjcoR7YOSnhnX0Po5
2022-05-25T12:34:51	Cpr	cupcakKe	TCACZ1762108	35mBYyB61qTcGGj7MXIRM1	76SlrtEaq2oViRXulxjfuM
2022-05-25T12:31:22	Whats The Prob Dog? (Let me Think About It)	WISEKIDS, Ida Corr	DK4YA2023901	17e9cIORs10rzE4cX5iSNS	6OXzciYkZCsfLnechSnFR2,30ut8L4gmEz4vNr1zNhpbh
2022-05-25T12:29:29	Insane	Black Gryph0n, Baasik	QZHNA2153397	5flerg6aEao2VayZezVlgu	4ET82ZtSfAK4utfjDauImD,3bSyv1vO8ye6PKyWcJeVbI
2022-05-25T12:26:49	Fuck Up The Friendship	Leah Kate	QZHN32055844	7xg41ENLdW3nyy2p5C28ZW	6oWOHAOyBUn6aJlKIPJK9r
2022-05-25T12:23:56	Walls Could Talk	Halsey	USUM71702219	5ln5yQdUywVbf8HhFsOcd6	26VFTg2z8YR0cCuwLzESi2
2022-05-25T12:22:14	YES MOM	Tessa Violet	QM4TW2207715	3imd2WJDPDoIOyqDmw3plc	5DD5GZd4ElmQTy9NleMvKJ
2022-05-25T12:19:30	U - English Version	millennium parade, Belle	USQX92106041	169YBmYRX0JNR3o4CJVWXY	0GZ65zwBwkkwGNJ3zagtTZ,1m9ZvxLFfX9avls54a0y40
2022-05-25T12:16:27	BOTH	Todrick Hall	UK6KW2100371	2yRnhiS36wm3MEkb1Vv3sQ	0gBvuNzrFCOVaiyKexoYMH
2022-05-25T12:13:11	More Than a Friend	GIRLI	GB45A2002356	5TIyFlLF0EfYOUZH1TYxBq	4XX9YjNQrHTZfZz3DCX6DP
2022-05-25T12:10:15	RICH BOY	payton	GBKPL2174685	56rLW4cKE1A6ckp48OPhQS	0wrbaNL900CWaR5DYERLze
2022-05-25T12:08:23	I Shot Cupid	Stela Cole	QZLBC2100190	72vVa7iyvVtjeaNDJfVBYq	1PlWf6idMAz65Luiq6aOY9
2022-05-25T12:05:38	GUY.exe	Superfruit	USRC11701437	3JTjLyrnevl9ASw3ayGO2P	50VoYemccTaftNfFqWtlXd
